player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te,_provenance
Landon Hron,171313,C,N ILLINOIS,12,100.0,0,254,66.3,74.1,65.1,2,6,302,100.0,100.0,98.3,6,9,1,749,626,123,0,749,320,320,0,0,429,0,2025_this_team
Evan Malcore,158043,T,N ILLINOIS,12,100.0,0,254,74.5,71.3,72.0,0,7,282,100.0,100.0,97.0,1,12,5,715,0,1,713,715,297,297,0,1,418,0,2025_this_team
Abiathar Curry,158039,G,N ILLINOIS,12,100.0,0,254,48.3,48.4,46.0,4,15,287,100.0,100.0,96.3,1,20,1,714,0,326,1,714,305,305,387,0,409,0,2025_this_team
Aidan Tweedy,205257,G,N ILLINOIS,12,100.0,0,254,63.1,65.2,63.2,1,7,257,100.0,100.0,98.1,3,9,1,648,123,299,0,648,272,272,226,0,376,0,2025_this_team
Izuchukwu Ozoh,158068,T,N ILLINOIS,12,100.0,0,254,48.0,11.4,68.3,7,12,187,100.0,100.0,94.4,4,20,1,408,0,0,33,408,197,197,4,338,211,33,2025_this_team
Ross Liegel,188421,T,N ILLINOIS,11,100.0,0,254,70.0,65.6,67.6,0,5,130,100.0,100.0,97.3,0,6,1,384,0,0,8,384,140,140,0,370,244,6,2025_this_team
Thomas Paasch,171322,G,N ILLINOIS,2,100.0,0,254,56.4,52.7,58.6,1,1,45,100.0,100.0,97.8,1,2,0,110,0,0,0,110,46,46,110,0,64,0,2025_this_team
Lane Mahnesmith,188422,T,N ILLINOIS,5,100.0,0,254,44.7,52.8,54.2,0,1,13,100.0,100.0,96.2,2,1,0,63,0,0,0,63,15,15,0,56,48,7,2025_this_team
Jacob Welch,171337,G,N ILLINOIS,3,100.0,0,254,62.4,14.2,68.0,0,2,11,100.0,100.0,90.9,0,2,0,38,0,0,0,38,13,13,38,0,25,0,2025_this_team
Logan Gross,188415,C,N ILLINOIS,1,100.0,0,254,68.1,,65.8,0,0,0,,,,0,0,0,16,16,0,0,16,0,0,0,0,16,0,2025_this_team
Tyler Chambers,205272,G,N ILLINOIS,1,100.0,0,254,53.6,,53.5,0,0,0,,,,0,0,0,16,0,16,0,16,0,0,0,0,16,0,2025_this_team
Ben Gustafson,188417,T,N ILLINOIS,1,100.0,0,254,66.2,,65.5,0,0,0,,,,0,0,0,9,0,0,9,9,0,0,0,0,9,0,2025_this_team
