player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,epa,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,positive_epa_percent,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr,_provenance
Griffin Wilde,177231,WR,NWESTERN,13,12.6,6,66.4,51.6,16,31,0,7.8,6,-0.05,48,256,1,62.3,56.8,79.8,,80.2,0.0,0,6,49,0.0,0,392,1,42.9,71,93.4,366,45.7,179,93.2,107,8,54.3,213,880,177,2.5,12.4,2.4,2025_this_team
Hayden Eligon II,183694,WR,NWESTERN,12,14.0,1,61.7,60.9,14,23,0,2.6,1,0.0,25,256,0,77.7,72.9,74.5,62.1,73.9,0.0,0,1,38,0.3,1,309,2,44.1,37,92.2,285,9.1,28,99.4,60,3,90.9,281,521,105,2.8,14.1,1.83,2025_this_team
Hunter Welcing,129738,TE,NWESTERN,13,7.7,1,73.7,33.3,1,3,0,9.7,3,-0.1,18,256,0,62.5,72.0,61.0,41.8,66.1,44.3,104,1,36,7.7,18,235,1,41.1,28,86.4,203,46.4,109,102.5,38,2,7.2,17,296,134,4.8,10.6,1.46,2025_this_team
Drew Wagner,190897,WR,NWESTERN,9,8.0,6,68.8,66.7,2,3,0,4.3,1,-0.1,6,256,0,76.7,81.4,64.8,,64.4,0.0,0,0,40,0.0,0,121,0,39.5,22,93.4,113,82.6,100,102.6,32,2,16.5,20,172,119,5.4,7.8,1.52,2025_this_team
Ricky Ahumaraeze,176505,WR,NWESTERN,13,15.4,1,37.0,30.0,3,10,0,9.1,1,-0.16,8,256,0,63.3,67.9,64.1,79.9,63.0,0.0,0,1,35,1.9,3,154,0,42.0,10,95.5,147,12.3,19,48.4,27,0,87.0,134,200,60,6.0,20.0,1.36,2025_this_team
Alex Honig,144681,TE,UCONN,12,7.9,1,56.5,50.0,2,4,0,18.8,3,0.32,8,146,0,43.3,69.7,69.1,71.6,64.7,72.3,159,0,40,45.0,99,220,0,53.4,13,51.4,113,22.3,49,118.1,23,3,4.5,10,162,94,7.2,12.5,1.43,arrival_2025_at_UCONN
Lawson Albright,145044,TE,NWESTERN,13,8.0,0,69.2,100.0,3,3,0,10.0,1,0.05,2,256,0,61.4,71.8,51.4,75.3,45.3,68.6,151,0,23,25.5,56,220,0,47.8,9,68.6,151,20.0,44,110.4,13,1,5.9,13,78,32,3.6,8.7,0.52,2025_this_team
Frank Covey IV,174054,WR,NWESTERN,11,13.2,0,20.0,0.0,0,3,0,60.0,3,-0.64,2,256,0,8.4,63.7,48.6,,46.3,0.0,0,2,11,0.0,0,93,0,37.2,2,91.4,85,10.8,10,0.0,10,0,89.2,83,22,3,1.5,11.0,0.26,2025_this_team
Carson Grove,190884,WR,NWESTERN,8,10.8,0,25.0,0.0,0,2,0,33.3,1,0.19,1,256,0,31.6,62.9,50.1,,49.8,0.0,0,1,10,0.0,0,63,0,54.1,2,96.8,61,79.4,50,0.0,8,0,20.6,13,17,5,2.5,8.5,0.28,2025_this_team
Chase Farrell,188864,WR,NWESTERN,5,8.7,0,42.9,,0,0,0,0.0,0,0.01,0,256,1,73.1,19.9,49.4,,45.9,0.0,0,0,8,0.0,0,28,0,53.6,3,100.0,28,82.1,23,50.3,7,0,17.9,5,12,24,8.0,4.0,0.43,2025_this_team
Alex Lines,128361,TE,NWESTERN,8,3.4,0,80.0,,0,0,0,20.0,1,0.04,1,256,1,45.4,12.0,41.4,70.6,33.5,67.2,39,0,7,15.5,9,58,0,39.3,4,82.8,48,29.3,17,79.2,5,0,3.4,2,14,9,2.3,3.5,0.29,2025_this_team
Patrick Schaller,190892,TE,NWESTERN,3,19.0,0,0.0,,0,0,0,,0,-0.53,0,256,0,,,48.2,71.7,52.9,88.9,8,0,0,33.3,3,9,0,37.5,0,66.7,6,11.1,1,39.6,1,0,0.0,0,0,0,,,0.0,2025_this_team
