player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,_provenance
Chance Tucker,90524,CB,NOTRE DAME,4,0,0,50.0,0,0,258,0,0,42.7,45.1,74.8,55.4,63.5,,0,0,0,0,6,,0,0,0,56.3,2,0,0,1,32,14,36,0,0,0,0,0,0,36,1,21,3,0,0,0,4,0,0,9,0,4.5,2025_this_team
Christian Gray,128036,CB,NOTRE DAME,10,4,0,48.3,0,0,258,0,0,51.0,52.6,46.1,,68.0,64.9,0,0,0,2,59,13.0,3,8,9,71.0,29,0,0,25,573,418,638,2,0,0,2,0,0,636,0,220,37,6,16,1,60,0,2,452,178,15.6,2025_this_team
Jalen Stroman,144106,S,NOTRE DAME,11,9,0,69.2,0,0,258,0,0,77.9,79.8,84.0,59.8,81.2,65.6,0,1,1,1,86,11.4,5,1,0,94.7,9,1,0,102,4,204,335,3,0,0,3,0,191,332,3,128,33,14,30,2,13,2,1,129,101,14.3,2025_this_team
DeVonta Smith,146607,CB,NOTRE DAME,8,2,0,57.7,0,0,258,1,0,72.2,72.4,86.6,47.6,72.5,75.6,0,1,0,0,20,9.1,2,3,2,71.0,15,0,0,25,26,179,287,21,0,0,21,0,8,266,4,104,207,8,18,1,26,1,0,130,53,8.7,2025_this_team
DJ McKinney,163824,CB,COLORADO,9,3,0,58.1,1,0,143,0,0,64.2,66.6,85.4,,72.4,54.3,0,0,0,1,32,20.0,9,4,3,92.5,18,0,0,50,505,287,597,12,0,0,12,0,1,585,0,310,29,7,33,1,31,0,2,253,81,14.1,arrival_2025_at_COLORADO
Ben Minich,171092,CB,NOTRE DAME,3,0,0,100.0,0,0,258,0,0,52.3,56.3,78.3,,64.9,75.1,0,0,0,0,16,0.0,0,0,0,118.8,1,0,0,0,1,4,15,0,0,0,0,0,0,15,0,11,13,0,1,0,1,0,0,16,7,16.0,2025_this_team
Adon Shuler,171098,S,NOTRE DAME,12,14,0,64.3,0,2,258,0,0,75.8,75.7,50.6,91.2,70.3,63.7,1,3,0,2,27,17.4,12,3,2,63.4,18,2,0,229,10,400,661,16,0,0,16,0,343,645,6,255,62,17,43,1,28,6,1,172,55,9.6,2025_this_team
Luke Talich,171100,S,NOTRE DAME,12,4,0,42.1,0,0,258,0,0,78.7,78.6,79.6,,75.9,65.9,0,0,0,3,21,14.3,4,3,1,32.7,8,0,0,91,9,136,205,1,0,0,1,0,57,204,0,69,47,9,20,1,19,0,1,80,41,10.0,2025_this_team
Taebron Bennie-Powell,189876,S,NOTRE DAME,1,0,0,,0,0,258,0,0,61.5,56.8,70.6,,56.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,6,0,3,13,0,0,0,0,0,7,13,0,10,0,0,0,0,0,0,0,0,0,,2025_this_team
Karson Hobbs,189877,CB,NOTRE DAME,7,1,0,50.0,0,0,258,0,0,44.9,48.4,83.0,58.3,66.1,28.8,0,0,0,1,34,37.5,3,0,0,76.3,11,0,0,4,13,61,108,2,0,0,2,0,4,106,1,46,85,0,4,0,22,0,1,192,68,17.5,2025_this_team
