player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,_provenance
Jared Dawson,122703,DI,NOTRE DAME,11,3,1,,0,0,258,0,0,60.0,79.8,56.6,75.2,80.2,63.6,5,16,0,0,,10.5,2,0,1,0.0,0,1,0,0,0,0,323,323,25,287,0,11,0,0,182,141,0,10,14,4,0,22,0,0,0,,2025_this_team
Jordan Botelho,122894,ED,NOTRE DAME,12,9,0,100.0,0,0,258,0,0,44.4,71.9,88.2,63.1,80.5,67.8,2,13,0,0,4,7.1,2,0,0,83.3,1,1,0,8,0,11,292,282,0,3,275,4,0,10,160,121,2,13,17,0,1,16,0,4,1,4.0,2025_this_team
Jason Onye,147496,DI,NOTRE DAME,12,11,1,,0,0,258,0,0,62.1,78.2,33.9,78.3,74.6,66.3,1,15,0,0,,9.1,3,0,2,0.0,0,1,0,1,0,0,354,352,5,296,5,46,0,2,183,171,0,13,19,0,0,17,0,0,0,,2025_this_team
Gabriel Rubio,147499,DI,NOTRE DAME,6,6,1,,0,0,258,0,0,,73.0,80.5,60.7,76.7,80.1,0,5,0,0,,0.0,0,0,0,0.0,0,1,0,0,0,0,173,172,13,149,0,10,0,1,85,88,0,4,7,0,0,6,0,0,0,,2025_this_team
Donovan Hinish,156961,DI,NOTRE DAME,11,1,0,,0,0,258,0,0,59.3,65.3,56.0,70.5,56.5,34.7,5,21,0,0,,20.0,3,0,1,0.0,0,1,0,1,0,2,310,309,39,260,0,10,0,1,229,79,0,9,11,1,0,27,0,0,0,,2025_this_team
Josh Burnham,156977,ED,NOTRE DAME,12,2,0,100.0,0,0,258,0,0,68.3,74.4,52.2,68.6,74.8,68.5,2,14,0,0,-5,20.0,3,0,1,79.2,1,3,0,0,0,15,235,234,0,5,200,29,0,1,113,107,1,12,10,2,1,19,0,-5,-1,-5.0,2025_this_team
Junior Tuihalamaka,156982,ED,NOTRE DAME,12,5,1,100.0,0,0,258,0,0,62.8,71.7,58.8,67.7,73.6,74.0,1,17,0,0,13,15.4,2,0,1,85.4,2,1,0,3,0,15,286,282,0,5,267,10,0,4,157,114,1,5,6,2,2,19,0,9,5,4.5,2025_this_team
Armel Mukam,171093,DI,NOTRE DAME,9,0,0,,0,1,258,0,0,65.1,67.6,77.7,62.5,59.9,57.2,1,4,0,0,,16.7,1,0,0,0.0,0,0,0,0,0,0,69,68,8,58,1,1,0,1,33,36,0,4,5,2,0,5,0,0,0,,2025_this_team
Kobi Onyiuke,171094,ED,NOTRE DAME,6,0,0,,0,0,258,0,0,60.0,62.4,78.4,53.3,69.4,71.5,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,1,38,38,0,2,31,5,0,0,20,17,0,0,1,0,0,0,0,0,0,,2025_this_team
Boubacar Traore,171102,ED,NOTRE DAME,11,7,0,0.0,0,1,258,0,0,84.1,79.4,33.5,74.9,75.2,80.6,6,15,0,0,,12.5,4,0,3,39.6,0,10,0,0,0,18,470,468,0,0,464,4,0,2,294,158,2,26,21,2,1,31,0,0,0,,2025_this_team
Preston Zinter,171105,ED,NOTRE DAME,3,1,0,,0,0,258,0,0,,59.1,76.4,65.7,53.6,53.3,0,1,0,0,,25.0,1,0,0,0.0,0,0,0,0,0,0,18,17,0,0,17,0,0,1,10,8,0,2,2,1,0,1,0,0,0,,2025_this_team
Keon Keeley,175865,ED,ALABAMA,12,6,0,0.0,0,0,103,0,0,75.7,64.9,82.8,55.7,66.5,74.8,2,5,0,0,,14.3,2,1,0,39.6,0,3,0,1,0,5,167,165,0,20,118,27,0,2,100,62,0,5,6,0,1,10,0,0,0,,arrival_2025_at_ALABAMA
Elijah Hughes,176634,DI,NOTRE DAME,12,6,0,,0,0,258,0,0,59.4,75.5,82.0,71.1,74.4,60.5,1,8,0,0,,12.0,3,0,0,0.0,0,1,0,0,0,1,264,264,13,233,0,18,0,0,144,119,0,15,16,2,0,10,0,0,0,,2025_this_team
Francis Brewu,183267,DI,PITTSBURGH,13,14,0,,0,1,268,0,0,,78.4,66.6,74.0,77.0,59.0,3,15,0,0,,10.8,4,0,1,0.0,0,2,0,2,0,0,484,481,34,427,3,17,0,3,235,249,0,18,19,6,0,20,0,0,0,,arrival_2025_at_PITTSBURGH
Cole Mullins,184100,DI,NOTRE DAME,6,1,1,,0,0,258,0,0,,68.6,76.9,64.0,68.5,74.7,0,5,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,59,59,6,48,0,5,0,0,42,17,0,3,3,0,0,5,0,0,0,,2025_this_team
Sean Sevillano Jr.,184102,DI,NOTRE DAME,4,0,0,,0,0,258,0,0,,67.9,73.7,65.4,64.7,,0,1,0,0,,,0,0,0,0.0,0,0,0,0,0,0,17,17,2,14,0,1,0,0,6,11,0,0,0,0,0,1,0,0,0,,2025_this_team
Loghan Thomas,184103,ED,NOTRE DAME,7,1,0,,0,0,258,0,0,61.8,69.5,79.1,63.0,71.1,51.7,1,4,0,0,,25.0,1,0,0,0.0,0,0,0,0,0,2,39,38,0,0,38,0,0,1,25,12,0,1,2,0,0,5,0,0,0,,2025_this_team
Bryce Young,184110,ED,NOTRE DAME,12,5,1,0.0,0,0,258,0,0,81.1,72.8,58.7,64.0,76.2,70.0,8,18,0,0,,16.7,3,1,1,39.6,0,3,0,1,0,8,314,309,0,38,196,75,0,5,202,104,3,10,10,0,2,29,0,0,0,,2025_this_team
