player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,_provenance
Jaymar Mundy,75041,CB,OHIO,5,0,0,60.0,2,0,259,0,0,51.2,48.9,0.0,,58.6,59.0,0,0,0,0,42,25.0,1,0,2,143.8,3,0,0,3,55,34,60,0,0,0,0,0,0,60,0,26,1,1,3,0,5,0,1,63,9,21.0,2025_this_team
Rickey Hyatt Jr.,124066,S,OHIO,6,0,0,100.0,0,0,259,0,0,61.2,61.6,75.7,57.3,61.3,73.1,0,0,0,0,17,0.0,0,1,0,158.3,1,0,0,4,0,19,25,1,0,0,1,0,20,24,2,4,0,1,1,0,1,0,1,17,0,17.0,2025_this_team
Michael Mack II,125273,CB,OHIO,11,10,0,62.1,0,0,259,0,0,59.5,56.4,84.8,46.3,45.7,64.4,0,1,0,2,47,14.0,6,0,0,87.9,18,0,0,16,415,248,440,7,0,0,7,0,1,433,4,188,1,4,27,1,29,1,1,357,52,19.8,2025_this_team
Ronald Jackson Jr.,130297,CB,OHIO,2,1,0,0.0,0,0,259,0,0,58.7,59.9,74.9,,62.9,76.6,0,0,0,0,,0.0,0,0,0,39.6,0,0,0,2,28,17,33,1,0,0,1,0,0,32,0,16,2,0,1,0,1,0,0,0,0,,2025_this_team
Pierre Kemeni Jr.,130595,S,OHIO,5,0,0,50.0,0,0,259,0,0,66.5,62.4,76.6,,53.7,76.5,0,0,0,0,7,0.0,0,0,0,58.3,1,0,0,5,0,12,25,5,0,0,5,0,0,20,0,13,15,1,2,0,2,0,0,7,6,7.0,2025_this_team
Adonis Williams Jr.,164130,S,OHIO,13,12,0,66.7,0,0,259,0,0,51.6,56.1,58.7,65.3,62.3,62.8,3,1,0,0,46,16.3,15,2,1,99.7,24,1,0,234,1,409,782,54,0,0,54,0,390,728,18,355,103,20,65,4,36,5,2,203,66,8.5,2025_this_team
Kendall Bannister,171338,CB,OHIO,11,1,0,57.1,0,0,259,0,0,64.9,67.5,83.9,66.9,72.5,65.9,0,0,0,1,58,14.3,2,1,0,56.8,8,0,0,7,329,188,348,7,0,0,7,0,4,341,1,159,0,0,11,0,14,0,0,124,39,15.5,2025_this_team
Tank Pearson,171357,CB,OHIO,12,9,1,67.1,1,1,259,0,0,60.8,61.9,53.2,90.4,61.5,61.6,0,1,0,2,54,15.2,10,8,3,115.2,47,0,0,42,660,399,734,27,0,0,27,0,4,707,1,334,1,14,47,0,70,1,6,680,214,14.5,2025_this_team
Jalen Thomeson,171363,S,OHIO,13,21,0,77.4,1,0,259,1,1,79.4,74.7,68.8,58.5,66.5,66.5,1,6,0,1,71,14.1,13,2,5,92.7,41,0,0,67,1,385,777,183,0,0,183,0,3,594,43,349,523,36,58,6,53,7,1,353,231,8.6,2025_this_team
DJ Walker,171364,S,OHIO,13,11,0,77.3,0,0,259,0,0,58.8,60.7,89.8,74.3,60.8,51.8,1,0,0,2,68,20.5,16,1,0,120.3,17,0,0,148,0,432,795,16,0,0,16,0,507,779,4,359,124,18,51,6,22,1,3,288,177,16.9,2025_this_team
JT Haskins,188456,S,OHIO,6,1,0,50.0,0,0,259,0,0,67.1,70.0,75.5,,69.4,81.6,0,0,0,0,20,0.0,0,0,0,82.3,2,0,0,3,3,12,22,0,0,0,0,0,10,22,0,10,5,0,4,0,4,0,0,37,4,18.5,2025_this_team
DJ Morton,188468,S,OHIO,1,0,0,,0,0,259,0,0,,60.2,66.4,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,2,0,0,3,0,0,0,0,0,0,3,0,3,1,0,0,0,0,0,0,0,0,,2025_this_team
Xavier Williams,188480,CB,OHIO,1,0,0,,0,0,259,0,0,,60.0,66.0,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,2,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,,2025_this_team
Bobby Miller,205306,CB,OHIO,1,0,0,,0,0,259,0,0,,60.0,63.8,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,2025_this_team
Tyson Long,205310,CB,OHIO,2,0,0,,0,0,259,0,0,,60.2,67.8,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,4,0,4,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,,2025_this_team
