player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te,_provenance
Carson Hinzman,162867,C,OHIO STATE,14,100.0,1,260,73.6,76.0,71.9,4,11,427,100.0,100.0,98.0,2,16,1,841,841,0,0,841,443,443,0,0,398,0,2025_this_team
Luke Montgomery,170261,G,OHIO STATE,14,100.0,1,260,73.4,70.0,73.5,5,8,427,100.0,100.0,97.8,2,16,3,837,0,836,1,837,442,442,0,0,395,0,2025_this_team
Austin Siereveld,170269,T,OHIO STATE,14,100.0,0,260,83.5,73.7,83.3,2,13,410,100.0,100.0,98.2,2,15,0,810,0,0,809,810,425,425,0,0,385,1,2025_this_team
Phillip Daniels,173402,T,OHIO STATE,13,100.0,0,260,66.1,61.9,68.8,1,16,387,100.0,100.0,97.3,6,19,2,761,0,0,0,761,402,402,1,760,359,0,2025_this_team
Tegra Tshabola,75288,G,OHIO STATE,13,100.0,0,260,56.3,60.5,57.8,1,10,296,100.0,100.0,97.8,5,12,1,607,0,1,0,607,307,307,606,0,300,0,2025_this_team
Gabe VanSickle,193193,G,OHIO STATE,9,100.0,0,260,59.5,31.9,62.9,1,3,70,100.0,100.0,95.7,0,5,1,154,0,37,0,154,72,72,117,0,82,0,2025_this_team
Ian Moore,183704,T,OHIO STATE,9,100.0,0,260,69.7,83.3,64.6,0,0,69,100.0,100.0,98.6,1,1,1,150,0,0,79,150,71,71,0,71,79,0,2025_this_team
Joshua Padilla,170263,G,OHIO STATE,6,100.0,0,260,73.7,68.1,73.3,0,1,66,100.0,100.0,99.2,0,1,0,128,30,0,0,128,67,67,98,0,61,0,2025_this_team
Ethan Onianwa,155966,G,OHIO STATE,8,100.0,0,260,58.2,39.0,59.2,0,0,30,100.0,100.0,100.0,1,0,0,96,0,18,0,96,33,33,69,9,63,0,2025_this_team
Justin Terry,189943,T,OHIO STATE,6,100.0,0,260,62.1,80.1,58.2,0,0,13,100.0,100.0,100.0,0,0,0,57,0,0,0,57,14,14,0,51,43,6,2025_this_team
Isaiah Kema,205325,C,OHIO STATE,4,100.0,0,260,68.2,76.4,65.2,0,0,7,100.0,100.0,100.0,0,0,0,31,31,0,0,31,7,7,0,0,24,0,2025_this_team
Carter Lowe,199857,T,OHIO STATE,2,100.0,0,260,49.0,75.0,47.9,0,0,2,100.0,100.0,100.0,0,0,0,18,0,0,18,18,2,2,0,0,16,0,2025_this_team
Jake Cook,199860,G,OHIO STATE,3,100.0,0,260,59.3,73.9,58.4,0,0,2,100.0,100.0,100.0,0,0,0,17,1,15,0,17,2,2,1,0,15,0,2025_this_team
Jayvon McFadden,199861,G,OHIO STATE,1,100.0,0,260,57.0,73.9,56.2,0,0,2,100.0,100.0,100.0,0,0,0,15,0,0,0,15,2,2,15,0,13,0,2025_this_team
Deontae Armstrong,183697,T,OHIO STATE,1,100.0,0,260,60.6,74.6,59.2,0,0,2,100.0,100.0,100.0,0,0,0,15,0,0,0,15,2,2,0,15,13,0,2025_this_team
Simon Lorentz,193185,C,OHIO STATE,1,100.0,0,260,60.3,,60.5,0,0,0,,,,0,0,0,4,4,0,0,4,0,0,0,0,4,0,2025_this_team
