player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,_provenance
Kendal Daniels,144668,S,OKLAHOMA,13,9,0,67.7,0,0,261,1,0,79.1,77.4,53.7,66.3,76.4,63.3,1,8,0,0,26,16.1,9,2,2,88.0,21,1,0,192,3,265,541,92,0,0,92,0,57,449,46,230,196,27,38,9,31,10,1,139,92,6.6,2025_this_team
Robert Spears-Jennings,158074,S,OKLAHOMA,13,21,0,73.3,0,1,261,0,0,49.6,58.9,86.9,56.3,78.0,72.8,0,0,0,1,44,12.5,9,1,0,118.9,22,0,0,204,3,348,589,9,0,0,9,0,281,580,14,227,92,10,42,2,30,0,2,341,127,15.5,2025_this_team
Gentry Williams,158084,CB,OKLAHOMA,6,3,0,54.5,0,0,261,0,0,66.3,63.8,0.0,58.3,58.9,61.2,0,0,0,0,38,14.3,2,1,1,68.4,6,0,0,8,168,99,178,2,0,0,2,0,0,176,1,78,0,3,9,1,11,0,0,55,43,9.2,2025_this_team
Peyton Bowen,173687,S,OKLAHOMA,13,12,1,75.8,0,0,261,0,0,76.8,78.6,88.4,76.4,77.3,72.1,1,0,0,2,54,10.9,6,6,0,126.0,25,0,0,193,1,396,679,6,0,0,6,0,321,673,5,278,157,17,37,1,33,1,5,368,165,14.7,2025_this_team
Kendel Dolby,173694,S,OKLAHOMA,4,1,0,83.3,0,0,261,0,0,62.7,64.2,77.9,62.5,65.4,83.4,0,1,0,0,12,0.0,0,0,0,136.1,5,0,0,13,24,38,64,3,0,0,3,0,4,61,7,19,20,4,7,2,6,1,1,43,20,8.6,2025_this_team
Jacobe Johnson,173703,CB,OKLAHOMA,11,0,0,46.2,0,0,261,0,0,71.2,70.6,80.2,60.0,57.5,31.9,0,1,0,2,24,33.3,5,0,1,25.6,6,0,0,20,152,111,175,0,0,0,0,0,0,175,0,64,2,5,10,0,13,1,0,77,24,12.8,2025_this_team
Michael Boganowski,184588,S,OKLAHOMA,13,12,0,40.0,0,0,261,0,0,61.2,68.7,82.5,68.9,79.5,83.2,0,0,0,0,19,6.1,2,0,1,51.7,4,1,0,81,1,136,245,3,0,0,3,0,130,242,2,107,29,5,19,1,10,1,0,39,19,9.8,2025_this_team
Eli Bowen,184589,CB,OKLAHOMA,9,5,0,55.6,0,0,261,0,0,73.0,73.4,84.9,59.0,71.3,58.0,0,0,1,2,37,18.2,6,2,2,60.1,20,0,0,38,399,271,462,12,0,0,12,0,2,450,1,190,10,7,22,0,36,0,1,221,71,11.1,2025_this_team
Jaydan Hardy,184594,S,OKLAHOMA,12,0,0,62.5,0,0,261,0,0,59.9,58.5,82.2,60.0,51.7,35.5,0,1,0,1,29,36.4,4,0,1,60.9,5,0,0,38,0,108,163,1,0,0,1,0,88,162,1,54,35,2,7,0,8,1,0,89,24,17.8,2025_this_team
Reggie Powers III,184602,S,OKLAHOMA,13,9,1,81.8,1,1,261,0,0,65.9,67.4,0.0,69.6,73.8,66.1,1,2,0,0,40,15.8,6,0,2,105.1,18,1,0,82,2,187,333,32,0,0,32,0,55,301,29,117,161,14,23,1,22,4,0,203,113,11.3,2025_this_team
