unit,pos,depth,player,class,origin,note
QB,QB,1,Drew Mestemaker,SO,North Texas transfer,"national passing champ: 4,379 (P6/PFF: 68.7-68.9%, 34-9), #4 QB Rating, 1st-tm AAC; #3 transfer QB of cycle; 'first NFL-caliber QB since Mason Rudolph' (P6); PFF 88.3/536; followed HC Morris + OC Brophy = same scheme"
QB,QB,2,Grant Jordan,SR,Massachusetts transfer,"9 st Yale '24, 2 st UMass '25; PFF 64.8/130. DEPARTED: all five '25 QBs (2,089 combined) - Flores -> Iowa State, Hejny -> Colorado State [cross-refs]"
RB,RB,1,Caleb Hawkins,SO,North Texas transfer,"AAC-leading 1,434 (6.2) + FBS-leading 25 rush TD (Athlon: FR-record 29 total); 3rd-tm All-America (PS); PFF 92.6, 231 att/1,431"
RB,RB,2,Tre Page III / Ayo Adeyi,SO / SR,Tarleton State + James Madison transfers,"Page: Tarleton-leading 839 (7.5) as FR (no PFF map). Adeyi: 1,017 (7.1) at NT '23; PFF 68.5. + Mason (735 D2), KD Jones (PS#29 FR), Moody (NT, 'surprise of spring'). DEPARTED: all '25 RBs (1,172 comb.) - Fields -> KSU"
WRTE,WR,1,Wyatt Young,JR,North Texas transfer,"AAC-leading 1,264 @ 18.1 (70 rec), 1st-tm AAC; PFF 89.0; Mestemaker's favorite target"
WRTE,WR,1,Chris Barnes,SO,Wake Forest transfer,"4* transfer: 547 @ 14.0 + 143 rush; PFF 76.9; also KR/PR"
WRTE,WR,2,Justin Bowick / Miles Coleman,SR / JR,Illinois + North Texas transfers,"Bowick 6'5: 265 (12.0), Morris: 'NFL caliber'; PFF 70.4. Coleman: 928 L2Y at NT; PFF 81.1. + Harris II (419 Ohio), Polk (525 Akron), Lewis (NT). DEPARTED: all three '25 starting WRs (Freeman-led room produced just 481 max)"
WRTE,TE,1,Donovan Green,SR,LSU transfer,"won spring job (P6); PS TE#4; blocker + pass threat; PFF 62.3 (2 rec/40 at LSU)"
OL,T,1,Ashton Lepo / Braydon Nelson,SR / JR,Michigan State + North Texas transfers,"Lepo 14 st L2Y MSU (PS LT; Athlon RT2; PFF 55.2/189). Nelson All-AAC, 24 st L2Y NT (Athlon LT; PS backup; PFF 71.6/961) - arrangement unsettled, personnel identical"
OL,G,1,Jacob Sexton / Johnny Dickson III,SR / SR,Oklahoma + North Texas transfers,"Sexton 14 st over 4Y at OU (PS#32; PFF 60.6). Dickson 2nd-tm AAC, 13 st (PS#74; PFF 71.9/818)"
OL,C,1,Tyler Mercer,SO,Kansas transfer,"6 st '24 at NT; 3 gm '25 KU (PFF 66.5/44); scheme-familiar"
OL,OL,2,Joseph Hanson / Desmond Magiya,SR / JR,Coastal Carolina + North Texas transfers,"Hanson 4th-tm SBC, 10 st (PFF 71.9/572; PS LG1/Athlon RT1). Magiya 2 st NT (PFF 65.9/368). DEPARTED: 7 OL (54 starts) incl. six to P4 (Seagren -> NW, Samuel -> GT, Kawecki -> Wisc, McKinney -> TCU, Mafi -> Purdue, Carpenter -> KU); honoree Schick graduated. All-transfer five; 117 incoming career starts"
DL,ED,1,James Williams,SR,Florida State transfer,"'pass rush specialist' (P6): 6 st, 19 tkl; PFF 69.9/249"
DL,ED,1,Jaleel Johnson,SR,RETURNING (partial starter),"3 st, 16 tkl, 2.5 TFL in 4 gm (injury-shortened); PFF 78.2/150 - best returning tape; w/ Malik Charles (67.5/279; 4 st, 28 tkl, 3 sk) also retained"
DL,DT,1,Saadiq Clements,JR,North Texas transfer,"NG: 8 st, 30 tkl, 5.5 TFL (PS#123); PFF 66.4/368"
DL,DL,2,Jerry Lawson / Braylon Rigsby / Enai White / Keviyan Huddleston,SR / JR / SR / JR,Louisville + Texas Tech + Penn State + North Texas transfers,"Lawson PFF 68.8/226; Rigsby 73.2/133 (26 gm TTech); White PS DT#9 ex-PSU 4* (71.6/60); Huddleston 70.4/409 (5 sk NT). DEPARTED: 7 DL (30 st/117 tkl/9 sk) incl. Gregory (71.4/419, B12 Def Newcomer of Yr) -> KSU, Duhon (70.1/230) -> Tulsa, Nnodim -> PSU, D.Thomas -> Houston"
LB,LB,1,Ethan Wesloski,SR,North Texas transfer,"2nd-tm AAC: 9 st, 113 tkl, 9 TFL; PFF 90.6/804 - followed DC Cassity"
LB,LB,1,Isaiah Chisom,JR,UCLA transfer,"10 st, 84 tkl at UCLA; PFF 66.6/546"
LB,LB,2,Tate Romney / Trip White,SR / SR,Arizona State transfer + returner,"Romney 10 gm, 13 tkl (PS#101; PFF 49.6/101). White RETURNS (PS#129; 1 st, 33 tkl; PFF 69.5/294; ex-Ole Miss). + Winner-Johnson (Tulane), Puckett (DII All-American). DEPARTED: McCoy (60.6/666, #2 tklr) grad; Esonwune -> UAB, Utu -> Nevada, Oliphant -> KSU"
DB,CB,1,LaDainian Fields,SO,RETURNING STARTER (the lone one),"12 st, 14 gm as true SO; PFF 77.2/255; PS#219; Athlon bold"
