player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,_provenance
Langston Williams,146013,CB,DOMINION,3,0,0,100.0,0,0,263,0,0,64.9,65.9,73.7,,64.1,74.2,0,0,0,0,11,0.0,0,0,0,122.9,3,0,0,0,26,14,28,0,0,0,0,0,0,28,0,14,0,1,1,0,3,0,1,12,7,4.0,2025_this_team
Mario Easterly,156823,S,DOMINION,13,26,0,57.9,0,0,263,1,0,73.0,69.0,86.3,62.7,60.3,71.0,2,3,0,1,31,12.8,10,3,0,63.3,11,1,0,401,2,377,694,7,0,0,7,0,221,687,16,301,63,17,42,2,19,6,0,159,64,14.5,2025_this_team
Jeremy Mack Jr.,157712,S,DOMINION,13,10,0,73.5,0,1,263,0,0,76.3,72.8,66.2,68.0,66.1,67.1,2,14,0,1,23,14.5,11,3,2,83.1,25,6,0,227,2,305,740,155,0,0,155,0,4,585,108,327,351,41,55,6,34,22,1,181,131,7.2,2025_this_team
Nickendre Stiger,163823,S,DOMINION,13,8,0,60.6,1,2,263,0,0,78.2,78.5,0.0,57.7,83.3,72.0,0,0,0,1,46,9.8,5,5,4,87.2,20,0,0,192,6,239,467,4,0,0,4,0,93,463,1,227,172,15,38,3,33,0,2,214,64,10.7,2025_this_team
Zion Frink,172279,CB,DOMINION,13,8,0,63.5,0,3,263,1,0,75.9,73.3,46.5,57.4,59.7,62.4,0,0,0,1,53,14.7,10,6,4,80.8,40,0,0,27,583,350,632,13,0,0,13,0,2,619,2,280,6,24,50,1,63,0,2,330,124,8.3,2025_this_team
Ryan Ramey,172292,S,DOMINION,10,2,0,33.3,0,0,263,0,0,70.9,65.9,80.8,68.1,49.8,22.8,1,0,0,1,12,42.9,6,1,0,5.6,2,0,0,82,1,80,158,3,0,0,3,0,58,155,2,76,13,0,6,0,6,1,0,22,20,11.0,2025_this_team
Botros Alisandro,174944,CB,DOMINION,9,6,0,65.5,0,0,263,0,0,70.6,71.0,85.2,58.8,69.6,65.0,0,0,0,0,65,16.7,7,3,0,120.8,19,0,0,22,378,214,429,23,0,0,23,0,0,406,6,209,5,10,29,1,29,0,3,206,118,10.8,2025_this_team
Jordan Saunders,175831,S,DOMINION,6,4,0,100.0,0,0,263,0,0,60.3,58.0,77.2,48.5,58.3,67.2,0,1,0,0,67,15.4,2,0,0,118.8,2,0,0,54,0,30,80,0,0,0,0,0,13,80,0,50,11,2,7,0,2,1,0,78,34,39.0,2025_this_team
Jivan Baly,183350,S,NC STATE,5,3,0,62.5,0,0,248,0,0,58.1,59.8,76.5,56.4,63.2,84.7,0,1,0,0,12,0.0,0,0,0,75.0,5,0,0,41,1,44,96,3,0,0,3,0,4,93,5,47,46,1,6,0,8,1,0,40,15,8.0,arrival_2025_at_NC STATE
Jerome Carter III,184331,S,DOMINION,13,13,0,70.3,0,0,263,0,0,73.8,76.2,19.0,62.1,81.8,78.1,2,1,0,6,49,11.3,9,1,2,61.9,26,0,0,345,5,384,707,26,0,0,26,0,271,681,15,308,59,25,58,2,37,3,1,283,140,10.9,2025_this_team
Chris Boykins,190056,CB,DOMINION,2,0,0,,0,0,263,0,0,,61.0,70.1,,60.7,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,8,0,8,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,,2025_this_team
Brandon Crutchfield,190058,CB,DOMINION,13,9,0,59.5,0,0,263,0,0,81.9,80.3,85.4,,64.3,60.4,0,0,0,2,52,17.9,7,4,0,87.4,25,0,0,16,493,293,521,5,0,0,5,0,1,516,0,228,3,6,23,0,42,0,3,320,127,12.8,2025_this_team
