player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,_provenance
Bear Alexander,157064,DI,OREGON,15,8,1,,0,0,264,2,0,58.9,73.3,85.8,70.3,71.3,65.7,5,11,0,0,,10.2,5,0,0,0.0,0,2,0,0,0,2,581,581,87,408,7,79,0,0,311,268,0,31,36,5,0,18,0,0,0,,2025_this_team
Markus Dixon,170006,ED,CLEMSON,3,0,0,,0,0,140,0,0,,56.5,74.4,55.6,59.4,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,12,12,0,0,12,0,0,0,7,5,0,0,0,0,0,0,0,0,0,,arrival_2025_at_CLEMSON
Teitum Tuioti,174118,ED,OREGON,15,10,6,71.4,0,2,264,0,0,61.3,83.8,78.7,82.7,80.0,81.2,5,22,0,0,17,9.8,6,0,1,90.2,5,11,0,20,0,42,705,678,1,4,664,9,0,27,329,334,7,47,45,11,7,38,0,48,38,9.6,2025_this_team
Matayo Uiagalelei,174124,ED,OREGON,15,12,3,100.0,0,2,264,2,0,63.3,82.2,89.1,82.7,73.8,36.5,8,38,0,0,9,31.8,14,1,1,97.9,2,6,0,9,0,11,726,717,0,17,564,136,0,9,383,332,0,21,18,4,2,52,0,15,13,7.5,2025_this_team
Terrance Green,176593,DI,OREGON,15,4,1,,0,0,264,0,0,56.3,61.5,83.7,59.0,63.2,68.9,0,3,0,0,,6.7,1,0,0,0.0,0,0,0,0,0,2,269,269,75,188,0,6,0,0,111,156,0,7,10,1,0,3,0,0,0,,2025_this_team
Ashton Porter,176597,ED,OREGON,15,6,1,,0,0,264,0,0,60.0,66.3,84.1,56.6,70.6,84.9,2,5,0,0,,0.0,0,0,0,0.0,0,1,0,0,0,1,245,244,0,29,138,77,0,1,116,128,1,5,14,1,0,8,0,0,0,,2025_this_team
Blake Purchase,176598,ED,OREGON,15,8,0,66.7,0,0,264,0,0,64.4,66.2,34.5,62.4,69.4,90.0,3,9,0,1,12,0.0,0,0,2,38.9,4,2,0,25,2,52,351,292,0,0,291,1,0,59,125,174,30,17,25,3,6,14,0,30,35,7.5,2025_this_team
A'Mauri Washington,176603,DI,OREGON,15,11,8,,0,0,264,0,0,59.3,80.0,71.3,69.3,83.8,54.7,2,18,0,0,,17.4,8,0,1,0.0,0,2,0,4,0,2,656,652,43,505,16,88,0,4,358,296,0,24,27,3,0,22,0,0,0,,2025_this_team
D'Antre Robinson,184430,DI,N CAROLINA,12,9,0,,1,1,245,0,0,,67.7,35.7,62.2,71.5,75.3,1,7,0,0,,3.0,1,0,2,0.0,0,1,0,0,0,0,377,377,21,238,6,112,0,0,196,181,0,20,23,2,0,9,0,0,0,,arrival_2025_at_N CAROLINA
Aydin Breland,184841,DI,OREGON,12,0,0,,0,0,264,0,0,,45.3,0.0,59.1,35.5,,0,8,0,0,,,0,0,1,0.0,0,0,0,0,0,0,61,61,2,41,4,14,0,0,49,12,0,0,0,0,0,8,0,0,0,,2025_this_team
