player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,epa,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,positive_epa_percent,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr,_provenance
Iverson Hooks,163020,WR,UAB,12,11.8,16,66.1,58.8,10,17,0,6.5,5,0.07,46,321,1,75.1,62.1,82.3,,82.9,0.0,0,1,51,0.0,0,381,1,49.4,72,93.4,356,65.1,248,110.1,109,7,34.6,132,927,301,4.2,12.9,2.6,arrival_2025_at_UAB
Kenyon Sadiq,174132,TE,OREGON,14,8.3,8,76.1,58.3,7,12,0,10.5,6,0.17,30,264,1,60.3,47.9,70.9,70.4,69.0,27.7,114,0,30,11.4,47,412,2,48.3,51,84.0,346,58.5,241,139.9,67,8,10.7,44,560,248,4.9,11.0,1.62,2025_this_team
Malik Benson,169698,WR,OREGON,15,13.8,3,72.9,60.0,6,10,0,2.3,1,0.16,27,264,0,85.7,80.5,73.0,,75.6,0.0,0,2,64,0.0,0,293,1,48.0,43,94.5,277,20.1,59,133.4,59,6,79.5,233,719,180,4.2,16.7,2.6,2025_this_team
Dakorien Moore,199882,WR,OREGON,11,13.9,12,63.0,66.7,6,9,0,5.6,2,0.26,21,264,0,75.2,76.9,74.5,,73.6,0.0,0,2,65,0.0,0,246,1,47.2,34,95.5,235,20.3,50,96.0,54,3,78.5,193,497,162,4.8,14.6,2.11,2025_this_team
Jeremiah McClellan,184855,WR,OREGON,15,11.5,6,72.5,42.9,3,7,0,7.5,3,0.18,27,264,0,69.3,72.8,71.8,61.9,73.6,0.0,0,1,51,0.3,1,290,3,46.7,37,94.8,275,22.1,64,118.4,51,3,77.6,225,544,181,4.9,14.7,1.98,2025_this_team
Jamari Johnson,174706,TE,OREGON,15,7.6,7,80.0,50.0,1,2,0,5.9,2,0.21,21,264,0,74.5,72.2,78.1,69.2,85.2,46.7,136,2,56,25.1,73,291,5,48.0,32,71.5,208,39.9,116,122.9,40,3,10.3,30,510,291,9.1,15.9,2.45,2025_this_team
Gary Bryant Jr.,131819,WR,OREGON,12,4.7,3,89.7,66.7,2,3,0,0.0,0,0.15,13,264,1,88.3,40.3,60.7,66.7,60.0,0.0,0,1,49,0.5,1,207,1,46.4,26,94.2,195,69.6,144,135.6,29,4,30.0,62,304,187,7.2,11.7,1.56,2025_this_team
Cooper Perry,199876,WR,OREGON,12,4.1,1,76.9,100.0,2,2,0,0.0,0,-0.04,1,264,1,80.9,19.7,47.0,,46.5,1.9,2,1,8,0.0,0,103,0,41.4,10,96.1,99,81.6,84,46.6,13,0,15.5,16,25,9,0.9,2.5,0.25,2025_this_team
Justius Lowe,157248,WR,OREGON,8,8.1,1,66.7,,0,0,0,14.3,1,0.02,3,264,0,56.8,66.7,57.3,,57.9,0.0,0,1,14,0.0,0,65,0,51.6,6,95.4,62,24.6,16,44.0,9,0,75.4,49,56,27,4.5,9.3,0.9,2025_this_team
Kyler Kasper,163298,WR,OREGON,4,13.2,0,40.0,,0,0,0,0.0,0,0.36,2,264,0,70.7,62.9,67.5,,63.8,0.0,0,0,40,0.0,0,26,1,52.2,2,88.5,23,7.7,2,77.9,5,0,92.3,24,51,4,2.0,25.5,2.22,2025_this_team
Roger Saleapaga II,184864,TE,OREGON,14,9.8,0,60.0,100.0,1,1,0,0.0,0,0.59,2,264,0,74.9,69.4,57.0,64.4,63.7,32.7,17,0,18,23.1,12,52,2,60.5,3,63.5,33,44.2,23,113.3,5,1,13.5,7,26,5,1.7,8.7,0.79,2025_this_team
