player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,_provenance
Jacob Schuster,144987,DI,OREGON ST,7,4,2,,0,0,265,0,0,59.8,65.2,44.9,60.1,68.4,52.0,0,1,0,0,,12.5,2,0,1,0.0,0,1,0,0,0,2,212,212,35,164,1,12,0,0,103,107,0,8,10,0,0,2,0,0,0,,2025_this_team
Tygee Hill,157111,DI,OREGON ST,12,7,0,,0,0,265,0,0,,65.4,83.7,57.8,67.8,54.6,2,5,0,0,,14.8,4,0,0,0.0,0,0,0,0,0,0,347,345,66,264,3,12,0,2,170,177,0,11,16,3,0,7,0,0,0,,2025_this_team
Takari Hickle,162453,ED,OREGON ST,12,7,0,,1,0,265,0,0,68.3,78.6,44.6,69.1,82.3,61.7,3,18,0,0,,15.6,5,0,2,0.0,0,2,0,1,0,6,408,406,0,30,284,92,0,2,207,195,0,22,20,4,0,23,0,0,0,,2025_this_team
Tahjae Mullix,164950,DI,OREGON ST,5,1,0,,0,0,265,0,0,60.0,69.5,78.5,58.5,75.9,76.3,0,3,0,0,,0.0,0,0,0,0.0,0,0,0,0,1,1,88,87,6,81,0,0,0,1,53,34,0,4,5,2,0,3,0,0,0,,2025_this_team
Walker Harris,172980,ED,OREGON ST,8,2,0,100.0,0,0,265,0,0,32.2,41.9,82.9,63.2,39.3,35.1,0,1,0,0,15,33.3,2,0,0,118.8,2,1,0,2,0,3,95,91,0,0,83,8,0,4,37,55,1,3,2,0,2,2,0,28,11,14.0,2025_this_team
Thomas Collins,173728,DI,OREGON ST,12,8,1,,0,0,265,0,0,61.9,59.3,45.2,62.8,56.9,48.2,2,14,0,0,,13.3,4,0,2,0.0,0,0,0,1,0,0,475,473,2,365,17,89,0,2,250,225,0,13,18,3,0,16,0,0,0,,2025_this_team
Kelze Howard,173731,ED,OREGON ST,1,0,0,,0,0,265,0,0,,62.7,69.5,,61.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,1,0,0,4,3,0,0,2,1,0,1,0,4,0,0,0,0,0,0,0,0,0,,2025_this_team
Nikko Taylor,173735,ED,OREGON ST,11,7,2,70.0,0,0,265,0,0,52.8,64.3,88.4,72.3,58.9,60.2,1,17,0,0,30,17.2,5,1,0,115.0,7,2,0,15,0,48,417,388,0,8,357,23,0,29,156,213,12,11,17,4,10,20,1,51,31,7.3,2025_this_team
Tevita Pome'e,174115,DI,OREGON ST,10,3,0,,0,0,265,0,0,,59.4,82.6,55.3,61.0,34.9,0,1,0,0,,25.0,2,0,0,0.0,0,0,0,1,0,0,210,208,74,132,0,2,0,2,116,94,0,2,3,1,0,1,0,0,0,,2025_this_team
Kai Wallin,175486,ED,OREGON ST,9,0,0,,0,0,265,0,0,63.9,69.2,25.7,67.7,71.3,60.5,3,10,0,0,,14.3,2,0,2,0.0,0,1,0,2,0,25,260,248,0,1,238,9,0,12,124,111,9,10,12,1,0,14,0,0,0,,2025_this_team
Jojo Johnson,176402,DI,OREGON ST,11,2,0,,1,0,265,0,0,66.3,65.0,18.4,63.9,63.4,27.5,3,9,0,1,,31.6,6,0,2,0.0,0,2,0,0,0,0,229,229,14,171,5,39,0,0,127,102,0,11,11,3,0,14,0,0,0,,2025_this_team
Zakaih Saez,176407,ED,OREGON ST,9,5,2,50.0,0,0,265,0,0,61.2,53.1,50.6,56.0,50.7,43.3,1,2,0,0,19,26.7,4,0,1,83.3,1,1,0,2,0,27,221,212,0,1,207,4,0,9,77,117,5,3,6,0,2,4,0,19,1,19.0,2025_this_team
Luke Levengood,184246,DI,OREGON ST,3,0,0,,0,0,265,0,0,,49.1,71.7,59.8,50.0,16.2,0,0,0,0,,100.0,1,0,0,0.0,0,0,0,0,0,0,13,13,0,12,0,1,0,0,1,12,0,0,0,0,0,0,0,0,0,,2025_this_team
Will Haverland,191216,ED,OREGON ST,1,0,0,,0,0,265,0,0,,63.2,67.8,,61.0,71.5,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,,2025_this_team
Shamar Meikle,191220,ED,OREGON ST,11,4,0,88.9,0,0,265,0,0,80.0,74.1,88.2,70.4,64.6,71.1,8,4,0,0,34,12.0,3,0,0,143.5,8,2,0,12,0,46,299,265,0,1,264,0,0,34,117,136,21,17,18,4,9,14,1,86,80,10.8,2025_this_team
