player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,_provenance
Dominic DeLuca,145095,LB,PENN STATE,13,24,0,77.3,0,0,266,0,0,57.9,65.1,50.6,63.4,70.0,62.7,2,8,0,0,14,14.3,13,2,1,87.7,17,2,0,445,2,219,535,34,0,0,34,0,0,501,50,266,53,30,54,5,22,12,0,112,67,6.6,2025_this_team
Caleb Bacon,157561,LB,IOWA STATE,12,16,0,72.7,0,1,193,0,0,58.4,70.2,88.7,71.4,74.9,54.9,7,6,0,0,24,18.7,14,3,2,109.3,16,3,0,393,1,262,652,134,0,0,134,0,0,518,110,280,124,29,45,5,22,16,1,166,86,10.4,arrival_2025_at_IOWA STATE
Keon Wylie,164193,LB,PENN STATE,12,6,0,50.0,0,0,266,0,0,50.1,62.9,85.3,59.9,73.7,58.9,3,5,0,0,14,16.7,5,1,0,65.1,4,1,0,99,1,84,215,85,0,0,85,0,0,130,27,104,28,13,19,2,8,9,0,41,28,10.3,2025_this_team
Amare Campbell,170102,LB,PENN STATE,13,28,1,82.6,0,1,266,1,1,52.0,70.3,85.7,68.1,81.7,65.3,2,9,0,0,25,14.6,19,0,0,99.0,38,5,0,614,2,353,769,24,0,0,24,0,0,745,53,363,128,48,83,8,46,16,1,277,228,7.3,2025_this_team
Da'Karri Nelson,170290,LB,PENN STATE,2,0,0,,0,0,266,0,0,,61.0,61.8,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,1,0,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,,2025_this_team
Tony Rojas,170297,LB,PENN STATE,4,2,0,83.3,0,0,266,0,0,68.3,73.5,79.4,71.4,73.2,76.4,0,3,0,0,23,8.3,2,0,0,116.7,10,2,0,140,1,86,176,10,0,0,10,0,0,166,7,83,25,17,20,3,12,5,1,64,47,6.4,2025_this_team
Kooper Ebel,174665,LB,IOWA STATE,12,11,1,78.9,0,1,193,0,0,61.7,64.1,87.7,57.3,65.1,45.7,2,11,0,0,22,20.0,16,2,0,96.1,15,0,0,613,0,297,664,6,0,0,6,0,0,658,76,291,45,39,53,10,19,13,0,134,77,8.9,arrival_2025_at_IOWA STATE
Cael Brezina,184827,LB,IOWA STATE,12,8,0,90.9,0,1,193,0,0,82.8,70.4,38.7,57.1,60.0,76.5,0,2,0,0,34,8.8,3,1,1,113.6,10,0,0,202,0,139,328,72,0,0,72,0,0,256,42,147,54,12,23,1,11,2,0,124,66,12.4,arrival_2025_at_IOWA STATE
Anthony Speca,191342,LB,PENN STATE,5,0,0,100.0,0,0,266,0,0,50.6,55.8,75.0,54.1,70.8,36.3,0,1,0,0,9,33.3,1,0,0,127.1,4,0,0,29,0,22,48,2,0,0,2,0,0,46,8,18,16,2,2,0,4,1,1,20,12,5.0,2025_this_team
Cam Smith,199891,LB,PENN STATE,1,0,0,,0,0,266,0,0,,60.8,64.2,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,2025_this_team
Alex Tatsch,199895,LB,PENN STATE,6,0,0,80.0,0,0,266,0,0,55.6,60.3,77.9,64.3,64.0,61.2,0,1,0,0,46,12.5,2,1,0,151.7,8,0,0,92,0,51,108,5,0,0,5,0,0,103,9,48,10,8,14,1,10,1,1,124,61,15.5,2025_this_team
