player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,_provenance
Rashad Battle,123003,CB,PITTSBURGH,11,5,0,57.1,0,0,268,1,0,69.2,72.3,83.9,69.8,78.7,86.3,0,0,0,0,53,5.9,3,4,2,118.0,28,1,0,40,426,284,473,4,0,0,4,0,0,469,2,187,2,16,43,1,49,1,5,403,103,14.4,2025_this_team
Tamon Lynum,129699,CB,PITTSBURGH,10,6,0,69.2,0,0,268,0,0,69.9,69.1,16.1,65.7,65.0,71.8,1,0,0,1,33,11.1,3,1,2,108.7,9,0,0,19,293,180,314,2,0,0,2,0,0,312,2,132,0,9,18,0,13,1,3,129,23,14.3,2025_this_team
Kavir Bains-Marquez,142177,S,PITTSBURGH,13,19,0,73.9,0,0,268,0,0,55.3,57.1,88.4,60.4,60.7,54.6,1,0,0,3,59,20.3,14,2,1,86.7,34,0,0,251,0,367,606,5,0,0,5,0,136,601,8,231,214,15,36,1,46,1,2,394,229,11.6,2025_this_team
Javon McIntyre,144029,S,PITTSBURGH,13,12,0,66.7,0,0,268,0,0,56.9,56.6,14.2,59.2,60.2,59.0,0,0,0,1,59,13.4,9,0,2,105.5,26,0,0,246,2,379,678,3,0,0,3,0,223,675,1,298,203,18,46,1,39,0,3,308,159,11.8,2025_this_team
DeMarco Ward,170359,S,MEMPHIS,12,15,0,69.8,2,1,218,0,0,57.8,64.8,87.6,55.7,74.9,77.8,0,1,2,2,62,9.8,8,0,3,106.3,30,0,0,425,0,326,644,11,0,0,11,0,84,633,5,313,121,25,59,3,43,1,2,515,170,17.2,arrival_2025_at_MEMPHIS
Raion Strader,171293,CB,AUBURN,11,0,0,66.7,0,0,115,0,0,62.1,62.7,80.8,60.0,63.6,68.3,0,0,0,0,30,10.0,1,2,1,123.3,8,0,0,13,155,94,179,0,0,0,0,0,3,179,1,84,8,4,9,0,12,0,1,109,14,13.6,arrival_2025_at_AUBURN
Cruce Brookins,175409,S,PITTSBURGH,10,19,0,65.2,0,0,268,0,0,75.4,80.9,86.4,60.0,86.3,84.2,0,0,0,2,33,7.8,5,2,0,90.8,15,0,0,230,1,285,504,3,0,0,3,0,219,501,1,218,50,18,40,1,23,0,4,171,56,11.4,2025_this_team
Shadarian Harrison,175416,CB,PITTSBURGH,12,3,0,56.3,1,1,268,0,0,59.6,61.8,2.5,56.5,79.8,55.3,0,0,0,1,72,18.8,6,2,6,90.5,18,0,0,37,474,294,518,4,0,0,4,0,0,514,2,222,2,7,23,0,32,0,2,259,113,14.4,2025_this_team
Nigel Maynard,183273,CB,PITTSBURGH,2,0,0,,0,0,268,0,0,60.0,61.1,69.0,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,6,1,6,0,0,0,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,,2025_this_team
Zion Ferguson,183326,CB,PITTSBURGH,5,0,0,100.0,0,0,268,0,0,43.6,45.0,73.4,,61.7,77.0,0,0,0,0,37,0.0,0,0,0,158.3,2,0,0,2,24,14,26,0,0,0,0,0,0,26,0,12,0,0,2,0,2,0,1,56,0,28.0,2025_this_team
