player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,_provenance
Nick Lapi,144027,LB,PITTSBURGH,6,4,0,50.0,0,0,268,0,0,67.1,71.4,79.9,52.9,77.9,77.5,0,2,0,0,5,6.7,1,0,0,56.3,1,0,0,72,0,35,97,13,0,0,13,0,0,84,19,43,12,9,10,2,2,2,0,5,0,5.0,2025_this_team
Kyle Louis,162770,LB,PITTSBURGH,11,22,0,78.3,1,1,268,2,0,72.3,73.1,33.8,70.2,75.3,74.7,4,11,0,2,56,10.9,10,3,2,99.2,47,3,0,319,0,290,668,105,0,0,104,1,0,563,86,292,244,30,60,7,60,18,3,429,391,9.1,2025_this_team
Abe Ibrahim,170117,LB,PITTSBURGH,8,3,1,100.0,0,0,268,0,0,62.1,83.8,77.8,76.2,89.2,76.4,0,1,0,0,5,8.3,1,0,0,87.5,1,0,0,61,0,25,74,6,0,0,6,0,0,68,18,31,7,4,8,2,1,1,0,5,4,5.0,2025_this_team
Braylan Lovelace,170119,LB,PITTSBURGH,13,28,1,73.1,1,0,268,0,0,63.0,70.7,12.5,57.2,77.6,45.9,7,13,1,2,26,20.4,23,2,4,64.6,19,1,0,836,0,322,851,8,0,0,8,0,1,843,158,371,5,42,62,5,26,21,0,210,112,11.1,2025_this_team
Alex Sanford Jr.,172423,LB,PURDUE,12,15,0,85.7,0,0,273,1,0,37.8,54.1,80.2,59.5,65.3,84.0,1,5,0,0,28,4.3,2,1,0,100.6,18,0,0,246,2,115,362,42,0,0,42,0,0,320,27,220,72,14,29,3,21,6,0,171,117,9.5,arrival_2025_at_PURDUE
Rasheem Biles,175408,LB,PITTSBURGH,10,31,1,84.0,3,2,268,1,1,74.4,83.7,0.0,82.9,89.3,84.0,4,8,2,2,34,9.3,10,1,7,66.0,21,6,0,449,0,240,670,116,0,0,116,0,0,554,118,312,104,51,67,13,25,18,0,196,111,9.3,2025_this_team
Davin Brewton,189530,LB,PITTSBURGH,5,0,0,100.0,1,0,268,0,0,50.3,52.1,0.0,52.6,74.7,77.6,0,1,0,0,22,0.0,0,0,1,118.8,2,0,0,23,0,14,35,6,0,0,6,0,0,29,7,14,6,2,3,1,2,1,0,37,13,18.5,2025_this_team
Cameron Lindsey,189537,LB,PITTSBURGH,12,7,0,75.0,0,1,268,0,0,65.3,72.1,28.8,57.9,87.0,68.5,1,4,0,0,24,16.1,5,1,1,109.8,15,2,0,159,0,116,288,41,0,0,41,0,0,247,49,123,87,11,19,1,20,7,1,137,85,9.1,2025_this_team
Emmanuel Taylor,199085,LB,PITTSBURGH,4,3,0,75.0,0,0,268,0,0,53.7,59.4,74.3,54.9,74.7,79.9,0,0,0,0,22,0.0,0,0,0,104.2,3,0,0,7,0,13,26,3,0,0,3,0,0,23,4,9,16,0,1,0,4,0,0,38,16,12.7,2025_this_team
Justin Thompson,199086,LB,PITTSBURGH,1,0,0,,0,0,268,0,0,60.0,70.7,70.5,66.1,60.9,,0,1,0,0,,,0,0,0,0.0,0,0,0,7,0,1,7,0,0,0,0,0,0,7,3,3,0,0,0,0,0,1,0,0,0,,2025_this_team
