player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,epa,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,positive_epa_percent,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr,_provenance
Asaad Waseem,171909,WR,FAU,12,6.8,11,74.7,60.0,6,10,0,5.8,4,0.07,30,165,1,77.4,32.6,67.3,62.1,68.6,0.0,0,3,44,0.2,1,405,0,43.2,65,93.8,380,91.1,369,102.0,87,5,8.9,36,687,390,6.0,10.6,1.81,arrival_2025_at_FAU
Michael Jackson III,146412,WR,PURDUE,12,6.2,9,80.8,58.3,7,12,0,4.5,3,-0.13,33,273,2,81.4,39.3,65.1,64.5,67.2,0.5,2,2,31,0.2,1,405,1,41.7,63,93.6,379,86.9,352,90.7,78,1,11.4,46,570,241,3.8,9.0,1.5,2025_this_team
Nitro Tuggle,184580,WR,PURDUE,12,14.0,10,48.6,53.8,7,13,0,17.1,7,-0.12,24,273,0,34.2,72.2,56.7,61.9,56.0,0.2,1,3,36,0.2,1,424,0,41.9,34,93.2,395,18.6,79,73.5,70,4,81.1,344,500,116,3.4,14.7,1.27,2025_this_team
EJ Horton Jr.,121734,WR,PURDUE,11,15.2,0,54.0,37.5,3,8,0,10.0,3,-0.14,17,273,0,62.5,72.3,62.3,,59.8,0.0,0,2,28,0.0,0,268,1,43.5,27,92.5,248,18.7,50,61.2,50,1,81.3,218,289,80,3.0,10.7,1.17,2025_this_team
Corey Smith,190745,WR,PURDUE,12,12.9,0,46.7,20.0,1,5,0,22.2,4,-0.05,8,273,2,32.3,22.8,55.7,,54.2,0.0,0,1,60,0.0,0,169,0,40.4,14,95.3,161,11.8,20,70.0,30,1,88.2,149,229,55,3.9,16.4,1.42,2025_this_team
Jesse Watson,183727,WR,PURDUE,12,14.3,0,30.8,28.6,2,7,0,38.5,5,-0.16,5,273,0,17.0,67.5,52.2,,53.1,0.0,0,1,24,0.0,0,144,0,40.0,8,90.3,130,94.4,136,50.2,26,2,5.6,8,80,2,0.3,10.0,0.62,2025_this_team
Arhmad Branch,174948,WR,PURDUE,9,16.5,2,56.0,33.3,1,3,0,6.7,1,0.09,10,273,0,69.9,69.2,70.5,,71.4,0.0,0,2,49,0.0,0,106,0,48.5,14,91.5,97,8.5,9,77.4,25,2,91.5,97,212,71,5.1,15.1,2.19,2025_this_team
Xavier Townsend,158455,WR,IOWA STATE,10,8.2,4,75.0,50.0,2,4,0,5.3,1,0.11,10,193,0,73.0,77.7,69.5,,70.8,1.0,1,0,44,0.0,0,100,1,46.2,18,93.0,93,62.0,62,106.8,24,0,34.0,34,243,84,4.7,13.5,2.61,arrival_2025_at_IOWA STATE
Kylan Fox,183847,TE,UCF,11,4.9,0,80.0,,0,0,0,5.9,1,0.06,6,323,1,70.9,24.1,53.7,75.0,50.6,64.7,86,0,22,19.5,26,133,0,46.8,16,76.7,102,30.8,41,111.9,20,1,1.5,2,137,78,4.9,8.6,1.34,arrival_2025_at_UCF
Jaylan Hornsby,197643,WR,SYRACUSE,10,11.4,1,42.1,0.0,0,3,0,33.3,4,-0.09,5,304,0,20.9,67.1,49.2,,50.3,0.0,0,0,25,0.0,0,160,0,42.2,8,96.3,154,5.0,8,77.3,19,1,95.0,152,103,24,3.0,12.9,0.67,arrival_2025_at_SYRACUSE
