player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,_provenance
Jordan Thompson,145140,DI,RUTGERS,12,9,0,,0,0,278,0,0,70.9,61.8,89.1,52.7,63.4,47.2,1,6,0,0,,18.2,6,0,0,0.0,0,1,0,1,0,8,353,352,215,54,77,6,0,1,178,167,0,10,18,2,0,8,0,0,0,,2025_this_team
Zaire Angoy,145149,DI,RUTGERS,12,2,1,,0,0,278,0,0,62.4,62.8,31.9,60.1,64.0,26.4,1,2,0,0,,36.4,4,0,2,0.0,0,0,0,0,0,1,332,332,4,320,4,4,0,0,146,185,0,5,5,0,0,3,0,0,0,,2025_this_team
Henry Hughes Jr.,145152,DI,RUTGERS,6,0,0,,0,0,278,1,0,,50.6,78.3,57.1,49.9,69.7,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,35,35,13,22,0,0,0,0,10,25,0,0,1,0,0,0,0,0,0,,2025_this_team
Keshon Griffin,145153,DI,RUTGERS,12,3,0,,0,0,278,0,0,61.1,63.4,59.6,64.9,61.6,42.6,1,9,0,0,,21.4,3,0,1,0.0,0,0,0,0,0,0,305,305,137,165,1,2,0,0,142,163,0,5,8,2,0,10,0,0,0,,2025_this_team
J'Dan Burnett,145260,ED,TULSA,12,6,1,,0,1,320,0,0,63.6,79.2,52.7,84.8,69.0,80.9,1,18,0,0,,4.3,1,0,2,0.0,0,7,0,1,0,1,526,525,0,15,385,125,0,1,251,274,0,19,16,4,0,26,0,0,0,,arrival_2025_at_TULSA
Bradley Weaver,145884,ED,RUTGERS,12,7,1,,1,0,278,0,0,60.0,61.1,23.3,59.7,65.4,51.3,6,12,0,0,,22.2,6,0,3,0.0,0,2,0,1,0,2,402,401,5,88,169,139,0,1,225,175,0,14,14,4,0,20,0,0,0,,2025_this_team
Eric O'Neill,155869,ED,RUTGERS,12,5,1,0.0,0,0,278,0,0,57.5,74.5,68.7,71.6,73.8,51.3,10,27,0,0,,22.5,9,0,1,39.6,0,4,0,1,0,2,471,470,0,27,379,64,0,1,261,208,0,24,26,7,1,41,0,0,0,,2025_this_team
Malachi Davis,156997,ED,TOLEDO,12,4,1,100.0,0,1,316,0,0,78.2,81.5,47.6,86.8,67.1,62.6,13,16,0,0,7,17.6,6,0,2,79.2,2,7,0,19,0,15,442,422,0,2,377,43,0,20,227,200,1,23,24,4,2,36,0,2,2,1.0,arrival_2025_at_TOLEDO
DJ Allen,162894,ED,RUTGERS,4,3,0,,0,0,278,0,0,,66.5,76.0,54.2,71.2,54.2,0,1,0,0,,16.7,1,0,0,0.0,0,0,0,0,0,0,39,39,0,0,25,14,0,0,16,23,0,1,2,0,0,1,0,0,0,,2025_this_team
Jordan Walker,162919,ED,RUTGERS,11,10,0,75.0,0,0,278,1,0,82.4,67.1,4.2,63.8,67.9,87.8,5,5,0,0,4,6.7,2,1,4,77.1,3,1,0,2,0,20,337,334,0,4,324,6,0,3,182,135,1,15,18,3,4,11,0,4,8,1.3,2025_this_team
Oliver Billotte,163123,DI,RUTGERS,12,4,0,,0,0,278,0,0,,55.2,83.6,63.4,49.2,74.8,0,4,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,206,206,67,138,0,1,0,0,99,107,0,0,1,0,0,4,0,0,0,,2025_this_team
Darold DeNgohe,172243,DI,RUTGERS,4,2,0,,0,0,278,0,0,,59.8,79.6,55.1,61.9,73.2,0,1,0,0,,12.5,1,0,0,0.0,0,0,0,0,0,0,49,49,22,27,0,0,0,0,24,25,0,3,5,0,0,1,0,0,0,,2025_this_team
Djibril Rahman,175501,ED,RUTGERS,10,1,0,0.0,1,0,278,0,0,75.4,64.0,34.4,61.7,62.7,28.0,0,6,0,0,,28.6,2,1,2,39.6,0,1,0,1,0,6,160,159,2,5,96,56,0,1,77,77,0,5,4,0,1,7,0,0,0,,2025_this_team
Farell Gnago,190479,DI,RUTGERS,9,3,1,,0,1,278,0,0,67.8,76.0,79.4,61.5,74.0,78.9,1,6,0,1,,0.0,0,0,0,0.0,0,0,0,1,0,5,102,101,25,55,7,14,0,1,65,32,0,4,7,2,0,7,0,0,0,,2025_this_team
Rondo Porter,193093,DI,APP STATE,13,13,4,,3,0,108,0,0,60.0,79.2,34.6,75.7,79.6,68.4,3,23,0,0,,7.1,3,0,3,0.0,0,2,0,1,0,0,534,533,128,399,1,5,0,1,303,231,0,20,26,4,0,28,0,0,0,,arrival_2025_at_APP STATE
Canaan Edwards,199112,DI,RUTGERS,1,0,0,,0,0,278,0,0,,60.0,66.0,59.8,,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,2025_this_team
Jyon Simon,199114,DI,RUTGERS,2,0,0,,0,0,278,0,0,,44.0,78.0,60.0,45.1,21.4,0,0,0,0,,100.0,1,0,0,0.0,0,0,0,0,0,0,13,13,13,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,,2025_this_team
Raedyn Bruens,199132,ED,RUTGERS,1,0,0,,0,0,278,0,0,,38.6,66.3,,53.5,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,2025_this_team
RJ Johnson Jr.,205367,ED,RUTGERS,2,0,0,,0,0,278,0,0,,49.8,75.0,58.2,50.4,,1,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,17,17,0,0,17,0,0,0,2,15,0,0,0,0,0,1,0,0,0,,2025_this_team
Wydeek Collier-Johnson,205368,ED,RUTGERS,2,0,0,,0,0,278,0,0,,66.6,69.5,65.6,60.0,,1,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,3,3,0,0,3,0,0,0,2,1,0,0,0,0,0,1,0,0,0,,2025_this_team
