player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,_provenance
Isaiah Nwokobia,144373,S,SMU,12,22,0,72.1,0,0,287,1,0,60.1,67.4,86.4,58.9,80.0,65.1,0,0,0,2,52,14.3,15,5,1,96.9,31,0,0,242,8,435,725,8,0,0,8,0,338,717,11,279,129,24,68,1,43,0,2,398,131,12.8,2025_this_team
Deuce Harmon,146998,CB,SMU,13,6,0,61.7,0,0,287,0,0,75.7,76.0,87.5,55.2,73.8,80.8,1,1,0,0,62,7.5,3,6,2,105.1,29,0,0,55,556,484,782,9,0,0,9,0,8,773,11,287,152,4,31,2,47,2,2,422,130,14.6,2025_this_team
Jaelyn Davis-Robinson,157116,CB,SMU,9,1,0,61.5,0,0,287,0,0,69.5,67.7,82.8,58.3,54.0,44.7,0,0,0,2,70,24.2,8,3,1,117.6,24,0,0,19,294,196,322,1,0,0,1,0,3,321,1,125,4,4,24,0,39,0,6,431,168,18.0,2025_this_team
Kyron Chambers,157300,CB,SMU,12,10,0,73.5,0,0,287,0,0,61.0,62.6,35.8,63.3,68.5,77.1,1,0,0,0,27,6.5,2,2,4,88.4,25,0,0,79,9,255,410,18,0,0,18,0,26,392,7,148,277,7,19,2,34,1,0,204,135,8.2,2025_this_team
Ahmaad Moses,158276,S,SMU,13,22,1,70.2,0,0,287,2,0,65.7,70.4,62.0,68.7,78.0,72.2,0,4,1,5,38,14.3,16,2,2,84.9,33,1,0,194,3,556,932,17,0,0,17,0,486,915,24,352,230,29,74,4,47,5,5,321,154,9.7,2025_this_team
Jarvis Lee,169997,CB,USF,13,4,0,78.6,0,3,327,0,0,62.4,66.4,27.9,87.4,63.4,45.2,4,6,0,2,57,25.0,17,2,3,88.8,44,4,0,84,10,361,656,72,0,0,72,0,3,584,56,239,486,28,47,9,56,14,0,497,204,11.3,arrival_2025_at_USF
Jaden Milliner-Jones,171902,S,SMU,11,5,0,68.8,0,0,287,0,0,60.6,64.2,83.6,61.1,74.1,73.9,0,0,0,0,31,10.5,2,1,0,136.7,11,0,0,31,1,139,205,8,0,0,8,0,74,197,6,60,91,2,12,0,16,0,2,145,70,13.2,2025_this_team
Jayvon Thomas,172600,CB,TEXAS A&M,5,2,0,71.4,0,0,312,0,0,53.2,56.3,76.6,,67.6,80.0,0,0,0,0,36,0.0,0,0,0,151.8,5,0,0,5,56,32,66,0,0,0,0,0,1,66,0,34,4,1,2,0,7,0,1,85,2,17.0,arrival_2025_at_TEXAS A&M
Abdul Muhammad,175290,S,SMU,8,0,0,66.7,0,0,287,0,0,63.7,60.3,0.0,61.3,55.2,78.3,0,1,0,0,5,10.0,1,0,1,70.1,2,0,0,22,1,83,120,2,0,0,2,0,70,118,2,35,23,1,9,0,3,1,0,8,4,4.0,2025_this_team
Jaylen Moses,189555,S,SMU,8,3,0,80.0,0,0,287,0,0,61.5,63.1,0.0,71.2,70.6,86.8,0,0,0,0,44,0.0,0,0,1,118.8,4,0,0,15,19,48,75,0,0,0,0,0,29,75,2,25,10,1,7,0,5,0,0,76,43,19.0,2025_this_team
