player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,_provenance
Marques White,108130,ED,UMASS,12,9,1,50.0,0,2,216,0,0,65.3,90.2,90.1,92.3,76.0,70.7,9,15,0,0,10,13.3,6,1,0,64.6,1,6,0,23,0,30,470,444,0,1,440,3,2,26,174,266,1,24,30,6,2,30,0,10,4,10.0,arrival_2025_at_UMASS
Keveion'ta Spears,122687,DI,SMU,13,5,4,,0,0,287,0,0,,68.3,30.9,64.1,71.7,66.4,2,4,0,0,,5.0,1,0,2,0.0,0,1,0,1,0,0,328,327,21,272,1,33,0,1,183,145,0,13,14,3,0,7,0,0,0,,2025_this_team
Damarjhe Lewis,129447,DI,SMU,2,0,0,,0,0,287,0,0,,59.0,69.5,58.8,,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,6,6,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,,2025_this_team
Blake Burris,144770,DI,SMU,6,1,0,,0,0,287,0,0,60.0,65.3,76.4,59.5,68.3,69.7,1,2,0,0,,0.0,0,0,0,0.0,0,0,0,1,0,0,50,49,4,45,0,0,0,1,37,13,0,0,0,0,0,3,0,0,0,,2025_this_team
Cameron Robertson,156623,ED,SMU,10,13,4,50.0,1,2,287,1,0,49.8,85.1,19.1,78.9,91.4,85.7,13,25,0,0,10,3.8,2,0,6,64.6,1,6,0,10,0,27,605,594,0,8,561,25,0,11,361,217,1,35,37,6,2,44,0,10,1,10.0,2025_this_team
Jeffrey M'ba,157055,DI,SMU,12,13,0,,0,0,287,0,0,60.0,72.9,47.8,73.6,70.2,56.8,2,12,0,0,,8.8,3,0,2,0.0,0,6,0,1,0,0,481,480,96,370,1,13,0,1,263,218,0,17,18,2,0,20,0,0,0,,2025_this_team
Isaiah Smith,158282,ED,SMU,13,17,1,100.0,1,0,287,1,0,64.0,77.7,30.3,76.3,79.7,82.2,14,24,0,0,14,7.1,4,0,5,110.4,4,10,0,16,0,55,777,754,0,0,754,0,0,23,442,280,7,36,35,10,4,48,0,42,2,10.5,2025_this_team
Terry Webb,172339,DI,SMU,13,11,4,,0,1,287,0,0,62.2,72.6,69.7,62.1,78.3,69.5,2,16,0,0,,7.5,3,1,1,0.0,0,6,0,5,0,3,612,607,22,465,22,98,0,5,376,233,0,22,26,1,0,24,0,0,0,,2025_this_team
Jahkai Lang,172565,ED,SMU,13,9,0,,0,0,287,1,0,79.7,79.6,88.1,68.3,79.5,80.2,3,13,0,0,,4.0,1,0,0,0.0,0,0,0,0,0,11,410,409,0,3,376,30,0,1,222,177,1,10,15,1,0,16,0,0,0,,2025_this_team
Trey Wilson,174653,ED,SMU,7,1,1,100.0,0,0,287,0,0,62.6,57.0,80.4,56.3,55.9,37.3,1,3,0,0,6,40.0,2,0,0,91.7,1,0,0,0,0,2,74,74,0,8,60,6,0,0,53,19,0,0,2,0,1,4,0,6,11,6.0,2025_this_team
