player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,epa,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,positive_epa_percent,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr,_provenance
Grady O'Neill,170328,WR,SM HOUSTON,11,7.8,4,61.3,33.3,3,9,0,11.6,5,-0.29,21,281,0,59.2,73.5,63.3,,64.2,0.0,0,2,29,0.0,0,301,1,34.4,38,94.7,285,99.3,299,71.4,62,1,0.0,0,392,128,3.4,10.3,1.38,2025_this_team
Chris Reed,158502,WR,SM HOUSTON,12,15.4,3,53.6,53.3,8,15,0,11.8,4,-0.33,18,281,0,57.4,71.9,64.0,62.1,64.1,0.0,0,2,54,0.4,1,257,1,33.5,30,93.8,241,1.6,4,95.2,56,5,98.4,253,451,142,4.7,15.0,1.87,2025_this_team
Malik Phillips,170505,WR,SM HOUSTON,12,7.3,2,47.4,33.3,2,6,0,14.3,3,-0.19,8,281,0,51.0,74.4,51.6,77.0,53.2,0.4,1,3,26,1.2,3,258,1,37.6,18,94.2,243,99.6,257,36.5,38,1,0.0,0,174,78,4.3,9.7,0.72,2025_this_team
Tim Burns Jr.,199928,WR,SM HOUSTON,12,20.4,3,40.0,11.1,1,9,0,25.0,4,-0.27,8,281,0,28.1,38.7,49.4,,51.2,0.0,0,1,59,0.0,0,299,0,34.3,12,93.3,279,0.3,1,64.3,30,1,99.7,298,228,118,9.8,19.0,0.82,2025_this_team
Qua'Vez Humphreys,170501,WR,SM HOUSTON,11,12.7,3,50.0,28.6,2,7,1,7.1,1,-0.31,9,281,0,70.9,69.5,60.1,,59.4,0.0,0,1,38,0.0,0,209,1,37.4,13,93.3,195,0.0,0,61.7,26,1,100.0,209,132,45,3.5,10.2,0.68,2025_this_team
Darrick Bledsoe III,183985,WR,SM HOUSTON,7,12.0,0,50.0,0.0,0,1,0,12.5,1,-0.16,4,281,0,58.9,67.1,54.6,,53.3,0.0,0,1,24,0.0,0,147,0,41.7,7,94.6,139,1.4,2,39.6,14,0,98.6,145,86,12,1.7,12.3,0.62,2025_this_team
Austin Smith,146318,TE,SM HOUSTON,12,7.7,0,50.0,60.0,3,5,2,0.0,0,-0.27,2,281,0,78.5,66.7,50.6,57.1,53.6,45.3,81,0,27,32.4,58,179,2,37.1,7,64.8,116,53.1,95,63.1,14,0,0.0,0,65,24,3.4,9.3,0.56,2025_this_team
Aviyon Smith-Mack,171609,WR,SM HOUSTON,4,7.5,2,61.5,,0,0,0,0.0,0,-0.31,3,281,0,80.1,67.5,55.3,,58.7,0.0,0,0,12,0.0,0,72,1,35.4,8,90.3,65,100.0,72,69.1,13,0,0.0,0,49,21,2.6,6.1,0.75,2025_this_team
Dylan Burk,204289,TE,SM HOUSTON,12,8.9,1,66.7,66.7,2,3,0,14.3,1,-0.43,4,281,0,53.4,66.2,45.5,64.2,53.6,47.0,62,0,15,26.5,35,132,2,33.9,6,65.9,87,52.3,69,83.1,9,0,0.0,0,55,31,5.2,9.2,0.63,2025_this_team
Lonnie Adkism,175610,WR,SM HOUSTON,4,7.4,0,37.5,33.3,1,3,0,25.0,1,-0.22,2,281,0,45.4,66.0,58.5,,60.3,0.0,0,0,13,0.0,0,34,1,30.3,3,97.1,33,0.0,0,85.9,8,1,100.0,34,25,23,7.7,8.3,0.76,2025_this_team
Michael Phoenix II,183990,WR,SM HOUSTON,5,8.4,2,50.0,0.0,0,2,0,0.0,0,-0.06,3,281,0,76.3,65.7,60.0,,60.7,0.0,0,0,12,0.0,0,74,0,41.4,4,94.6,70,0.0,0,64.6,8,0,100.0,74,40,12,3.0,10.0,0.57,2025_this_team
Max Whisner,157175,TE,AKRON,5,7.3,0,100.0,,0,0,0,0.0,0,0.4,2,102,0,77.5,66.2,92.0,69.6,92.9,77.8,14,0,23,33.3,6,18,0,53.3,4,50.0,9,11.1,2,143.8,4,1,0.0,0,36,14,3.5,9.0,4.0,arrival_2025_at_AKRON
Ray Lotten,175897,TE,SM HOUSTON,8,7.5,0,75.0,,0,0,0,25.0,1,-0.21,2,281,0,39.5,64.1,50.7,74.5,49.6,25.4,15,0,36,11.9,7,59,1,32.7,3,83.1,49,67.8,40,116.7,4,0,1.7,1,54,31,10.3,18.0,1.1,2025_this_team
