player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,epa,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,positive_epa_percent,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr,_provenance
Jordan Napier,175759,WR,S DIEGO ST,10,8.5,10,71.2,44.4,4,9,0,7.8,4,-0.05,29,284,0,63.8,71.8,77.4,,83.5,0.5,1,2,80,0.0,0,199,1,41.4,47,93.0,185,79.4,158,98.3,66,2,19.1,38,624,315,6.7,13.3,3.37,2025_this_team
Donovan Brown,158293,WR,S DIEGO ST,13,16.3,6,57.9,53.8,7,13,0,0.0,0,-0.21,20,284,0,90.3,73.6,64.7,,65.3,0.0,0,2,52,0.0,0,332,3,38.1,33,93.4,310,11.1,37,85.6,57,2,88.9,295,522,106,3.2,15.8,1.68,2025_this_team
Nathan Acevedo,163393,WR,S DIEGO ST,12,8.3,4,66.7,60.0,3,5,0,11.1,2,-0.43,6,284,0,60.2,72.7,54.0,,55.3,0.7,1,1,42,0.0,0,142,4,36.2,16,91.5,130,52.8,75,73.3,24,0,46.5,66,190,125,7.8,11.9,1.46,2025_this_team
Mikey Welsh,158809,WR,S DIEGO ST,11,8.5,2,63.2,100.0,2,2,0,14.3,2,-0.6,4,284,0,52.2,80.0,66.0,,64.2,0.0,0,2,44,0.0,0,52,0,26.0,12,96.2,50,82.7,43,43.4,19,0,17.3,9,129,67,5.6,10.8,2.58,2025_this_team
Jacob Bostick,156423,WR,S DIEGO ST,6,15.9,0,57.9,50.0,3,6,0,21.4,3,0.13,7,284,0,38.9,68.5,57.1,,56.5,0.0,0,0,35,0.0,0,148,1,47.1,11,94.6,140,23.6,35,124.3,19,3,75.0,111,157,34,3.1,14.3,1.12,2025_this_team
Jackson Ford,190726,TE,S DIEGO ST,13,8.5,0,58.8,50.0,1,2,0,0.0,0,-0.31,6,284,0,81.5,68.2,57.0,71.0,62.2,70.1,131,0,18,30.5,57,187,7,33.9,10,64.7,121,23.5,44,91.8,17,1,3.2,6,86,42,4.2,8.6,0.71,2025_this_team
Jaylon Hawkins,204520,WR,S DIEGO ST,3,17.4,0,53.8,66.7,2,3,0,0.0,0,-0.69,2,284,0,78.5,69.6,63.3,,60.7,0.0,0,0,35,0.0,0,50,0,24.5,7,98.0,49,16.0,8,69.4,13,0,84.0,42,70,14,2.0,10.0,1.43,2025_this_team
Will Cianfrini,188810,WR,S DIEGO ST,8,13.1,1,45.5,33.3,1,3,0,0.0,0,-0.25,2,284,0,76.3,65.7,53.0,,53.5,0.0,0,1,12,0.0,0,66,0,36.2,5,87.9,58,16.7,11,17.2,11,0,83.3,55,40,16,3.2,8.0,0.69,2025_this_team
Justius Lowe,157248,WR,OREGON,8,8.1,1,66.7,,0,0,0,14.3,1,0.02,3,264,0,56.8,66.7,57.3,,57.9,0.0,0,1,14,0.0,0,65,0,51.6,6,95.4,62,24.6,16,44.0,9,0,75.4,49,56,27,4.5,9.3,0.9,arrival_2025_at_OREGON
Seth Adams,160362,TE,S DIEGO ST,13,6.6,0,60.0,0.0,0,1,1,0.0,0,-0.27,2,284,0,73.1,64.1,62.6,72.8,51.6,61.0,75,1,16,43.9,54,123,5,41.9,3,53.7,66,23.6,29,40.0,5,0,7.3,9,33,11,3.7,11.0,0.5,2025_this_team
Ryan Wolfer,188830,TE,S DIEGO ST,12,12.0,0,100.0,,0,0,0,0.0,0,0.11,2,284,0,70.7,62.9,55.7,65.2,55.8,50.9,29,0,19,17.5,10,57,0,48.1,2,73.7,42,38.6,22,118.8,2,0,7.0,4,37,13,6.5,18.5,0.88,2025_this_team
Jerry McClure,173981,WR,S DIEGO ST,5,6.0,0,100.0,,0,0,0,0.0,0,-1.02,0,284,0,66.7,61.0,63.9,,63.4,0.0,0,0,8,0.0,0,11,0,22.2,1,81.8,9,9.1,1,100.0,1,0,90.9,10,8,2,2.0,8.0,0.89,2025_this_team
Ayo Shotomide-King,188733,WR,OKLA STATE,6,6.0,0,0.0,,0,0,0,,0,0.0,0,262,0,,,55.3,64.8,52.9,22.2,4,0,0,11.1,2,18,0,33.3,0,88.9,16,16.7,3,39.6,1,0,61.1,11,0,0,,,0.0,arrival_2025_at_OKLA STATE
Myles Kitt-Denton,121392,WR,S DIEGO ST,3,-3.0,0,100.0,,0,0,0,0.0,0,-0.59,0,284,0,66.7,61.0,58.5,,57.6,0.0,0,0,-3,0.0,0,7,0,33.3,1,85.7,6,28.6,2,79.2,1,0,71.4,5,-3,0,0.0,-3.0,-0.5,2025_this_team
