player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,_provenance
Mike Harris,122269,S,S ALABAMA,12,8,0,81.8,0,1,288,0,0,60.2,56.2,83.4,74.9,43.7,29.7,0,1,0,0,36,28.9,11,0,0,112.3,18,0,0,93,1,157,314,4,0,0,4,0,31,310,3,154,185,3,19,1,22,1,1,161,118,8.9,2025_this_team
D.J. Moore,156310,S,GA TECH,1,1,0,100.0,0,0,176,0,0,39.6,38.9,0.0,59.4,63.9,80.2,0,0,0,0,14,0.0,0,0,1,158.3,2,0,0,7,0,10,19,0,0,0,0,0,11,19,1,8,1,0,2,0,2,0,1,28,6,14.0,arrival_2025_at_GA TECH
Anthony Brown,157019,S,S ALABAMA,2,2,0,25.0,0,0,288,0,0,54.3,49.9,77.8,,45.2,41.1,0,0,0,0,27,28.6,2,1,0,55.2,1,0,0,36,0,23,61,0,0,0,0,0,15,61,0,38,10,0,3,0,4,0,0,27,3,27.0,2025_this_team
Jayvon Henderson,161247,CB,S ALABAMA,12,6,0,52.9,0,0,288,2,0,76.1,75.3,85.0,,66.4,50.9,0,0,0,0,48,19.4,7,4,2,94.2,18,0,0,39,574,308,619,2,0,0,2,0,0,617,0,311,4,9,23,3,34,0,2,232,76,12.9,2025_this_team
Christopher Wallace Jr.,163553,S,S ALABAMA,12,23,0,54.2,0,1,288,2,0,51.6,61.6,86.7,58.0,77.3,62.8,0,0,0,0,48,17.1,14,0,1,72.4,13,0,0,278,0,300,595,6,0,0,6,0,207,589,2,293,104,15,45,3,24,0,0,145,71,11.2,2025_this_team
Wesley Miller,163688,S,S ALABAMA,11,11,0,45.8,0,0,288,0,0,56.6,57.4,85.4,59.2,57.9,52.9,0,0,0,1,35,19.5,15,2,0,64.2,11,0,0,279,0,257,526,9,0,0,9,0,124,517,1,268,114,14,51,1,24,0,1,158,68,14.4,2025_this_team
Cole Blaylock,172302,S,S ALABAMA,10,3,0,42.9,0,0,288,0,0,54.9,60.8,82.6,58.8,73.1,53.8,0,0,0,1,52,23.5,4,1,0,84.8,3,0,0,98,0,99,187,5,0,0,5,0,43,182,3,85,41,1,10,0,7,0,2,79,11,26.3,2025_this_team
Dallas Young,172436,S,S ALABAMA,11,4,0,78.6,0,0,288,0,0,70.8,68.2,84.5,56.1,58.5,53.5,0,2,0,0,23,22.2,6,1,0,92.3,11,0,0,83,3,167,294,2,0,0,2,0,9,292,4,123,197,6,17,1,14,2,0,86,42,7.8,2025_this_team
Jaylen Moson,172659,CB,UTAH,1,0,0,,0,0,328,0,0,,60.3,68.0,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,3,3,0,0,0,0,0,0,0,0,,arrival_2025_at_UTAH
Bradley Thomas,172851,CB,S ALABAMA,2,1,0,100.0,0,0,288,0,0,72.5,73.6,71.6,,61.2,74.2,0,0,0,0,4,0.0,0,0,0,83.3,1,0,0,1,13,4,14,0,0,0,0,0,0,14,0,10,0,0,0,0,1,0,0,4,8,4.0,2025_this_team
Tywon Wray Jr.,174316,S,S ALABAMA,2,0,0,,0,0,288,0,0,60.0,60.0,65.2,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,2,0,1,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,,2025_this_team
Brian Dillard,175836,CB,S ALABAMA,9,4,0,40.0,0,0,288,0,0,68.2,66.1,81.0,59.3,56.0,60.4,0,0,0,0,44,15.0,3,3,0,63.8,6,0,0,24,211,117,236,1,0,0,1,0,0,235,1,118,0,4,13,0,15,0,0,102,31,17.0,2025_this_team
Nehemiah Chandler,189413,CB,S ALABAMA,11,2,0,52.0,1,0,288,0,0,75.8,71.6,85.1,54.0,47.0,41.2,0,0,0,2,45,27.8,10,8,4,98.2,26,0,0,38,565,319,608,2,0,0,2,0,1,606,4,285,2,9,24,2,50,0,6,358,69,13.8,2025_this_team
Damyrion Darby,190078,CB,S ALABAMA,8,0,0,60.0,0,0,288,0,0,54.2,54.0,79.4,,53.9,32.3,0,0,0,0,54,33.3,3,1,1,143.8,6,0,0,13,134,77,147,0,0,0,0,0,0,147,0,70,0,3,6,0,10,0,2,141,47,23.5,2025_this_team
Ty Goodwill,190083,S,S ALABAMA,10,13,0,68.8,0,0,288,0,0,86.3,81.2,84.4,,66.3,37.2,0,0,0,1,20,22.7,10,5,0,45.8,11,0,0,113,0,185,327,3,0,0,3,0,161,324,0,142,50,12,21,5,16,0,0,41,27,3.7,2025_this_team
