player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,epa,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,positive_epa_percent,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr,_provenance
Devin Voisin,97427,WR,S ALABAMA,12,9.7,7,65.7,41.7,5,12,1,5.6,4,-0.13,35,288,0,78.1,82.9,71.8,66.1,75.5,0.3,1,2,65,0.3,1,354,4,39.6,67,91.8,325,37.3,132,93.4,102,4,61.6,218,775,330,4.9,11.6,2.38,2025_this_team
Anthony Eager,172306,WR,S ALABAMA,12,3.0,9,73.2,33.3,2,6,0,6.8,3,-0.07,18,288,1,73.6,45.1,63.4,,62.6,0.0,0,2,48,0.0,0,293,0,40.7,41,89.8,263,63.1,185,79.6,56,1,35.8,105,342,336,8.2,8.3,1.3,2025_this_team
Jeremy Scott,190098,WR,S ALABAMA,12,15.5,0,63.2,62.5,5,8,0,7.7,2,0.0,14,288,0,68.6,71.1,60.5,,62.6,0.0,0,2,74,0.0,0,261,3,42.6,24,90.0,235,13.0,34,113.6,38,4,87.0,227,417,136,5.7,17.4,1.77,2025_this_team
Miller McCrumby,156653,TE,S ALABAMA,12,2.4,2,94.1,50.0,1,2,1,0.0,0,0.23,5,288,0,84.7,70.0,57.0,66.8,55.5,55.6,95,0,32,21.6,37,171,2,48.0,16,67.8,116,33.3,57,99.0,17,0,10.5,18,132,96,6.0,8.3,1.14,2025_this_team
Micah Woods,171218,WR,S ALABAMA,9,3.3,3,84.6,33.3,1,3,0,0.0,0,0.47,6,288,0,81.5,71.9,64.0,,69.3,0.0,0,0,33,0.0,0,46,1,54.8,11,91.3,42,32.6,15,128.5,13,1,67.4,31,113,109,9.9,10.3,2.69,2025_this_team
Brendan Jenkins,177870,WR,S ALABAMA,9,8.9,0,75.0,50.0,2,4,0,0.0,0,-0.08,6,288,0,80.1,67.5,61.6,,62.4,0.0,0,0,30,0.0,0,100,2,41.3,9,92.0,92,13.0,13,133.0,12,1,87.0,87,117,36,4.0,13.0,1.27,2025_this_team
Rod Gibbs,190082,TE,S ALABAMA,12,2.6,1,54.5,,0,0,0,14.3,1,-0.29,4,288,0,33.4,66.2,57.8,73.4,55.3,79.1,106,0,15,47.0,63,134,2,33.6,6,50.0,67,15.7,21,97.5,11,1,4.5,6,52,42,7.0,8.7,0.78,2025_this_team
Trent Thomas,172314,TE,S ALABAMA,12,2.6,0,80.0,50.0,1,2,0,0.0,0,-0.11,2,288,0,76.3,65.7,48.4,64.3,56.3,86.4,114,0,16,58.3,77,132,1,43.8,4,37.1,49,11.4,15,95.0,5,0,2.3,3,34,22,5.5,8.5,0.69,2025_this_team
Brec Long,199187,TE,S ALABAMA,10,-1.0,0,100.0,100.0,1,1,0,0.0,0,0.05,0,288,0,76.3,66.6,64.3,73.5,61.1,53.8,35,0,8,30.8,20,65,1,42.6,4,64.6,42,33.8,22,87.5,4,0,10.8,7,20,24,6.0,5.0,0.48,2025_this_team
Jeremiah Jones-Thomas,205374,WR,S ALABAMA,8,-0.3,0,66.7,,0,0,0,33.3,1,-0.39,0,288,0,31.6,62.9,50.6,,49.8,0.0,0,0,4,0.0,0,16,0,35.7,2,87.5,14,81.3,13,70.1,3,0,18.8,3,1,7,3.5,0.5,0.07,2025_this_team
