player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,epa,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,positive_epa_percent,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr,_provenance
Nitro Tuggle,184580,WR,PURDUE,12,14.0,10,48.6,53.8,7,13,0,17.1,7,-0.12,24,273,0,34.2,72.2,56.7,61.9,56.0,0.2,1,3,36,0.2,1,424,0,41.9,34,93.2,395,18.6,79,73.5,70,4,81.1,344,500,116,3.4,14.7,1.27,arrival_2025_at_PURDUE
Nyck Harbor,175923,WR,S CAROLINA,11,17.0,4,57.7,40.0,4,10,0,9.1,3,-0.12,22,289,1,56.4,43.6,67.8,63.8,66.8,0.3,1,3,80,0.3,1,318,1,38.9,30,92.8,295,21.7,69,114.1,52,6,77.4,246,618,174,5.8,20.6,2.09,2025_this_team
Vandrevius Jacobs,170341,WR,S CAROLINA,12,15.1,4,66.7,58.3,7,12,0,3.0,1,-0.14,19,289,0,81.4,72.0,66.9,,66.9,0.0,0,0,74,0.0,0,315,1,37.6,32,93.7,295,4.4,14,133.0,48,4,95.6,301,548,168,5.3,17.1,1.86,2025_this_team
DJ Black,158111,WR,UCF,12,13.8,1,51.1,20.0,2,10,1,17.9,5,-0.07,8,323,1,34.0,28.1,47.9,,48.7,0.6,2,0,82,0.0,0,316,4,40.5,23,96.2,304,10.1,32,86.3,45,2,88.9,281,289,107,4.7,12.6,0.95,arrival_2025_at_UCF
Brian Rowe Jr.,199945,WR,S CAROLINA,11,7.7,1,61.3,0.0,0,1,0,5.0,1,-0.09,5,289,0,63.6,73.1,60.7,,60.0,0.0,0,0,24,0.0,0,193,1,40.4,19,91.7,177,90.2,174,83.9,31,1,9.8,19,149,79,4.2,7.8,0.84,2025_this_team
Jayden Sellers,199954,WR,S CAROLINA,6,7.0,9,78.6,33.3,1,3,0,0.0,0,0.03,9,289,0,76.1,72.4,70.6,,71.0,1.4,2,0,75,0.0,0,144,0,40.3,22,92.4,133,83.3,120,128.7,28,1,14.6,21,337,209,9.5,15.3,2.53,2025_this_team
Brady Hunt,145631,TE,S CAROLINA,12,3.6,0,80.8,50.0,2,4,0,4.5,1,-0.13,6,289,0,75.2,72.1,46.5,54.2,51.9,57.5,142,0,20,21.5,53,247,2,38.9,21,74.5,184,32.0,79,93.6,26,0,2.4,6,168,113,5.4,8.0,0.91,2025_this_team
Donovan Murph,205382,WR,S CAROLINA,12,12.0,1,66.7,0.0,0,1,0,6.7,1,0.1,11,289,0,68.7,69.0,61.0,62.1,61.8,0.0,0,0,38,0.6,1,180,0,42.9,14,96.7,174,15.6,28,112.6,21,1,84.4,152,197,56,4.0,14.1,1.13,2025_this_team
Jordan Dingle,146743,TE,S CAROLINA,12,5.5,0,52.6,0.0,0,4,0,9.1,1,-0.04,6,289,0,64.6,68.2,50.9,62.7,54.5,55.4,92,0,33,19.9,33,166,4,40.1,10,75.3,125,33.1,55,75.8,19,0,4.2,7,136,82,8.2,13.6,1.09,2025_this_team
Mazeo Bennett Jr.,184488,WR,S CAROLINA,11,4.6,3,56.3,40.0,2,5,0,18.2,2,-0.37,1,289,0,47.7,67.9,56.9,,54.6,0.0,0,0,11,0.0,0,101,1,32.0,9,96.0,97,67.3,68,64.1,16,0,32.7,33,58,52,5.8,6.4,0.6,2025_this_team
Jared Brown,147081,WR,S CAROLINA,8,13.9,0,54.5,60.0,3,5,0,0.0,0,0.13,5,289,1,77.5,19.8,60.8,,59.8,0.0,0,1,32,0.0,0,66,0,46.8,6,93.9,62,1.5,1,48.3,11,0,97.0,64,102,31,5.2,17.0,1.65,2025_this_team
Maurice Brown II,174318,TE,S CAROLINA,12,7.7,1,28.6,0.0,0,1,0,33.3,1,-0.25,1,289,0,31.6,65.3,42.9,76.0,45.1,27.8,15,2,14,25.9,14,54,1,41.2,2,74.1,40,44.4,24,1.8,7,0,7.4,4,24,22,11.0,12.0,0.6,2025_this_team
Max Drag,174988,TE,UCF,10,7.8,0,60.0,66.7,2,3,0,0.0,0,-0.27,1,323,0,73.1,64.1,50.7,73.0,54.0,78.2,68,1,11,54.0,47,87,3,41.2,3,46.0,40,13.8,12,28.3,5,0,3.4,3,19,4,1.3,6.3,0.48,arrival_2025_at_UCF
Malik Clark,199957,WR,S CAROLINA,4,25.0,0,33.3,100.0,1,1,0,0.0,0,0.17,1,289,0,66.7,61.0,58.1,,57.6,0.0,0,2,9,0.0,0,23,0,61.9,1,91.3,21,0.0,0,2.8,3,0,100.0,23,9,0,0.0,9.0,0.43,2025_this_team
Michael Smith,190237,TE,S CAROLINA,4,5.0,0,100.0,,0,0,0,0.0,0,0.22,1,289,0,70.7,62.9,54.8,75.4,57.8,60.0,21,0,13,20.0,7,35,0,46.9,2,74.3,26,22.9,8,108.3,2,0,5.7,2,20,10,5.0,10.0,0.77,2025_this_team
Jordon Gidron,199955,WR,S CAROLINA,2,31.0,0,0.0,,0,0,0,,0,-0.89,0,289,0,,,44.8,,48.8,0.0,0,0,0,0.0,0,2,0,0.0,0,50.0,1,0.0,0,39.6,1,0,100.0,2,0,0,,,0.0,2025_this_team
Mike Tyler,205378,TE,S CAROLINA,2,8.0,1,100.0,,0,0,0,0.0,0,-0.07,1,289,0,66.7,61.0,69.9,66.9,69.0,55.6,5,0,13,22.2,2,9,0,75.0,1,77.8,7,44.4,4,118.8,1,0,0.0,0,13,5,5.0,13.0,1.86,2025_this_team
