player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te,_provenance
Cole Best,144473,C,USF,13,100.0,0,327,72.3,78.7,69.1,2,8,462,100.0,100.0,98.9,5,10,0,879,871,8,0,879,490,490,0,0,389,0,2025_this_team
Cash Hudson,164802,C,MO STATE,13,100.0,0,230,59.7,70.2,52.6,5,19,526,100.0,100.0,97.0,1,28,4,874,874,0,0,874,562,562,0,0,312,0,arrival_2025_at_MO STATE
Caleb Cook,147118,G,GA SOUTHRN,13,99.9,1,174,66.8,74.6,62.6,0,10,465,100.0,99.8,98.7,2,11,1,844,0,0,0,845,491,492,843,0,353,2,arrival_2025_at_GA SOUTHRN
Zane Herring,122402,G,USF,13,99.9,0,327,66.6,63.3,69.4,4,11,435,99.8,99.8,98.3,5,15,0,839,0,3,231,840,463,464,496,110,376,0,2025_this_team
Thomas Shrader,122417,G,USF,13,100.0,0,327,60.4,68.3,58.0,1,17,437,100.0,100.0,96.8,3,23,5,822,0,812,4,822,464,464,2,4,358,0,2025_this_team
Connor McLaughlin,131771,T,USF,12,100.0,0,327,69.6,73.9,63.8,1,8,383,100.0,100.0,98.3,3,11,2,744,0,0,7,744,407,407,3,732,337,2,2025_this_team
Derek Bowman,123654,T,USF,9,100.0,0,327,61.0,71.0,52.3,0,10,320,100.0,100.0,97.8,1,12,2,638,0,0,633,638,339,339,0,4,299,1,2025_this_team
Julius Tate,186493,G,COAST CAR,12,100.0,0,141,58.4,75.4,56.5,0,4,241,100.0,100.0,98.8,4,5,1,489,0,0,0,489,262,262,489,0,227,0,arrival_2025_at_COAST CAR
Cole Skinner,169999,G,USF,12,99.3,1,327,70.8,70.4,72.1,1,6,229,100.0,100.0,98.0,3,8,1,409,0,49,0,412,241,241,353,2,168,1,2025_this_team
Jaylin Acevedo,189460,T,NAVY,9,99.7,1,237,54.7,45.2,61.6,2,4,110,99.1,99.1,97.3,6,6,0,398,0,0,0,399,115,116,4,373,283,22,arrival_2025_at_NAVY
Devin Davis,198252,G,CHARLOTTE,8,100.0,0,136,59.2,54.2,60.7,2,8,139,100.0,100.0,96.4,3,10,0,257,0,11,0,257,154,154,246,0,103,0,arrival_2025_at_CHARLOTTE
Michael Wooten,157250,G,ARIZONA,9,100.0,0,109,52.0,36.8,54.9,1,5,107,100.0,100.0,95.3,3,8,2,230,0,188,0,230,119,119,31,0,111,10,arrival_2025_at_ARIZONA
Jack Wilty,130585,G,USF,8,100.0,0,327,59.7,74.0,56.3,0,0,39,100.0,100.0,100.0,0,0,0,100,0,29,0,100,42,42,63,0,58,8,2025_this_team
Ethan Green,164144,T,CINCINNATI,4,100.0,0,138,73.2,79.2,73.0,0,0,34,100.0,100.0,100.0,1,0,0,82,0,0,0,82,35,35,0,82,47,0,arrival_2025_at_CINCINNATI
Mike Lofton,123751,C,USF,9,100.0,0,327,64.3,70.5,61.9,0,0,17,100.0,100.0,100.0,0,0,0,71,71,0,0,71,18,18,0,0,53,0,2025_this_team
Braden Carter,189596,T,USF,5,100.0,0,327,56.9,62.1,54.4,0,1,31,100.0,100.0,98.4,0,1,0,69,0,0,8,69,32,32,0,61,37,0,2025_this_team
TJ Lawrence,183444,T,USF,6,100.0,0,327,55.6,29.1,57.3,0,0,6,100.0,100.0,100.0,0,0,0,38,0,0,9,38,6,6,0,29,32,0,2025_this_team
Khalil Collins,199428,G,USF,3,100.0,0,327,73.2,36.3,75.2,1,0,10,100.0,100.0,95.0,0,1,0,34,1,9,0,34,10,10,24,0,24,0,2025_this_team
James Jenkins,175316,T,USF,4,100.0,0,327,68.0,62.8,67.1,0,1,8,100.0,100.0,93.7,0,1,0,28,0,0,28,28,8,8,0,0,20,0,2025_this_team
Caleb Harris,206250,T,USF,2,100.0,0,327,74.1,79.0,71.8,0,0,6,100.0,100.0,100.0,0,0,0,21,0,0,21,21,7,7,0,0,14,0,2025_this_team
Tyreek Major,189613,G,USF,3,100.0,0,327,64.0,76.6,62.6,0,0,3,100.0,100.0,100.0,0,0,0,21,0,21,0,21,4,4,0,0,17,0,2025_this_team
Kade Caton,191321,T,OREGON,4,100.0,0,264,75.7,,72.9,0,0,0,,,,0,0,0,14,0,0,0,14,0,0,0,1,14,13,arrival_2025_at_OREGON
Gerrick Gordon Jr.,199438,G,USF,1,100.0,0,327,42.0,75.2,49.0,0,0,5,100.0,100.0,100.0,1,0,0,12,0,12,0,12,5,5,0,0,7,0,2025_this_team
Jack Storey,184062,T,USF,1,100.0,0,327,60.0,,60.0,0,0,0,,,,0,0,0,2,0,0,0,2,0,0,2,0,2,0,2025_this_team
