player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,_provenance
Isaiah Gibson Sr.,98952,DI,SO MISS,13,6,1,,0,0,296,0,0,57.7,51.2,69.5,56.3,49.5,33.0,0,8,0,0,,22.7,5,0,1,0.0,0,0,0,7,0,2,530,523,205,311,2,5,0,7,265,263,0,9,11,1,0,8,0,0,0,,2025_this_team
Xavier McIver,123825,DI,E CAROLINA,1,1,0,,0,0,156,0,0,,62.4,76.3,57.3,65.2,51.1,0,1,0,0,,25.0,1,0,0,0.0,0,1,0,0,0,0,44,44,1,29,7,7,0,0,25,19,0,3,2,1,0,2,0,0,0,,arrival_2025_at_E CAROLINA
Eric Thomas Jr.,123966,ED,SO MISS,11,3,0,,0,0,296,0,0,61.4,82.2,81.0,77.3,76.1,64.6,0,6,0,0,,14.3,1,0,0,0.0,0,1,0,0,0,0,92,92,0,11,57,24,0,0,46,46,0,3,3,0,0,7,0,0,0,,2025_this_team
Kyle Davis,142124,DI,SO MISS,4,0,0,,0,0,296,0,0,,60.3,71.2,58.3,60.8,,0,1,0,0,,,0,0,0,0.0,0,0,0,2,0,0,14,12,0,10,0,2,0,2,3,11,0,0,0,0,0,1,0,0,0,,2025_this_team
Jabari Ishmael,143944,ED,SO MISS,11,5,0,100.0,0,0,296,1,0,71.1,66.6,88.5,60.2,64.2,66.4,0,10,0,0,42,13.0,3,0,0,118.8,2,1,0,13,0,34,314,297,0,0,297,0,0,17,119,161,4,7,15,1,2,11,0,46,31,23.0,2025_this_team
JJ Hawkins,146833,ED,SO MISS,13,6,0,,0,2,296,0,0,87.4,71.9,33.5,70.7,65.2,40.1,6,14,0,1,,31.8,7,0,2,0.0,0,3,1,3,0,11,359,356,0,51,234,71,0,3,181,167,0,12,9,2,0,23,0,0,0,,2025_this_team
Brodarius Lewis,156845,DI,SO MISS,13,20,3,,0,0,296,0,0,57.8,81.3,72.2,70.6,85.5,58.3,3,25,0,0,,12.3,9,0,1,0.0,0,1,0,11,0,5,724,713,33,533,7,140,0,11,390,329,0,36,44,3,0,29,0,0,0,,2025_this_team
J'Mond Tapp,163863,ED,SO MISS,13,14,1,,1,0,296,0,0,76.1,90.0,30.2,91.1,78.8,72.5,18,34,0,0,,9.2,6,0,4,0.0,0,10,0,5,0,8,636,631,1,79,422,129,0,5,346,282,0,41,45,5,0,62,0,0,0,,2025_this_team
Garrick Ponder,164307,ED,SO MISS,13,13,0,80.0,0,0,296,1,0,76.9,80.9,89.2,79.5,72.9,67.4,5,16,0,0,26,16.3,7,0,0,147.9,4,3,0,15,0,56,392,369,0,1,368,0,0,23,165,171,8,22,23,7,5,24,1,50,20,12.5,2025_this_team
Quinzavious Warren,170443,DI,SO MISS,9,1,0,,0,0,296,0,0,,67.9,77.2,66.5,64.9,70.1,0,2,0,0,,0.0,0,0,0,0.0,0,0,0,2,0,0,47,45,17,28,0,0,0,2,23,24,0,0,0,0,0,2,0,0,0,,2025_this_team
