player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te,_provenance
Broderick Roman,100253,C,SO MISS,13,100.0,2,296,64.3,76.2,63.7,0,10,504,100.0,100.0,99.0,11,10,0,943,710,0,0,943,543,543,233,0,400,0,2025_this_team
Hayes Creel,160187,T,SO MISS,13,100.0,1,296,56.6,60.2,51.1,2,21,495,100.0,100.0,97.3,4,25,2,930,0,1,0,930,533,533,0,929,397,0,2025_this_team
Greg Nunnery,184781,G,SO MISS,13,100.0,0,296,56.5,68.7,51.0,1,13,463,100.0,100.0,97.8,5,17,3,881,0,504,376,881,499,499,0,0,382,1,2025_this_team
Aloali'i Maui,175947,G,SO MISS,11,100.0,0,296,56.5,69.0,52.4,0,10,387,100.0,100.0,98.4,7,11,1,718,164,0,0,718,418,418,553,0,300,1,2025_this_team
Blake Bustard,184042,T,SO MISS,10,100.0,0,296,62.6,72.4,54.5,2,8,326,100.0,100.0,98.2,1,11,1,577,0,0,576,577,348,348,0,0,229,1,2025_this_team
Cooper Frazier,139071,G,SO MISS,9,100.0,0,296,55.9,67.5,55.1,0,6,173,100.0,100.0,98.3,3,6,0,373,88,242,0,373,197,197,43,0,176,0,2025_this_team
Luke Rogers,173572,G,SO MISS,10,100.0,0,296,67.5,74.0,67.1,0,3,115,100.0,100.0,98.7,1,3,0,215,9,147,0,215,127,127,58,0,88,0,2025_this_team
Carlos Slayden,190704,G,SO MISS,7,100.0,0,296,49.7,36.8,55.3,1,6,73,100.0,100.0,93.8,2,8,1,147,0,78,0,147,77,77,65,0,70,4,2025_this_team
RJ Whitehead,188328,T,SO MISS,5,100.0,0,296,49.2,58.5,45.7,0,2,18,100.0,100.0,94.4,0,2,0,46,0,0,0,46,23,23,0,43,23,3,2025_this_team
Liam Cassidy,205389,G,SO MISS,3,100.0,0,296,59.0,76.5,57.4,0,0,3,100.0,100.0,100.0,0,0,0,20,0,0,0,20,5,5,20,0,15,0,2025_this_team
Jez Janvier,145758,T,SO MISS,2,100.0,0,296,51.2,74.1,48.7,0,0,3,100.0,100.0,100.0,0,0,0,11,0,0,11,11,3,3,0,0,8,0,2025_this_team
Larry Edwards,191237,T,SO MISS,1,100.0,0,296,58.9,74.6,57.0,0,0,0,,100.0,,0,0,0,9,0,0,9,9,2,2,0,0,7,0,2025_this_team
Hayden Breal,191230,C,SO MISS,2,100.0,0,296,60.0,68.0,59.7,0,0,1,100.0,100.0,100.0,0,0,0,3,2,1,0,3,1,1,0,0,2,0,2025_this_team
