player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,_provenance
Clay Patterson,106446,DI,STANFORD,12,5,0,,0,1,300,1,0,58.5,82.8,62.3,83.1,76.1,59.3,7,16,0,0,,15.4,4,0,1,0.0,0,5,0,4,0,0,421,417,55,228,28,106,0,4,264,157,0,17,17,1,0,28,0,0,0,,2025_this_team
Kole Briehler,131078,DI,STANFORD,1,0,0,,0,0,300,0,0,,61.7,73.0,58.5,62.2,70.1,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,11,11,10,1,0,0,0,0,7,4,0,1,1,0,0,0,0,0,0,,2025_this_team
Ese Dubre,146374,ED,STANFORD,10,3,0,100.0,0,1,300,1,0,62.0,86.3,83.1,71.9,90.7,81.2,1,10,0,0,4,10.0,1,0,0,83.3,1,2,0,2,0,4,122,119,0,27,87,5,0,3,73,45,0,4,6,0,1,13,0,4,2,4.0,2025_this_team
Wilfredo Aybar,146378,ED,STANFORD,9,11,0,100.0,0,0,300,1,1,54.6,54.4,64.1,50.8,60.6,56.2,1,6,0,0,11,20.0,6,0,1,110.4,2,0,0,4,0,31,379,358,0,36,289,33,0,21,194,154,17,6,13,1,2,7,0,21,22,10.5,2025_this_team
Anthony Franklin,146379,DI,STANFORD,12,3,1,,0,0,300,0,0,60.0,51.9,32.3,57.6,50.8,51.2,1,4,0,0,,20.0,2,0,2,0.0,0,1,0,1,0,0,324,323,77,207,1,38,0,1,186,138,0,3,5,1,0,6,0,0,0,,2025_this_team
Zach Buckey,146383,DI,STANFORD,10,2,1,,0,0,300,0,0,56.6,56.8,81.8,57.8,56.5,27.5,1,4,0,0,,40.0,4,0,0,0.0,0,0,0,1,0,1,181,180,43,101,7,29,0,1,100,80,0,3,4,1,0,5,0,0,0,,2025_this_team
Ernest Cooper,157278,ED,STANFORD,12,9,0,100.0,0,0,300,1,0,46.5,56.3,68.2,50.7,68.9,68.3,3,10,0,0,31,15.4,4,0,1,118.8,4,3,0,6,0,33,438,423,1,53,330,39,0,15,249,156,9,8,13,2,4,16,0,87,53,21.8,2025_this_team
Tevarua Tafiti,157281,ED,STANFORD,11,6,1,78.6,0,0,300,0,0,52.8,65.3,75.6,61.1,73.4,53.7,9,26,0,0,18,23.8,10,1,1,118.2,11,2,0,16,0,81,599,546,0,0,545,1,0,53,286,232,37,20,26,5,14,37,1,93,80,8.5,2025_this_team
Zach Rowell,157284,DI,STANFORD,12,6,0,,0,0,300,0,0,62.7,49.5,50.4,56.5,43.9,67.1,0,7,0,0,,7.7,1,0,1,0.0,0,0,0,1,0,0,260,259,24,176,10,49,0,1,161,99,0,5,6,0,0,7,0,0,0,,2025_this_team
Gavin Geweniger,176613,ED,STANFORD,1,0,0,,0,0,300,0,0,60.0,60.2,74.1,57.9,60.6,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,1,11,11,0,1,10,0,0,0,6,4,0,0,0,0,0,0,0,0,0,,2025_this_team
Braden Marceau-Olayinka,176622,DI,STANFORD,12,5,0,100.0,0,0,300,0,0,48.2,67.1,10.6,63.7,75.6,69.8,2,10,0,0,0,6.3,1,0,3,79.2,1,0,0,1,0,1,276,275,131,135,0,9,0,1,158,117,0,9,10,1,1,12,0,0,6,0.0,2025_this_team
Omar Staples,176629,DI,STANFORD,12,2,0,,0,1,300,0,0,59.5,67.1,81.4,62.5,69.1,69.2,2,8,0,0,,7.7,1,0,0,0.0,0,1,0,4,0,0,220,216,10,132,12,62,0,4,143,77,0,8,10,2,0,11,0,0,0,,2025_this_team
Dylan Stephenson,183280,ED,STANFORD,8,0,0,100.0,0,0,300,0,0,37.2,50.0,83.2,51.8,61.9,28.6,0,0,0,0,28,50.0,5,0,0,118.8,1,0,0,1,0,11,90,86,0,0,86,0,0,4,42,37,3,4,5,0,1,0,0,28,26,28.0,2025_this_team
Benedict Umeh,183281,ED,STANFORD,1,0,0,,0,0,300,0,0,,63.9,68.6,57.6,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,6,6,0,2,0,4,0,0,5,1,0,0,0,0,0,0,0,0,0,,2025_this_team
Joe Asiain,188852,DI,STANFORD,5,2,1,,0,0,300,0,0,60.0,60.0,74.3,68.9,54.2,74.3,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,30,30,1,20,2,7,0,0,9,21,0,0,1,0,0,0,0,0,0,,2025_this_team
Connor Bachhuber,188853,DI,STANFORD,3,0,0,,0,0,300,0,0,,60.9,72.3,60.0,60.5,70.2,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,14,14,0,11,1,2,0,0,1,13,0,1,1,0,0,0,0,0,0,,2025_this_team
