player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,epa,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,positive_epa_percent,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr,_provenance
CJ Williams,158471,WR,STANFORD,12,10.8,7,64.1,59.3,16,27,0,3.3,2,-0.17,41,300,0,84.9,74.6,76.5,62.1,77.2,0.0,0,2,36,0.2,1,425,3,39.6,59,94.8,403,11.8,50,102.1,92,6,88.2,375,749,185,3.1,12.7,1.86,2025_this_team
Sam Roush,157270,TE,STANFORD,12,6.3,3,61.3,40.0,4,10,1,12.5,7,-0.18,20,300,1,53.6,44.7,57.1,68.8,56.6,65.6,297,4,69,9.5,43,453,2,39.7,49,86.3,391,29.1,132,69.0,80,2,5.1,23,545,319,6.5,11.1,1.39,2025_this_team
Caden High,196883,WR,STANFORD,12,8.9,9,66.1,25.0,1,4,0,0.0,0,-0.17,18,300,0,90.7,76.5,68.1,,69.8,1.1,3,1,34,0.0,0,269,3,39.3,37,95.5,257,88.5,238,86.5,56,1,10.4,28,414,169,4.6,11.2,1.61,2025_this_team
Bryce Farrell,131758,WR,STANFORD,12,13.8,3,65.9,60.0,6,10,0,6.5,2,-0.11,16,300,0,71.6,74.4,62.0,,60.2,0.6,2,2,68,0.0,0,343,1,39.3,29,95.6,328,9.9,34,96.3,44,2,89.5,307,455,128,4.4,15.7,1.39,2025_this_team
Marcus Brown,188856,WR,STANFORD,10,5.5,2,54.5,33.3,1,3,0,14.3,2,-0.42,6,300,0,52.0,68.5,61.1,,61.5,3.7,3,0,21,0.0,0,81,0,28.6,12,95.1,77,91.4,74,79.0,22,1,4.9,4,86,43,3.6,7.2,1.12,2025_this_team
Myles Libman,176621,WR,STANFORD,12,10.4,0,50.0,0.0,0,3,0,12.5,1,-0.29,4,300,0,56.4,66.7,54.2,67.1,52.6,2.1,2,2,20,1.1,1,95,1,43.5,7,95.8,91,16.8,16,53.0,14,1,80.0,76,84,25,3.6,12.0,0.92,2025_this_team
Benji Blackburn,193238,TE,STANFORD,12,10.1,0,81.8,50.0,1,2,0,0.0,0,0.13,6,300,0,80.1,67.5,60.7,71.1,67.5,77.1,81,0,26,18.1,19,105,1,51.0,9,73.3,77,21.0,22,138.3,11,1,1.9,2,109,35,3.9,12.1,1.42,2025_this_team
Jordan Onovughe,171903,WR,STANFORD,4,7.3,0,33.3,0.0,0,1,0,0.0,0,-1.09,1,300,0,70.7,62.9,57.9,,57.4,3.3,1,1,12,0.0,0,30,1,20.7,2,96.7,29,16.7,5,2.8,6,0,80.0,24,17,4,2.0,8.5,0.59,2025_this_team
Liam Thorpe,200323,WR,STANFORD,4,22.0,0,0.0,0.0,0,1,0,,0,-0.59,0,300,0,,80.6,54.1,,53.9,0.0,0,0,0,0.0,0,12,0,16.7,0,100.0,12,50.0,6,39.6,2,0,50.0,6,0,0,,,0.0,2025_this_team
Brendan Doyle,169941,TE,STANFORD,12,1.0,0,100.0,,0,0,0,0.0,0,-0.2,0,300,0,66.7,63.6,59.2,78.4,48.3,67.6,23,0,3,32.4,11,34,0,41.9,1,61.8,21,11.8,4,79.2,1,0,8.8,3,3,2,2.0,3.0,0.14,2025_this_team
Chico Holt,176617,TE,STANFORD,2,3.0,0,100.0,,0,0,0,0.0,0,1.66,1,300,0,66.7,61.0,88.7,67.1,86.1,50.0,1,0,36,50.0,1,2,0,50.0,1,50.0,1,0.0,0,118.8,1,0,50.0,1,36,33,33.0,36.0,36.0,2025_this_team
