player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,_provenance
David Reese,90079,ED,SYRACUSE,12,4,2,60.0,0,0,304,2,0,58.4,60.1,52.0,68.3,51.9,74.7,2,17,0,0,24,7.4,2,0,2,97.1,3,3,0,17,0,48,495,463,0,7,448,8,0,32,248,199,14,12,21,0,5,22,0,54,42,18.0,2025_this_team
Dion Wilson Jr.,131600,DI,SYRACUSE,12,10,2,,0,0,304,0,0,62.5,69.0,41.5,66.9,68.9,74.0,2,6,0,0,,4.0,1,0,2,0.0,0,0,0,3,0,0,394,390,115,270,1,4,0,4,211,183,0,8,14,3,0,8,0,0,0,,2025_this_team
Elijah Fuentes-Cundiff,144045,DI,SYRACUSE,12,1,0,,0,0,304,0,0,60.0,55.4,78.3,59.9,52.1,75.3,0,1,0,0,,0.0,0,0,0,0.0,0,1,0,0,0,0,89,89,11,72,0,6,0,0,42,47,0,4,3,0,0,2,0,0,0,,2025_this_team
George Rooks,144941,DI,SYRACUSE,12,4,0,,0,0,304,0,0,60.0,51.6,55.5,53.8,52.0,79.0,0,2,0,0,,0.0,0,0,1,0.0,0,0,0,1,0,0,310,309,11,207,39,52,0,1,164,146,0,5,8,1,0,2,0,0,0,,2025_this_team
Chris Thomas,146708,DI,SYRACUSE,12,1,0,,0,0,304,0,0,59.6,56.6,79.3,60.1,54.7,76.1,1,2,0,0,,0.0,0,0,0,0.0,0,0,0,1,0,1,108,107,18,89,0,0,0,1,48,59,0,4,5,1,0,3,0,0,0,,2025_this_team
Tunmise Adeleye,146982,ED,UNLV,13,7,2,100.0,2,0,325,0,0,70.3,70.5,0.0,77.9,68.5,69.2,3,28,0,0,6,9.1,4,0,9,91.7,1,5,0,4,0,6,561,555,5,63,403,84,0,6,319,236,0,29,33,1,1,36,0,6,8,6.0,arrival_2025_at_UNLV
Denis Jaquez Jr.,158300,ED,SYRACUSE,11,6,0,,0,0,304,0,0,60.6,54.8,85.8,59.9,48.6,38.2,1,10,0,0,,30.4,7,0,0,0.0,0,1,0,1,0,0,393,391,0,54,265,72,0,2,209,184,0,6,10,2,0,12,0,0,0,,2025_this_team
Kevin Jobity Jr.,158301,DI,SYRACUSE,12,4,2,,0,0,304,0,0,71.0,66.8,84.7,68.6,58.2,53.9,1,18,0,0,,16.0,4,0,0,0.0,0,5,0,1,0,0,428,426,45,269,58,54,0,2,255,173,0,19,17,1,0,24,0,0,0,,2025_this_team
Isaiah Hastings,163594,DI,SYRACUSE,12,2,0,,0,0,304,0,0,,61.1,80.0,58.5,61.6,75.9,0,1,0,0,,0.0,0,0,0,0.0,0,0,0,3,0,0,126,123,15,94,0,14,0,3,64,62,0,3,4,0,0,1,0,0,0,,2025_this_team
Dillan Fontus,170192,DI,MARYLAND,12,7,1,,0,0,215,0,0,58.4,64.7,84.4,57.3,68.8,45.3,1,8,0,0,,17.1,6,0,0,0.0,0,3,0,0,0,4,428,428,17,253,50,108,0,0,219,205,0,18,22,3,0,12,0,0,0,,arrival_2025_at_MARYLAND
David Omopariola,170386,ED,SYRACUSE,12,3,0,80.0,0,0,304,0,0,60.1,65.2,88.2,65.2,63.0,61.7,2,9,0,0,27,13.8,4,0,0,111.7,4,0,1,22,0,28,317,285,0,0,284,1,0,32,127,162,10,14,22,5,5,11,0,54,21,13.5,2025_this_team
Rashard Perry,176021,DI,SYRACUSE,5,2,0,,0,0,304,1,0,60.0,67.1,80.0,83.5,45.7,37.1,0,7,0,0,,33.3,2,0,0,0.0,0,1,0,0,0,0,117,117,38,76,0,3,0,0,75,42,0,2,2,0,0,8,0,0,0,,2025_this_team
Caden Brown,183371,ED,SYRACUSE,2,0,0,,0,0,304,0,0,,53.8,71.4,53.7,60.0,,0,1,0,0,,,0,0,0,0.0,0,0,0,0,0,0,9,8,0,0,7,1,0,1,7,2,0,0,0,0,0,1,0,0,0,,2025_this_team
Jahide Lesaine Jr.,183375,ED,SYRACUSE,3,0,0,,0,0,304,1,0,60.6,48.4,77.0,55.3,42.4,73.6,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,1,49,48,0,5,30,13,0,1,31,17,0,1,2,0,0,0,0,0,0,,2025_this_team
Jamie Tremble,197056,ED,SYRACUSE,11,3,0,100.0,0,0,304,0,0,53.3,53.9,15.6,61.3,54.5,65.1,3,5,0,0,21,15.0,3,0,2,147.9,4,3,0,48,0,53,246,186,0,0,186,0,0,60,85,108,12,12,14,1,4,11,1,40,28,10.0,2025_this_team
Eric Thomas,199219,DI,SYRACUSE,2,0,0,,0,0,304,0,0,,65.4,71.0,57.8,65.8,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,9,9,2,7,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,,2025_this_team
DeAngelo Thompson,199220,ED,SYRACUSE,2,0,0,,0,0,304,0,0,60.0,60.0,75.3,67.4,54.4,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,1,14,14,0,0,14,0,0,0,4,9,0,0,0,0,0,0,0,0,0,,2025_this_team
Jaylen Pray,199226,ED,SYRACUSE,1,0,0,,0,0,304,0,0,,61.5,70.2,59.7,60.9,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,5,5,0,0,5,0,0,0,2,3,0,0,0,0,0,0,0,0,0,,2025_this_team
