player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,_provenance
Anwar Sparrow,123054,LB,SYRACUSE,11,11,0,92.3,0,0,304,1,1,73.7,65.2,23.4,55.5,59.1,59.7,1,2,0,0,25,18.4,7,3,1,96.8,12,1,0,222,5,118,278,23,0,0,23,0,4,255,31,129,24,16,20,3,13,4,0,94,74,7.8,2025_this_team
Derek McDonald,144059,LB,SYRACUSE,3,2,0,80.0,0,0,304,0,0,54.3,50.0,82.0,57.8,47.3,82.5,1,0,0,0,34,0.0,0,1,0,158.3,4,0,0,56,0,39,90,22,0,0,22,0,0,68,11,40,12,2,6,1,5,1,1,69,34,17.3,2025_this_team
Josh Kubala,158302,LB,SYRACUSE,1,0,0,,0,0,304,0,0,,60.0,60.0,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,2025_this_team
Gary Bryant III,164824,LB,SYRACUSE,12,13,0,82.6,0,0,304,0,0,29.8,49.1,86.1,60.8,64.8,75.8,0,8,0,0,29,9.0,6,1,1,146.5,19,1,0,367,2,194,437,33,0,0,33,0,1,404,44,199,33,27,48,5,23,9,5,222,112,11.7,2025_this_team
Chris D'Appolonia,171373,LB,TOLEDO,12,16,0,52.0,0,0,316,0,0,85.1,71.1,84.9,57.1,58.8,66.7,3,6,0,0,38,12.7,9,3,0,65.4,13,0,0,482,12,299,638,65,0,0,65,0,5,573,44,295,74,29,46,5,25,9,0,120,65,9.2,arrival_2025_at_TOLEDO
James Heard,173179,LB,SYRACUSE,11,5,0,71.4,0,0,304,0,0,53.6,55.2,79.5,52.1,60.1,50.8,0,2,0,0,19,20.0,4,0,1,84.2,5,0,0,118,1,56,142,10,0,0,10,0,0,132,14,72,13,5,11,2,7,2,0,38,35,7.6,2025_this_team
Zyian Moultrie-Goddard,176040,LB,SYRACUSE,8,2,0,33.3,0,0,304,0,0,62.0,64.4,79.0,59.8,64.6,52.5,0,1,0,0,23,16.7,2,0,0,61.8,1,0,0,68,0,25,81,7,0,0,7,0,0,74,7,49,6,5,8,1,3,1,0,23,2,23.0,2025_this_team
Fatim Diggs,197576,LB,SYRACUSE,2,2,1,,0,0,304,0,0,63.8,76.5,69.4,67.4,69.7,77.9,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,11,0,4,12,1,0,0,1,0,0,11,2,6,0,0,1,0,0,0,0,0,0,,2025_this_team
Antoine Deslauriers,199230,LB,SYRACUSE,12,18,1,87.0,0,1,304,0,0,59.1,61.8,43.7,62.5,64.1,68.4,0,5,0,0,54,14.5,10,1,1,108.9,20,1,0,374,1,198,449,27,0,0,27,0,0,422,39,212,46,27,41,3,23,6,0,233,171,11.7,2025_this_team
Trey Dudley,204303,LB,SYRACUSE,1,0,0,,0,0,304,0,0,,60.0,64.1,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,2025_this_team
