player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,epa,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,positive_epa_percent,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr,_provenance
Cole Weaver,171295,WR,MIAMI OH,14,14.4,5,58.4,52.6,10,19,0,2.2,1,-0.1,33,221,0,86.2,73.3,69.7,,70.2,0.0,0,1,36,0.0,0,420,3,39.0,45,95.2,400,20.2,85,84.4,77,1,79.8,335,642,140,3.1,14.3,1.61,arrival_2025_at_MIAMI OH
Johntay Cook II,131255,WR,SYRACUSE,12,10.0,3,63.0,33.3,4,12,1,9.8,5,-0.3,23,304,3,62.3,19.7,62.2,,63.1,0.0,0,2,59,0.0,0,366,3,35.5,46,92.9,340,72.7,266,83.7,73,2,26.8,98,550,204,4.4,12.0,1.62,2025_this_team
Darrell Gill Jr.,176036,WR,SYRACUSE,12,16.7,4,47.8,33.3,4,12,0,8.6,3,-0.21,23,304,1,66.6,35.4,58.7,,59.3,0.0,0,5,43,0.0,0,438,1,38.1,32,94.1,412,14.2,62,66.9,67,5,85.6,375,502,100,3.1,15.7,1.22,2025_this_team
Dan Villari,129602,TE,SYRACUSE,12,6.9,4,70.9,62.5,5,8,3,0.0,0,-0.22,17,304,0,91.0,77.7,63.1,55.2,63.6,39.4,192,3,35,20.9,102,487,6,38.1,39,74.5,363,56.9,277,69.2,55,0,2.1,10,406,169,4.3,10.4,1.12,2025_this_team
Justus Ross-Simmons,163334,WR,SYRACUSE,9,13.2,2,48.8,46.2,6,13,0,4.8,1,0.01,13,304,0,75.9,70.6,68.6,,68.7,0.0,0,1,53,0.0,0,178,1,44.2,20,91.6,163,7.9,14,103.9,41,5,92.1,164,312,138,6.9,15.6,1.91,2025_this_team
Noah Meyers,173445,TE,W KENTUCKY,11,5.6,2,82.1,60.0,3,5,0,3.0,1,-0.05,17,346,1,81.8,34.1,60.9,69.9,65.3,46.8,160,0,59,16.1,55,342,1,43.5,32,79.8,273,48.0,164,130.7,39,3,5.0,17,359,162,5.1,11.2,1.32,arrival_2025_at_W KENTUCKY
Jaylan Hornsby,197643,WR,SYRACUSE,10,11.4,1,42.1,0.0,0,3,0,33.3,4,-0.09,5,304,0,20.9,67.1,49.2,,50.3,0.0,0,0,25,0.0,0,160,0,42.2,8,96.3,154,5.0,8,77.3,19,1,95.0,152,103,24,3.0,12.9,0.67,2025_this_team
Emanuel Ross,193426,WR,SYRACUSE,6,12.5,2,58.8,50.0,3,6,0,0.0,0,-0.33,8,304,0,80.9,67.9,66.8,,67.6,0.9,1,0,20,0.0,0,107,0,32.0,10,93.5,100,19.6,21,97.7,17,1,79.4,85,110,39,3.9,11.0,1.1,2025_this_team
Tyshawn Russell,175926,WR,SYRACUSE,3,6.3,1,69.2,0.0,0,1,0,18.2,2,0.03,4,304,0,44.7,69.4,59.3,,60.0,0.0,0,1,28,0.0,0,54,0,54.0,9,92.6,50,72.2,39,54.3,13,0,27.8,15,83,41,4.6,9.2,1.66,2025_this_team
Darien Williams,204310,WR,SYRACUSE,7,8.1,2,66.7,100.0,2,2,0,20.0,2,-0.02,4,304,0,41.2,68.2,58.9,,59.6,0.0,0,0,35,0.0,0,76,1,44.4,8,94.7,72,90.8,69,120.5,12,1,9.2,7,101,71,8.9,12.6,1.4,2025_this_team
Darius Johnson,199224,WR,SYRACUSE,4,7.6,0,75.0,50.0,1,2,0,14.3,1,-0.91,2,304,0,53.8,66.2,64.1,,65.4,0.0,0,1,25,0.0,0,62,0,24.6,6,91.9,57,91.9,57,50.0,8,0,8.1,5,48,7,1.2,8.0,0.84,2025_this_team
