player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,_provenance
Channing Canada,121668,CB,TCU,13,4,0,65.8,0,0,305,0,0,61.4,63.0,46.4,53.1,73.7,65.6,0,1,0,1,57,11.9,5,2,4,100.4,25,0,0,22,624,360,655,4,0,0,4,0,4,651,2,293,0,7,33,0,38,1,2,337,85,13.5,2025_this_team
Bud Clark,123066,S,TCU,11,11,0,65.9,2,0,305,0,0,77.2,80.4,52.3,71.9,83.1,69.3,1,2,1,4,44,14.5,9,6,7,75.9,27,1,0,250,0,400,725,1,0,0,1,0,160,724,4,321,313,13,42,1,41,4,4,256,127,9.5,2025_this_team
Avery Helm,124379,CB,TCU,3,0,0,62.5,0,0,305,0,0,56.1,60.1,77.5,60.0,71.6,81.1,0,0,0,0,41,0.0,0,1,3,140.1,5,0,0,2,67,42,70,1,0,0,1,0,0,69,1,27,0,2,5,0,8,0,1,89,14,17.8,2025_this_team
Elijah Jackson,131899,CB,TCU,1,1,0,,0,0,305,0,0,,64.5,64.9,,62.9,74.3,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,2,1,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,,2025_this_team
Austin Jordan,163850,S,TCU,13,10,0,57.1,0,0,305,0,0,66.7,69.5,85.6,51.4,78.3,65.2,2,5,0,0,16,14.0,7,2,2,67.8,12,1,0,276,0,313,601,41,0,0,41,0,93,560,34,254,190,18,33,2,21,8,0,91,72,7.6,2025_this_team
Kalen Carroll,164139,CB,C MICHIGAN,13,10,0,46.8,0,1,134,0,0,79.1,74.6,51.9,46.3,64.0,68.4,0,1,0,2,45,12.5,7,3,4,60.3,29,0,0,79,591,407,722,14,0,0,14,0,0,708,23,292,38,14,39,1,62,1,2,326,87,11.2,arrival_2025_at_C MICHIGAN
Jacob Fields,170457,S,LA TECH,12,15,0,60.0,0,0,208,0,0,80.2,72.8,54.3,54.5,59.0,38.9,2,2,2,3,41,24.4,29,5,3,88.1,15,0,0,203,1,457,775,7,0,0,7,0,464,768,18,300,100,21,75,3,25,4,4,216,57,14.4,arrival_2025_at_LA TECH
Kylin Jackson,172482,S,TCU,12,5,1,76.5,0,0,305,0,0,53.2,65.1,82.1,65.6,83.5,41.7,1,6,0,0,32,29.4,10,0,0,147.9,13,2,0,107,0,114,227,21,0,0,21,0,14,206,23,90,85,13,19,2,17,9,2,175,85,13.5,2025_this_team
Ryan Yaites,172501,S,TCU,3,1,0,,0,0,305,0,0,64.2,69.5,72.6,,71.6,77.7,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,10,0,8,19,0,0,0,0,0,8,19,0,11,1,1,1,0,0,0,0,0,0,,2025_this_team
Vernon Glover Jr.,173137,CB,TCU,13,7,0,51.9,0,0,305,0,0,66.2,71.0,86.1,51.1,90.0,67.7,0,0,0,1,46,13.7,7,6,2,71.0,27,0,0,44,592,361,659,12,0,0,12,0,10,647,5,293,0,12,37,1,52,0,0,420,126,15.6,2025_this_team
Jamel Johnson,173140,S,TCU,13,15,0,66.1,0,0,305,1,0,62.7,72.7,58.9,55.9,88.2,90.0,0,2,0,5,43,7.1,8,2,3,100.5,39,0,0,424,5,508,906,0,0,0,0,0,345,906,2,396,131,45,90,3,59,2,7,553,177,14.2,2025_this_team
Jordan Lester,173142,S,TCU,9,3,0,65.0,0,0,305,0,0,54.3,57.1,82.4,,65.3,40.2,0,0,0,0,26,27.3,6,1,0,89.2,13,0,0,54,0,96,173,0,0,0,0,0,30,173,0,77,89,3,13,0,20,0,0,158,72,12.2,2025_this_team
Jevon McIver Jr.,173761,CB,TCU,12,0,0,66.7,0,0,305,0,0,59.2,59.3,83.2,60.0,58.1,63.1,0,0,0,0,29,13.6,3,2,2,114.8,16,0,0,16,284,177,318,6,0,0,6,0,8,312,1,140,3,5,19,1,24,0,2,169,49,10.6,2025_this_team
Teon Parks,177128,CB,COLORADO,10,2,0,62.5,0,0,143,0,0,41.5,49.7,83.8,59.9,77.2,39.7,0,0,0,0,42,24.0,6,1,2,126.2,15,0,0,37,365,179,431,5,0,0,5,0,1,426,1,251,22,4,17,0,24,0,4,187,59,12.5,arrival_2025_at_COLORADO
Kaden McFadden,183833,S,TCU,6,0,0,100.0,0,0,305,0,0,44.1,40.2,73.9,,49.2,27.9,0,0,0,0,39,50.0,1,0,0,118.8,1,0,0,7,0,4,13,0,0,0,0,0,5,13,0,9,0,0,1,0,1,0,0,39,0,39.0,2025_this_team
Devondre McGee,183834,CB,TCU,3,1,0,80.0,0,0,305,0,0,51.1,53.2,75.8,,64.8,80.7,0,0,0,0,42,0.0,0,0,0,158.3,4,0,0,1,34,21,37,1,0,0,1,0,0,36,0,16,1,1,4,0,5,0,1,98,18,24.5,2025_this_team
