player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,_provenance
Devean Deal,144411,ED,TCU,13,20,3,63.6,1,1,305,1,1,59.4,75.1,64.7,74.1,74.2,46.0,6,29,0,0,15,20.8,15,1,2,106.6,7,4,0,162,0,83,802,613,0,0,611,2,0,189,358,361,26,26,37,4,11,39,1,56,30,8.0,2025_this_team
Connor Lingren,157293,DI,TCU,13,2,0,,0,0,305,0,0,,55.0,84.7,51.7,56.9,74.9,0,1,0,0,,0.0,0,0,0,0.0,0,0,0,1,0,0,229,228,91,137,0,0,0,1,115,114,0,2,5,0,0,1,0,0,0,,2025_this_team
Paul Oyewale,157294,ED,TCU,13,5,0,,1,1,305,1,0,70.9,77.5,69.0,64.1,84.6,64.6,3,24,0,0,,13.9,5,0,1,0.0,0,2,0,0,0,11,503,502,0,13,359,130,0,1,299,193,0,22,26,6,0,29,0,0,0,,2025_this_team
Jonathan Bax,173128,ED,TCU,13,2,1,50.0,0,1,305,0,0,75.2,62.6,87.3,54.0,65.8,81.6,0,6,0,0,-1,0.0,0,0,0,56.3,1,1,0,35,0,18,244,203,0,3,197,3,0,41,150,76,6,7,6,1,2,7,0,-1,2,-1.0,2025_this_team
Zach Chapman,173132,ED,TCU,11,12,0,,1,1,305,1,0,62.9,68.7,68.7,61.4,72.9,71.3,3,22,0,0,,10.0,3,0,1,0.0,0,3,0,1,0,2,514,513,31,55,290,137,0,1,294,218,0,13,15,2,0,28,0,0,0,,2025_this_team
Markis Deal,173134,DI,TCU,13,7,2,,0,0,305,0,0,67.2,63.9,88.0,61.2,61.6,62.1,0,7,0,0,,12.0,3,0,0,0.0,0,3,0,0,0,0,546,545,246,292,1,6,0,1,283,263,0,14,15,0,0,10,0,0,0,,2025_this_team
Koron Hayward,173436,ED,W KENTUCKY,12,3,1,62.5,0,0,346,0,0,56.2,64.0,58.8,70.1,61.5,36.1,4,9,1,1,33,30.0,6,0,2,53.1,5,3,0,62,0,67,347,253,0,9,242,2,0,94,126,154,29,11,11,1,8,16,0,74,56,14.8,arrival_2025_at_W KENTUCKY
Ansel Din-Mbuh,174195,DI,TCU,12,4,0,,1,0,305,0,0,60.0,68.7,65.6,60.5,73.0,64.2,0,6,0,0,,12.0,3,0,1,0.0,0,3,0,0,0,0,488,487,31,277,25,154,0,1,254,234,0,17,18,5,0,9,0,0,0,,2025_this_team
Sterlin Brooks,183818,DI,TCU,3,1,0,,0,0,305,0,0,,64.6,76.0,58.0,65.0,73.1,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,23,23,10,13,0,0,0,0,6,17,0,1,3,0,0,0,0,0,0,,2025_this_team
Travis Jackson,183828,ED,TCU,5,2,0,,0,0,305,0,0,61.8,69.5,76.4,54.3,75.1,76.5,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,5,0,3,27,21,0,1,18,2,0,6,10,14,1,1,1,0,0,0,0,0,0,,2025_this_team
Tristan Johnson,183829,DI,TCU,13,8,0,,0,1,305,0,0,62.7,68.1,82.3,55.3,73.7,73.6,2,6,0,0,,11.1,2,0,0,0.0,0,2,0,0,0,0,307,307,5,186,11,105,0,0,167,140,0,8,8,0,0,10,0,0,0,,2025_this_team
Cheta Ofili,191355,ED,TEXAS TECH,9,1,0,100.0,0,0,315,0,0,50.8,58.6,81.8,63.6,57.9,73.0,0,3,0,0,4,0.0,0,0,0,79.2,2,0,0,0,0,7,69,69,0,0,69,0,0,0,31,31,0,0,0,0,2,3,0,3,-1,1.5,arrival_2025_at_TEXAS TECH
Perry Cole Jr.,199241,DI,TCU,7,7,0,,0,0,305,0,0,60.0,62.1,76.3,53.3,65.2,68.1,0,0,0,0,,9.1,1,0,0,0.0,0,0,0,1,0,0,57,56,0,31,0,25,0,1,23,34,0,3,3,0,0,0,0,0,0,,2025_this_team
Kelten Mickell,199242,DI,TCU,4,1,0,,0,0,305,0,0,,67.2,72.9,56.8,69.0,69.7,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,14,14,2,12,0,0,0,0,6,8,0,0,0,0,0,0,0,0,0,,2025_this_team
Chad Woodfork,199249,ED,TCU,2,0,0,,0,0,305,0,0,,44.7,73.0,56.5,45.7,18.4,0,0,0,0,,100.0,1,0,0,0.0,0,0,0,0,0,0,16,16,0,0,9,7,0,0,5,11,0,0,0,0,0,0,0,0,0,,2025_this_team
