player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,_provenance
Demerick Morris,125335,DI,TEMPLE,11,2,0,,0,0,306,0,0,57.2,58.5,83.9,53.1,61.6,43.6,0,8,0,0,,18.2,2,0,0,0.0,0,1,0,6,0,3,333,327,66,198,11,52,0,6,158,172,0,6,7,1,0,9,0,0,0,,2025_this_team
Aaron Beckwith,128074,DI,TEMPLE,8,3,0,,0,0,306,0,0,60.0,66.8,80.4,62.0,67.1,63.6,0,2,0,0,,11.1,1,0,0,0.0,0,0,0,1,0,1,138,137,19,90,2,26,0,1,66,71,0,5,5,0,0,2,0,0,0,,2025_this_team
Allan Haye,143943,DI,TEMPLE,12,12,1,,0,1,306,0,0,59.0,67.2,28.5,60.4,71.9,65.1,0,5,0,0,,10.0,3,0,3,0.0,0,0,0,0,0,1,442,442,185,239,1,17,0,0,180,261,0,11,15,2,0,5,0,0,0,,2025_this_team
Cam'Ron Stewart,145151,ED,TEMPLE,12,4,1,,0,1,306,0,0,63.8,88.0,31.4,90.4,77.8,58.0,5,30,0,0,,22.6,7,0,2,0.0,0,4,0,3,0,6,290,286,0,2,284,0,0,4,144,140,1,19,20,6,0,39,0,0,0,,2025_this_team
K.J. Miles,156302,DI,TEMPLE,12,4,1,,0,0,306,0,0,59.3,59.0,84.7,58.5,58.4,81.0,3,5,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,1,334,334,77,218,3,36,0,0,131,202,0,12,18,1,0,8,0,0,0,,2025_this_team
Joseph Auzenne,162951,DI,TEMPLE,12,9,0,,0,0,306,0,0,70.4,58.3,84.1,55.1,57.2,56.0,0,2,0,0,,10.5,2,0,0,0.0,0,0,0,0,0,0,282,282,109,158,0,15,0,0,115,167,0,6,8,2,0,2,0,0,0,,2025_this_team
Tyrese Whitaker,173287,ED,TEMPLE,11,2,0,100.0,0,0,306,0,0,72.2,51.4,56.8,49.2,50.4,70.2,1,5,0,0,2,20.0,2,0,1,79.2,1,1,0,22,0,20,284,259,0,2,257,0,0,25,122,142,3,5,6,1,1,7,0,2,9,2.0,2025_this_team
Sekou Kromah,184788,ED,TEMPLE,7,2,1,,0,0,306,0,0,59.6,73.9,40.3,77.0,66.2,49.3,2,15,0,0,,25.0,3,0,1,0.0,0,3,0,15,0,2,199,184,5,35,81,63,0,15,125,72,0,9,7,1,0,20,0,0,0,,2025_this_team
Charles Calhoun,186902,ED,TEMPLE,12,5,0,,0,0,306,0,0,74.2,61.1,15.4,66.0,56.5,48.6,4,4,0,0,,20.0,3,0,2,0.0,0,1,0,10,0,2,202,191,0,8,177,6,0,11,98,102,1,7,7,2,0,9,0,0,0,,2025_this_team
Sultan Badmus,190654,ED,TEMPLE,10,0,1,,0,0,306,0,0,56.1,64.0,21.3,72.2,53.5,49.0,3,14,0,0,,28.6,2,0,1,0.0,0,1,0,4,0,5,109,105,0,21,71,13,0,4,76,28,0,6,5,0,0,18,0,0,0,,2025_this_team
Cameron Jones,190663,ED,TEMPLE,9,0,0,,0,0,306,0,0,,45.1,80.1,54.3,42.1,48.8,0,4,0,0,,25.0,1,0,0,0.0,0,0,0,0,0,0,123,123,0,6,65,52,0,0,48,75,0,3,3,0,0,4,0,0,0,,2025_this_team
Khalil Poteat,190669,ED,TEMPLE,10,6,0,,0,2,306,0,0,59.2,72.1,84.3,59.8,76.3,57.6,0,5,0,0,,14.3,4,0,0,0.0,0,1,0,5,0,4,308,303,15,52,132,104,0,5,117,187,0,15,18,1,0,6,0,0,0,,2025_this_team
Russell Sykes IV,190672,ED,TEMPLE,12,4,0,100.0,0,0,306,1,0,54.0,51.2,38.4,54.0,54.1,51.5,1,2,0,0,23,14.3,2,0,1,118.8,1,1,0,0,0,6,180,180,0,17,84,79,0,0,66,108,0,6,8,1,1,4,0,23,16,23.0,2025_this_team
JaMair Diaz,199919,ED,SM HOUSTON,4,2,0,75.0,0,0,281,1,1,73.2,85.0,84.1,81.5,77.0,55.0,3,8,0,0,12,21.4,3,0,0,83.3,3,1,0,26,0,22,155,124,0,0,124,0,0,31,81,52,5,7,9,0,4,12,0,18,15,6.0,arrival_2025_at_SM HOUSTON
Quante Gillians,204315,ED,SYRACUSE,4,1,0,,0,0,304,0,0,,31.6,74.7,55.1,29.6,71.1,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,22,22,0,3,16,3,0,0,10,12,0,0,0,0,0,0,0,0,0,,arrival_2025_at_SYRACUSE
Troy Cunningham,204318,DI,TEMPLE,1,0,0,,0,0,306,0,0,,62.7,68.6,60.0,61.4,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,4,4,0,3,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,,2025_this_team
