player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,_provenance
Arion Carter,129186,LB,TENNESSEE,10,21,0,83.3,0,1,307,1,0,52.6,59.9,84.6,58.8,66.7,70.0,0,9,0,0,21,8.9,7,1,0,109.0,25,1,0,389,2,234,477,14,0,0,14,0,0,463,43,200,72,29,51,5,30,10,1,225,144,9.0,2025_this_team
Ben Bolton,163759,LB,TENNESSEE,11,6,0,87.5,1,0,307,0,0,66.4,66.5,80.3,76.7,58.1,46.3,2,1,0,0,13,20.0,4,0,1,90.1,7,0,0,119,0,69,151,15,0,0,15,0,0,136,13,69,17,3,10,0,8,3,0,45,28,6.4,2025_this_team
Amare Campbell,170102,LB,PENN STATE,13,28,1,82.6,0,1,266,1,1,52.0,70.3,85.7,68.1,81.7,65.3,2,9,0,0,25,14.6,19,0,0,99.0,38,5,0,614,2,353,769,24,0,0,24,0,0,745,53,363,128,48,83,8,46,16,1,277,228,7.3,arrival_2025_at_PENN STATE
Jeremiah Telander,174745,LB,TENNESSEE,13,16,0,82.1,0,0,307,0,0,50.1,63.7,83.2,55.7,75.4,77.9,1,7,0,1,37,8.8,7,0,1,99.7,23,2,0,436,2,202,525,18,0,0,18,0,0,507,66,257,69,31,57,4,28,10,1,242,168,10.5,2025_this_team
Edwin Spillman,184892,LB,TENNESSEE,13,19,2,85.0,0,0,307,0,0,71.5,78.7,43.7,80.4,76.7,69.8,2,6,0,1,32,13.8,11,1,1,91.9,17,3,0,401,1,240,537,47,0,0,47,0,0,490,56,241,88,30,50,2,20,11,1,141,128,8.3,2025_this_team
Jordan Burns,188881,LB,TENNESSEE,5,1,0,100.0,0,0,307,0,0,50.8,49.4,74.8,56.5,53.8,59.4,0,1,0,0,9,14.3,1,0,0,104.2,1,0,0,28,0,17,37,0,0,0,0,0,0,37,3,17,9,0,5,0,1,1,0,9,4,9.0,2025_this_team
Ryan Scott,188891,LB,TENNESSEE,2,0,0,100.0,0,0,307,0,0,51.8,69.3,70.6,67.5,80.0,76.1,0,0,0,0,13,0.0,0,0,0,118.8,1,0,0,7,0,2,8,0,0,0,0,0,0,8,2,4,1,2,2,0,1,0,0,13,1,13.0,2025_this_team
Grier Short,188892,LB,TENNESSEE,1,0,0,,0,0,307,0,0,60.2,61.0,69.1,59.5,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,4,0,2,5,0,0,0,0,0,0,5,1,2,1,0,0,0,0,0,0,0,0,,2025_this_team
Brenden Anes,199965,LB,TENNESSEE,5,1,0,100.0,0,0,307,0,0,52.1,47.0,85.0,56.7,48.2,75.8,0,0,0,0,26,0.0,0,0,0,117.7,4,0,0,31,0,20,34,0,0,0,0,0,0,34,2,12,2,0,1,0,4,0,0,49,43,12.3,2025_this_team
Jadon Perlotte,199972,LB,TENNESSEE,10,4,0,70.0,1,0,307,2,0,61.0,62.1,0.0,76.1,60.2,49.0,2,9,0,0,19,27.3,6,0,2,86.3,7,1,0,151,1,104,202,11,0,0,11,0,1,191,23,75,38,5,12,1,10,12,0,62,41,8.9,2025_this_team
Jaedon Harmon,199976,LB,TENNESSEE,9,5,1,100.0,0,0,307,0,0,47.2,65.2,80.0,76.5,82.2,61.8,1,2,0,0,24,15.0,3,0,0,102.8,9,1,0,74,0,47,103,8,0,0,8,0,0,95,21,35,20,6,12,0,9,4,0,78,70,8.7,2025_this_team
