player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,_provenance
Michael Taaffe,144732,S,TEXAS,10,21,0,63.2,0,0,311,0,0,89.4,88.1,45.6,80.4,72.0,80.5,0,2,0,2,28,9.3,7,0,1,54.6,12,1,0,132,5,339,600,5,0,0,5,0,370,595,6,255,88,21,47,0,19,3,1,100,56,8.3,2025_this_team
Jaylon Guilbeau,157307,CB,TEXAS,12,7,0,69.6,0,0,311,0,0,63.4,65.4,84.6,,71.9,54.3,0,1,0,1,67,19.6,9,2,2,118.1,32,0,0,37,490,335,548,0,0,0,0,0,7,548,0,213,14,10,30,1,46,1,4,421,152,13.2,2025_this_team
Graham Gillespie,163847,S,TEXAS,1,0,0,100.0,0,0,311,0,0,71.8,73.2,69.2,,60.0,75.1,0,0,0,0,1,0.0,0,0,0,79.2,1,0,0,0,0,5,6,0,0,0,0,0,0,6,0,1,6,1,1,0,1,0,0,1,1,1.0,2025_this_team
Bo Mascoe,170313,CB,RUTGERS,12,10,0,65.9,0,2,278,0,0,83.1,77.2,46.7,,53.7,76.3,0,0,0,1,59,10.3,6,3,4,111.6,29,0,0,30,507,320,590,33,0,0,33,0,0,557,0,270,20,15,42,2,44,0,4,357,170,12.3,arrival_2025_at_RUTGERS
Malik Muhammad,173165,CB,TEXAS,11,2,0,60.0,1,0,311,0,0,69.8,70.8,43.4,67.5,73.5,66.2,0,1,0,2,30,13.9,5,2,3,57.8,21,1,0,53,521,366,593,1,0,0,1,0,3,592,4,223,15,13,29,1,35,2,1,168,87,8.0,2025_this_team
Jelani McDonald,176180,S,TEXAS,13,18,0,51.3,1,0,311,1,0,72.9,74.4,0.0,66.8,80.9,91.4,0,2,0,3,33,5.4,5,2,4,42.5,20,0,0,173,8,434,735,15,0,0,15,0,371,720,3,298,168,18,69,4,39,2,1,198,133,9.9,2025_this_team
Warren Roberson,176184,CB,TEXAS,11,2,0,46.2,0,0,311,0,0,81.1,77.9,0.0,60.0,57.7,64.3,0,0,0,0,12,12.5,2,1,2,53.0,6,0,0,7,176,122,187,1,0,0,1,0,2,186,1,64,1,7,12,0,13,0,0,39,26,6.5,2025_this_team
Derek Williams Jr.,176189,S,TEXAS,11,9,0,84.6,0,0,311,0,0,57.9,57.2,81.9,,54.0,64.6,0,0,0,0,23,13.8,4,1,0,152.7,11,0,0,52,2,134,204,1,0,0,1,0,112,203,0,70,37,1,16,0,13,0,2,145,76,13.2,2025_this_team
Kobe Black,184503,CB,TEXAS,10,2,0,68.8,0,0,311,0,0,63.0,61.8,80.7,54.6,56.0,76.9,0,0,0,1,55,6.3,1,1,0,117.2,11,0,0,12,185,119,199,0,0,0,0,0,1,199,2,78,1,2,13,0,16,0,3,170,48,15.5,2025_this_team
Xavier Filsaime,184508,S,TEXAS,10,1,0,66.7,0,0,311,0,0,66.8,66.5,12.5,58.5,69.9,40.8,0,0,0,0,22,33.3,7,1,1,90.3,4,0,0,78,1,198,293,1,0,0,1,0,150,292,2,93,63,4,13,0,6,0,0,47,25,11.8,2025_this_team
Jordon Johnson-Rubell,184511,S,TEXAS,4,1,0,66.7,0,0,311,0,0,60.9,61.6,78.0,59.2,63.2,53.6,0,0,0,0,43,20.0,1,1,0,98.4,6,0,0,30,0,51,66,0,0,0,0,0,19,66,1,14,17,3,3,0,9,0,0,88,43,14.7,2025_this_team
Wardell Mack,184513,CB,TEXAS,7,0,0,63.6,0,0,311,0,0,69.6,68.2,80.5,46.8,64.9,44.2,0,1,0,1,21,33.3,3,0,1,39.6,7,0,0,7,31,78,104,1,0,0,1,0,2,103,1,25,63,1,6,0,11,1,0,59,40,8.4,2025_this_team
Ziky Umeozulu,184518,S,TEXAS,1,0,0,0.0,0,0,311,0,0,62.2,62.4,68.7,,60.0,,0,0,0,0,,,0,0,0,39.6,0,0,0,0,0,4,5,0,0,0,0,0,2,5,0,1,3,0,0,0,1,0,0,0,0,,2025_this_team
Santana Wilson,190250,CB,TEXAS,1,0,0,0.0,0,0,311,0,0,71.1,72.4,69.0,,,,0,0,0,0,,,0,0,0,39.6,0,0,0,0,6,6,6,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,,2025_this_team
Jonathan Cunningham,199286,CB,TEXAS,2,0,0,0.0,0,0,311,0,0,58.9,59.3,74.4,,60.0,76.2,0,0,0,0,,0.0,0,0,0,39.6,0,0,0,2,0,12,16,0,0,0,0,0,2,16,0,4,12,1,1,0,1,0,0,0,0,,2025_this_team
Zelus Hicks,199295,S,TEXAS,1,0,0,,0,0,311,0,0,63.0,62.9,70.7,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,1,0,5,6,0,0,0,0,0,4,6,0,1,1,0,0,0,0,0,0,0,0,,2025_this_team
Graceson Littleton,199296,CB,TEXAS,13,11,0,66.7,0,2,311,0,0,69.3,70.6,15.5,61.1,80.4,62.7,1,2,0,2,60,17.5,10,3,3,72.5,42,0,0,57,24,407,616,3,0,0,3,0,37,613,11,198,495,15,36,2,63,3,0,424,248,10.1,2025_this_team
Caleb Chester,199298,CB,TEXAS,1,0,0,,0,0,311,0,0,62.3,62.7,69.0,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,6,5,6,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,,2025_this_team
Kade Phillips,199299,CB,TEXAS,9,3,0,59.1,0,0,311,0,0,80.3,78.6,81.7,,63.6,69.4,0,0,0,0,18,12.5,3,4,1,99.8,13,0,0,19,228,161,256,0,0,0,0,0,1,256,0,95,8,8,18,2,22,0,2,96,24,7.4,2025_this_team
Jonah Williams,199300,S,TEXAS,6,0,0,0.0,0,0,311,0,0,70.5,68.9,78.4,,58.1,72.2,0,0,0,0,,16.7,1,0,0,39.6,0,0,0,9,0,60,71,1,0,0,1,0,57,70,0,11,4,0,5,0,1,0,0,0,0,,2025_this_team
