player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,_provenance
Darius Snow,129635,LB,MICH STATE,12,9,0,100.0,0,0,223,0,0,59.2,61.7,85.1,66.5,61.4,69.1,0,1,0,0,25,10.7,3,0,0,117.3,7,1,0,79,0,75,232,96,0,0,96,0,0,136,10,147,56,11,16,1,7,2,0,85,49,12.1,arrival_2025_at_MICH STATE
Marshall Landwehr,144737,LB,TEXAS,3,0,0,0.0,0,0,311,0,0,53.8,53.5,71.7,45.0,70.9,37.7,0,1,0,0,,0.0,0,0,0,39.6,0,0,0,19,0,13,20,1,0,0,1,0,0,19,3,4,0,1,1,0,1,1,0,0,0,,2025_this_team
Trey Moore,145527,LB,TEXAS,12,11,3,86.4,0,0,311,1,0,50.6,65.7,60.3,71.5,73.2,68.1,6,18,0,0,27,15.4,6,0,1,119.5,19,3,0,230,1,181,486,203,0,0,203,0,0,283,120,185,52,17,22,3,22,27,1,199,82,10.5,2025_this_team
Anthony Hill Jr.,173158,LB,TEXAS,10,16,0,71.4,0,1,311,1,0,63.6,71.6,83.5,60.9,79.7,88.8,2,11,0,2,25,4.5,3,1,2,62.6,20,3,0,417,3,250,563,43,0,0,43,0,0,520,86,227,100,30,47,4,28,16,0,207,121,10.4,2025_this_team
Liona Lefau,173161,LB,TEXAS,12,25,1,77.8,1,0,311,1,1,46.9,61.7,5.2,62.0,76.4,65.4,1,4,0,0,62,12.5,9,0,2,137.3,21,0,0,432,0,222,462,11,0,0,11,0,1,451,34,206,18,19,38,2,27,5,2,298,196,14.2,2025_this_team
Rasheem Biles,175408,LB,PITTSBURGH,10,31,1,84.0,3,2,268,1,1,74.4,83.7,0.0,82.9,89.3,84.0,4,8,2,2,34,9.3,10,1,7,66.0,21,6,0,449,0,240,670,116,0,0,116,0,0,554,118,312,104,51,67,13,25,18,0,196,111,9.3,arrival_2025_at_PITTSBURGH
Justin Cryer,175949,LB,FLORIDA ST,12,10,0,65.0,0,0,167,0,0,41.5,56.1,84.5,59.1,68.0,61.8,0,7,0,0,16,14.0,6,1,0,94.8,13,1,0,274,0,144,381,54,0,0,54,0,0,327,38,199,52,15,27,3,20,8,1,105,63,8.1,arrival_2025_at_FLORIDA ST
Brady Sarkisian,176185,LB,TEXAS,1,0,0,,0,0,311,0,0,43.7,46.8,70.0,59.6,65.7,73.2,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,10,0,8,10,0,0,0,0,0,0,10,1,1,0,1,1,1,0,0,0,0,0,,2025_this_team
Ty'Anthony Smith,184516,LB,TEXAS,13,13,0,73.0,1,3,311,1,0,50.3,62.4,0.0,64.8,76.7,51.7,1,6,0,2,21,18.9,14,1,2,77.1,27,2,0,376,2,244,450,32,0,0,32,0,0,418,48,158,40,22,47,3,37,9,1,246,186,9.1,2025_this_team
Eric Garza,190244,LB,TEXAS,1,0,0,,0,0,311,0,0,61.6,64.2,69.8,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,6,0,5,6,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,,2025_this_team
Elijah Barnes,199285,LB,TEXAS,4,1,0,100.0,0,0,311,0,0,44.1,60.6,73.5,74.4,73.5,79.5,0,2,0,0,16,0.0,0,0,0,112.5,3,1,0,38,0,23,43,3,0,0,3,0,0,40,7,13,2,2,2,0,3,3,0,33,13,11.0,2025_this_team
Markus Boswell,199587,LB,AKRON,11,3,0,83.3,0,1,102,1,0,35.2,41.0,81.6,68.1,45.1,49.6,0,0,0,1,28,23.8,5,0,0,118.8,5,2,0,175,0,83,199,18,0,0,18,0,0,181,23,93,6,8,13,0,6,2,1,85,64,17.0,arrival_2025_at_AKRON
