player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,_provenance
Dayon Hayes,123010,ED,TEXAS A&M,13,1,1,100.0,1,1,312,1,0,49.2,73.5,61.9,77.3,68.4,51.5,6,19,0,0,4,20.0,3,0,1,122.9,1,4,0,0,0,1,339,339,0,3,309,27,0,0,238,100,0,12,11,1,1,29,1,4,0,4.0,2025_this_team
Tyler Onyedim,144547,DI,TEXAS A&M,13,11,0,,0,1,312,0,0,61.1,71.9,84.4,65.0,73.2,66.1,3,12,0,0,,8.7,4,0,0,0.0,0,2,0,3,0,1,484,481,26,369,16,70,0,3,292,191,0,27,31,6,0,17,0,0,0,,2025_this_team
Cashius Howell,145655,ED,TEXAS A&M,13,9,3,55.6,0,1,312,0,0,55.2,81.2,28.4,90.3,73.6,79.6,2,27,0,0,34,11.1,3,1,5,115.5,5,12,0,5,1,61,591,570,0,0,570,0,0,21,299,231,14,21,15,3,9,41,1,65,31,13.0,2025_this_team
Albert Regis,147009,DI,TEXAS A&M,13,21,2,,0,0,312,0,0,60.9,72.2,28.7,58.0,82.2,58.1,0,12,0,0,,11.5,6,0,3,0.0,0,1,0,0,0,0,469,467,65,397,1,4,0,2,257,212,0,22,25,2,0,13,0,0,0,,2025_this_team
Ryan Henderson,158790,ED,S DIEGO ST,13,7,1,,0,0,284,0,0,61.3,69.7,45.2,73.5,62.6,69.9,5,18,0,0,,13.6,3,0,2,0.0,0,8,0,5,0,8,417,412,17,54,296,45,0,5,264,145,0,16,12,2,0,31,0,0,0,,arrival_2025_at_S DIEGO ST
CJ Mims,162651,DI,N CAROLINA,12,11,0,,0,0,245,0,0,67.2,69.7,85.2,66.2,66.9,53.6,3,9,0,0,,12.2,5,0,0,0.0,0,2,0,0,0,0,356,356,153,192,1,10,0,0,186,170,0,20,25,1,0,14,0,0,0,,arrival_2025_at_N CAROLINA
Anto Saka,162850,ED,NWESTERN,11,0,0,100.0,0,2,256,1,0,60.9,72.7,62.1,84.1,54.5,63.8,7,19,0,0,9,12.5,1,0,1,104.2,1,4,0,0,0,17,347,346,0,0,302,44,0,1,196,134,1,7,7,1,1,30,0,9,0,9.0,arrival_2025_at_NWESTERN
Nathan Jackson,163702,DI,TEXAS A&M,1,0,0,,0,0,312,0,0,,60.2,68.3,58.6,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,4,4,0,4,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,,2025_this_team
Nana Boadi-Owusu,172571,ED,TEXAS A&M,2,0,1,,0,0,312,0,0,60.0,68.3,72.7,67.5,60.0,,0,1,0,0,,,0,0,0,0.0,0,0,0,0,0,1,6,5,0,0,5,0,0,1,3,2,1,0,0,0,0,1,0,0,0,,2025_this_team
Jadon Scarlett,172596,DI,TEXAS A&M,1,1,0,,0,0,312,0,0,,77.2,69.4,66.4,68.9,69.7,1,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,6,6,0,6,0,0,0,0,3,3,0,0,0,0,0,1,0,0,0,,2025_this_team
Sam M'Pemba,173546,ED,TEXAS A&M,4,3,0,,0,1,312,1,0,60.5,87.6,78.7,88.3,72.8,77.1,1,0,0,0,,0.0,0,0,0,0.0,0,1,0,0,0,2,35,35,0,0,34,1,0,0,16,17,0,1,0,0,0,2,0,0,0,,2025_this_team
T.J. Searcy,174264,ED,TEXAS A&M,13,11,3,,0,0,312,0,0,67.9,71.9,65.3,57.1,77.6,78.4,0,8,0,0,,6.1,2,0,1,0.0,0,2,0,0,0,0,395,394,0,2,345,47,0,1,206,189,0,16,20,6,0,10,0,0,0,,2025_this_team
DJ Hicks,175935,DI,TEXAS A&M,13,4,0,,0,0,312,0,0,64.2,65.7,60.9,66.0,62.5,35.7,1,10,0,0,,24.0,6,0,1,0.0,0,4,0,0,0,0,378,376,27,301,12,36,0,2,228,150,0,14,15,3,0,15,0,0,0,,2025_this_team
Rylan Kennedy,175937,ED,TEXAS A&M,13,4,0,50.0,0,0,312,0,0,72.1,68.1,87.2,66.2,56.6,71.7,0,11,0,0,9,8.3,1,0,0,59.4,2,3,0,51,0,44,176,118,0,0,118,0,0,58,72,60,7,7,7,1,4,14,0,15,25,7.5,2025_this_team
Angelo McCullom,183507,DI,ILLINOIS,13,9,1,,0,0,187,0,0,68.9,66.5,58.9,59.3,67.4,73.1,0,5,0,0,,8.7,2,0,1,0.0,0,2,0,0,0,1,294,294,222,69,0,3,0,0,156,137,0,12,12,2,0,7,0,0,0,,arrival_2025_at_ILLINOIS
Brandon Davis-Swain,183883,DI,COLORADO,9,0,0,,0,1,143,0,0,,61.4,84.4,62.2,59.0,30.1,5,4,0,0,,28.6,4,0,0,0.0,0,1,0,0,0,0,352,352,53,245,6,48,0,0,163,189,0,8,10,1,0,10,0,0,0,,arrival_2025_at_COLORADO
Jesse Chukwu,184799,DI,TEXAS A&M,1,0,0,,0,0,312,0,0,,52.4,71.5,,55.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,5,5,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,,2025_this_team
Kendall Jackson,184805,ED,TEXAS A&M,3,0,0,,0,0,312,0,0,,72.7,74.1,61.2,72.8,72.2,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,13,13,0,0,12,1,0,0,9,4,0,1,1,1,0,0,0,0,0,,2025_this_team
Solomon Williams,184814,ED,TEXAS A&M,4,1,0,,0,0,312,0,0,61.2,76.9,0.0,78.9,70.2,55.0,1,2,0,0,,20.0,1,0,1,0.0,0,0,0,0,0,0,35,35,0,3,31,1,0,0,14,21,0,3,3,3,0,3,0,0,0,,2025_this_team
Dealyn Evans,191253,DI,TEXAS A&M,13,1,0,,0,0,312,0,0,,59.2,79.3,64.6,54.4,28.5,0,6,0,0,,22.2,2,0,0,0.0,0,0,0,0,0,0,141,140,3,124,2,11,0,1,74,67,0,4,6,2,0,6,0,0,0,,2025_this_team
Marco Jones,199990,ED,TEXAS A&M,13,4,0,,0,0,312,0,0,51.4,77.1,84.3,71.3,79.1,84.1,2,4,0,0,,0.0,0,0,0,0.0,0,2,0,0,0,5,133,131,0,0,127,4,0,2,68,60,1,10,9,1,0,8,0,0,0,,2025_this_team
DJ Sanders,200290,DI,TEXAS A&M,4,3,0,,0,0,312,0,0,60.0,74.8,75.2,59.5,77.2,56.8,0,2,0,0,,14.3,1,0,0,0.0,0,0,0,0,0,0,39,38,0,37,1,0,0,1,19,20,0,2,3,0,0,2,0,0,0,,2025_this_team
Landon Rink,204339,DI,TEXAS A&M,10,3,0,,0,0,312,0,0,,84.2,77.5,60.5,90.9,77.7,2,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,75,75,1,68,2,4,0,0,41,34,0,5,6,1,0,2,0,0,0,,2025_this_team
Nathan Mabon,204342,DI,TEXAS A&M,1,0,0,,0,0,312,0,0,,46.7,69.6,,49.6,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,6,6,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,2025_this_team
