player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te,_provenance
Wilkin Formby,172376,T,ALABAMA,15,100.0,0,103,70.9,82.1,61.8,5,12,486,100.0,100.0,97.6,2,20,3,816,0,0,3,816,504,504,364,446,312,3,arrival_2025_at_ALABAMA
Chase Bisontis,172570,G,TEXAS A&M,13,100.0,1,312,62.4,70.7,62.7,3,8,419,100.0,100.0,98.4,8,12,1,795,0,795,0,795,441,441,0,0,354,0,2025_this_team
Dametrious Crownover,146990,T,TEXAS A&M,13,100.0,0,312,65.4,58.4,72.7,2,23,407,100.0,100.0,96.4,11,27,2,784,0,2,0,784,428,428,0,782,356,0,2025_this_team
Trey Zuhn III,147019,T,TEXAS A&M,13,100.0,1,312,71.8,96.8,58.4,1,7,412,100.0,100.0,98.5,1,10,2,776,126,0,650,776,435,435,0,0,341,0,2025_this_team
Mark Nabou Jr.,158665,C,TEXAS A&M,13,100.0,0,312,64.8,75.7,59.2,0,12,401,100.0,100.0,98.5,4,12,0,756,522,54,0,756,422,422,180,0,334,0,2025_this_team
Ar'maj Reed-Adams,122543,G,TEXAS A&M,13,100.0,0,312,69.5,65.2,73.3,0,13,360,100.0,100.0,97.9,9,14,1,680,0,0,0,680,380,380,680,0,300,0,2025_this_team
Coen Echols,184451,G,LSU,13,100.0,0,211,57.2,68.3,49.7,1,14,376,100.0,100.0,97.2,0,18,3,637,0,613,0,637,405,405,23,0,232,1,arrival_2025_at_LSU
Trovon Baugh,175919,G,S CAROLINA,11,100.0,1,289,53.1,59.3,55.7,0,14,334,100.0,100.0,96.4,7,19,5,611,0,1,0,611,354,354,609,0,257,0,arrival_2025_at_S CAROLINA
Tyree Adams,172467,T,LSU,9,100.0,0,211,55.5,65.0,47.6,4,6,288,100.0,100.0,97.9,1,11,1,517,0,0,516,517,313,313,0,1,204,0,arrival_2025_at_LSU
Koli Faaiu,146438,C,TEXAS A&M,10,100.0,0,312,63.2,68.2,61.8,0,2,106,100.0,100.0,99.1,1,2,0,225,218,7,0,225,110,110,0,0,115,0,2025_this_team
Reuben Fatheree II,146992,T,TEXAS A&M,9,100.0,0,312,61.6,71.3,60.0,1,6,110,100.0,100.0,96.8,2,7,0,221,0,0,158,221,114,114,0,63,107,0,2025_this_team
Robert Bourdon,191248,T,TEXAS A&M,12,100.0,0,312,66.1,70.2,61.8,0,3,68,100.0,100.0,97.8,0,3,0,142,0,0,54,142,70,70,0,69,72,19,2025_this_team
Lamont Rogers,200289,T,TEXAS A&M,4,100.0,0,312,62.6,36.9,69.7,1,4,33,100.0,100.0,92.4,0,5,0,70,0,0,70,70,35,35,0,0,35,0,2025_this_team
Blake Ivy,184804,G,TEXAS A&M,5,100.0,0,312,47.9,44.0,46.2,0,1,30,100.0,100.0,98.3,0,1,0,66,0,64,0,66,32,32,2,0,34,0,2025_this_team
Ashton Funk,184802,T,TEXAS A&M,5,100.0,0,312,57.7,86.3,50.7,0,0,30,100.0,100.0,100.0,1,0,0,62,43,0,0,62,32,32,6,13,30,0,2025_this_team
Tyler Thomas,204331,G,TEXAS A&M,3,100.0,0,312,65.6,71.2,64.2,0,0,27,100.0,100.0,96.3,0,1,1,54,0,0,0,54,29,29,54,0,25,0,2025_this_team
William Huntsinger,150677,C,TEXAS A&M,2,100.0,0,312,55.1,77.3,54.0,0,0,7,100.0,100.0,100.0,0,0,0,25,25,0,0,25,7,7,0,0,18,0,2025_this_team
Chance Jackson,158654,G,TEXAS A&M,1,100.0,0,312,64.3,74.2,63.3,0,0,3,100.0,100.0,100.0,0,0,0,12,0,0,0,12,3,3,12,0,9,0,2025_this_team
Nelson McGuire,204346,T,TEXAS A&M,1,100.0,0,312,60.9,74.2,59.5,0,0,3,100.0,100.0,100.0,0,0,0,7,0,5,2,7,3,3,0,0,4,0,2025_this_team
Jonte Newman,204338,T,TEXAS A&M,1,100.0,0,312,36.9,,37.1,0,0,0,,,,0,0,0,7,0,0,0,7,0,0,0,7,7,0,2025_this_team
Joshua Moses,204344,G,TEXAS A&M,1,100.0,0,312,57.9,,57.7,0,0,0,,,,0,0,0,5,0,5,0,5,0,0,0,0,5,0,2025_this_team
Marcus Garcia,204336,G,TEXAS A&M,1,100.0,0,312,58.8,,58.5,0,0,0,,,,0,0,0,2,0,2,0,2,0,0,0,0,2,0,2025_this_team
