player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts,_provenance
Rueben Owens II,172590,HB,TEXAS A&M,12,119,14,10,39.9,255,0,639,0,3,14,343,37.1,15,33,312,0,51,88.7,76.6,43.1,,47.5,66.3,80.1,63.4,57,1,130,13,163,156,0,0,15,132,5,639,343,2.88,5.4,0.8,68,2025_this_team
Le'Veon Moss,158664,HB,TEXAS A&M,7,77,13,4,25.4,101,0,397,1,3,13,267,70.2,12,25,312,0,35,85.5,76.1,81.6,,24.0,44.0,80.4,66.2,38,0,3,2,66,94,0,0,4,79,6,397,267,3.47,5.2,0.05,42,2025_this_team
EJ Smith,131782,HB,TEXAS A&M,10,44,12,4,30.7,63,0,205,1,1,12,144,88.6,8,16,312,0,24,81.4,74.2,79.7,,80.0,52.1,75.3,58.9,17,0,18,4,40,57,0,0,5,48,4,205,144,3.27,4.7,0.45,20,2025_this_team
Jamarion Morrow,199997,HB,TEXAS A&M,12,43,8,4,41.2,75,0,182,0,1,8,117,50.0,6,9,312,1,24,58.4,69.4,81.0,,53.6,67.1,69.9,55.4,23,0,80,6,56,69,0,0,8,49,1,182,117,2.72,4.2,1.43,19,2025_this_team
Amari Daniels,146991,HB,TEXAS A&M,11,41,5,2,30.6,66,0,216,0,0,5,133,37.7,4,9,312,0,16,81.2,72.0,79.2,,30.0,58.9,75.1,59.8,41,0,21,2,34,48,0,0,2,43,1,216,133,3.24,5.3,0.62,25,2025_this_team
Tiger Riden Jr.,204345,HB,TEXAS A&M,1,11,3,0,0.0,0,0,45,0,0,3,37,91.7,2,4,312,0,2,73.5,77.5,72.6,,78.2,59.0,74.7,59.6,11,0,0,0,2,13,0,0,0,11,1,45,37,3.36,4.1,0.0,9,2025_this_team
Preston Landis,127173,HB,TEXAS A&M,1,4,0,0,0.0,0,0,8,0,1,0,8,40.0,0,2,312,0,1,68.9,70.0,68.8,,,79.7,65.2,,3,0,14,1,1,4,0,0,1,5,1,8,8,2.0,2.0,14.0,3,2025_this_team
AJ DiNota,158646,HB,TEXAS A&M,1,2,0,0,0.0,0,0,2,0,0,0,2,0.0,0,0,312,0,2,65.5,56.4,67.3,,67.5,59.8,57.2,,2,0,0,0,1,2,0,0,0,2,0,2,2,1.0,1.0,0.0,0,2025_this_team
Ramarian Tillman,191264,HB,TEXAS A&M,1,1,0,0,0.0,0,0,2,0,0,0,2,0.0,0,0,312,0,1,62.5,56.7,63.5,,,,58.0,,2,0,0,0,0,1,0,0,0,1,0,2,2,2.0,2.0,,0,2025_this_team
Ronnie Crosby III,175934,HB,TEXAS A&M,1,1,0,0,0.0,0,0,1,0,0,0,1,0.0,0,0,312,0,0,62.5,59.1,62.7,,,,59.5,,1,0,0,0,0,1,0,0,0,1,0,1,1,1.0,1.0,,1,2025_this_team
