player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,_provenance
DJ Taylor Jr.,131630,CB,TEXAS ST,1,0,0,,0,0,314,0,0,61.5,42.1,70.2,,32.6,20.0,0,0,0,0,,100.0,2,0,0,0.0,0,0,0,4,0,4,8,0,0,0,0,0,3,8,0,4,1,0,0,0,0,0,0,0,0,,2025_this_team
Darius Jackson,146892,S,TEXAS ST,8,0,0,100.0,0,0,314,0,0,50.9,50.2,0.0,59.6,59.9,48.1,0,0,0,0,25,25.0,1,0,1,118.8,3,0,0,22,0,21,65,1,0,0,1,0,30,64,3,41,11,0,3,0,3,0,0,40,39,13.3,2025_this_team
Canden Grogan,150353,CB,TEXAS ST,9,2,0,65.2,1,0,314,0,0,48.9,48.4,10.5,54.1,53.6,32.9,0,2,0,0,57,33.3,8,1,3,128.0,15,0,0,33,203,164,268,3,0,0,3,0,8,265,3,101,20,4,14,0,23,2,2,235,67,15.7,2025_this_team
Dexter Ricks Jr.,157387,CB,LIBERTY,10,4,0,57.7,0,0,206,1,0,63.1,60.8,83.5,60.0,47.9,64.2,0,0,0,0,27,13.6,3,2,1,87.2,15,0,0,31,313,202,367,2,0,0,2,0,8,365,1,164,13,9,15,1,26,0,1,151,59,10.1,arrival_2025_at_LIBERTY
Javis Mynatt,160007,S,TEXAS ST,13,10,0,60.0,0,1,314,1,0,63.1,70.6,85.1,62.3,80.5,70.4,0,0,0,0,54,15.6,7,0,0,120.0,6,1,0,161,0,205,450,15,0,0,15,0,207,435,12,233,66,12,28,0,10,1,2,68,26,11.3,2025_this_team
Jaden Rios,160106,CB,TEXAS ST,11,7,0,48.7,0,0,314,0,0,76.8,74.2,84.8,72.2,54.6,48.1,0,0,0,4,76,21.6,8,4,3,69.6,19,1,0,27,451,254,495,7,0,0,7,0,4,488,4,237,6,8,22,2,39,1,5,252,94,13.3,2025_this_team
Khamari Terrell,163306,CB,TEXAS ST,12,5,0,61.5,0,0,314,0,0,61.8,64.3,45.7,59.7,75.7,77.0,0,1,0,1,44,6.7,3,2,3,99.2,24,0,0,65,508,321,606,11,0,0,11,0,11,595,5,280,10,12,37,2,39,1,3,289,127,12.0,2025_this_team
Amarion Atwood,172319,CB,TEXAS ST,10,6,0,82.8,1,0,314,1,0,56.0,59.1,0.0,67.9,75.1,64.7,2,1,0,0,28,15.2,5,2,8,101.4,24,0,0,114,5,212,438,47,0,0,47,0,46,391,19,207,226,10,22,2,29,3,0,242,213,10.1,2025_this_team
Bobby Crosby,172325,S,TEXAS ST,13,14,0,65.0,3,0,314,0,0,61.1,63.6,13.5,79.5,65.3,63.1,1,1,0,1,27,16.7,13,4,5,96.5,13,3,0,211,1,313,605,30,0,0,30,0,279,575,16,276,84,15,51,1,20,5,2,133,91,10.2,2025_this_team
Chase Davis,176474,S,TEXAS ST,10,3,0,40.0,0,0,314,0,0,56.2,60.8,79.9,69.5,64.3,57.0,0,1,0,0,27,19.0,4,0,0,107.5,2,1,0,51,0,76,145,0,0,0,0,0,79,145,6,63,14,5,14,0,5,2,1,39,16,19.5,2025_this_team
Malik Willis,176890,CB,TEXAS ST,12,4,0,92.3,0,0,314,0,0,55.7,54.6,82.5,57.1,51.0,30.0,0,0,0,0,14,29.2,7,0,0,119.6,12,0,0,59,26,127,248,8,0,0,8,0,17,240,4,117,137,7,13,0,13,0,1,85,70,7.1,2025_this_team
Ryan Nolan,184356,S,TEXAS ST,12,14,0,78.6,0,0,314,0,0,78.5,75.7,86.3,61.6,69.4,55.4,1,2,0,0,15,17.8,18,1,0,98.7,22,1,0,234,6,367,681,20,1,0,19,0,295,661,12,302,125,24,69,3,28,4,1,135,85,6.1,2025_this_team
Christopher Jones,190103,CB,TEXAS ST,10,3,0,71.4,1,0,314,0,0,72.2,65.9,0.0,59.8,48.0,38.0,0,0,1,1,33,31.6,6,1,1,56.8,10,0,0,17,138,85,164,4,0,0,4,0,0,160,1,78,5,5,10,1,14,0,0,84,48,8.4,2025_this_team
Will Mitchell II,190106,S,TEXAS ST,3,3,0,58.8,0,0,314,0,0,58.9,59.0,82.5,65.1,55.5,62.1,0,1,0,0,36,16.7,2,2,0,85.4,10,0,0,35,3,88,159,10,0,0,10,0,3,149,8,63,108,2,7,0,17,1,0,140,42,14.0,2025_this_team
Tice Williams,190116,S,TEXAS ST,3,0,0,,0,0,314,0,0,59.3,63.4,72.3,,67.5,27.1,0,0,0,0,,50.0,2,0,0,0.0,0,0,0,8,0,14,23,0,0,0,0,0,13,23,0,9,2,2,2,1,0,0,0,0,0,,2025_this_team
Craig Royal Jr.,200005,CB,TEXAS ST,13,4,0,75.0,0,0,314,0,0,72.4,72.9,16.1,53.8,78.3,68.4,0,1,0,1,20,10.5,2,0,3,48.6,9,0,0,33,268,155,311,2,0,0,2,0,5,309,2,154,3,8,13,1,12,1,0,54,35,6.0,2025_this_team
Cordarian Powell,200006,CB,TEXAS ST,5,0,0,57.1,0,0,314,0,0,62.3,63.3,77.2,,65.0,78.8,0,0,0,0,35,0.0,0,2,1,121.4,4,0,0,5,65,44,72,1,0,0,1,0,1,71,0,28,0,2,3,0,7,0,1,54,12,13.5,2025_this_team
Greg Gipson Jr.,200018,S,TEXAS ST,4,1,0,100.0,0,0,314,0,0,52.5,43.6,79.1,58.9,30.1,54.8,0,0,0,0,22,20.0,1,0,0,118.8,3,0,0,10,0,26,51,5,0,0,5,0,12,46,3,22,24,0,3,0,3,0,0,43,5,14.3,2025_this_team
