player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,_provenance
Mike Nwokocha,143510,DI,TEXAS ST,11,2,0,,0,0,314,0,0,,61.8,31.3,59.2,65.3,57.3,0,1,0,0,,14.3,1,0,1,0.0,0,0,0,0,0,0,150,150,29,111,0,10,0,0,81,69,0,1,4,0,0,1,0,0,0,,2025_this_team
Kamren Washington,150283,DI,TEXAS ST,13,8,1,,0,0,314,0,0,62.5,70.8,61.2,71.3,66.9,63.7,0,15,0,0,,15.0,3,0,1,0.0,0,1,0,0,0,1,382,382,51,320,0,11,0,0,201,180,0,9,9,4,0,16,0,0,0,,2025_this_team
Bryce Carter,151075,DI,TEXAS ST,10,7,0,,0,0,314,0,0,59.3,62.0,55.3,61.4,62.9,73.1,2,6,0,0,,5.0,1,0,1,0.0,0,1,0,0,0,1,312,312,4,286,0,22,0,0,167,144,0,10,12,4,0,9,0,0,0,,2025_this_team
Amipeleasi Langi Jr.,156172,DI,TEXAS ST,13,3,0,,0,0,314,0,0,60.0,67.3,56.9,66.6,66.3,48.6,1,9,0,0,,20.0,4,0,1,0.0,0,1,0,1,0,0,311,310,71,238,0,1,0,1,150,161,0,11,13,7,0,11,0,0,0,,2025_this_team
Tae Woody,156288,DI,LA MONROE,10,3,0,,1,0,209,0,0,64.3,66.2,18.0,65.1,67.5,81.1,3,4,0,0,,0.0,0,0,2,0.0,0,1,0,2,0,1,219,217,88,80,9,40,0,2,113,105,0,10,13,3,0,8,0,0,0,,arrival_2025_at_LA MONROE
J.P. Deeter,156498,DI,TEXAS ST,12,1,0,,0,0,314,0,0,59.4,52.0,79.3,56.2,50.2,74.8,1,0,0,0,,0.0,0,0,1,0.0,0,0,0,0,0,1,122,122,9,107,0,6,0,0,65,56,0,3,3,1,0,1,0,0,0,,2025_this_team
Kenard Snyder,156781,ED,TEXAS ST,13,14,0,,0,0,314,0,0,72.7,74.4,64.6,62.4,79.2,71.6,3,6,0,0,,10.3,4,0,1,0.0,0,3,0,4,0,6,376,371,2,20,300,49,0,5,194,176,1,19,21,5,0,12,0,0,0,,2025_this_team
Jordan Sanders,158940,DI,TEXAS ST,13,5,0,,0,0,314,0,0,70.7,77.6,83.4,74.2,72.3,34.9,1,10,0,0,,21.7,5,0,0,0.0,0,0,0,1,0,0,366,365,12,304,11,38,0,1,184,182,0,11,13,2,0,11,0,0,0,,2025_this_team
DonTerry Russell,163693,ED,TEXAS ST,13,4,0,83.3,1,2,314,0,0,53.2,64.9,3.4,76.7,62.5,43.5,0,11,0,0,23,32.0,8,1,3,101.4,5,7,0,61,0,50,298,237,0,0,227,10,0,61,113,135,0,16,13,3,6,18,0,50,42,10.0,2025_this_team
Kalil Alexander,172318,ED,TEXAS ST,13,13,0,71.4,1,1,314,0,0,61.6,68.7,8.4,86.2,56.6,29.8,9,23,0,0,14,30.0,18,1,6,89.6,5,6,0,36,0,64,613,577,0,2,571,4,0,36,278,271,0,28,29,6,7,38,0,47,31,9.4,2025_this_team
