player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,_provenance
Trent Low,123146,LB,TEXAS TECH,1,0,0,100.0,0,0,315,0,0,72.2,76.4,67.7,,60.0,73.1,0,0,0,0,4,0.0,0,0,0,83.3,1,0,0,6,0,5,6,0,0,0,0,0,0,6,0,1,0,0,1,0,1,0,0,4,1,4.0,2025_this_team
Bryce Ramirez,123156,LB,TEXAS TECH,10,4,0,87.5,0,1,315,1,0,52.6,65.8,77.7,63.6,79.2,67.6,1,3,0,0,18,15.0,3,0,0,94.3,7,1,0,130,0,77,142,3,0,0,3,0,1,139,4,61,7,11,13,0,8,5,0,53,50,7.6,2025_this_team
Corey Platt Jr.,144431,LB,HOUSTON,12,15,1,83.3,0,2,182,0,0,57.3,67.9,82.9,58.7,83.1,73.9,0,6,0,0,42,8.9,4,1,0,155.8,15,3,0,246,6,176,357,29,0,0,29,0,1,328,66,115,75,12,26,2,18,9,2,242,129,16.1,arrival_2025_at_HOUSTON
Gage Elder,144766,LB,TEXAS TECH,1,0,0,,0,0,315,0,0,64.3,67.2,70.6,,61.0,73.6,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,8,0,7,9,0,0,0,0,0,0,9,0,2,1,0,1,0,0,0,0,0,0,,2025_this_team
Jacob Rodriguez,151095,LB,TEXAS TECH,14,30,2,82.1,0,7,315,2,1,92.3,93.0,85.9,61.4,94.8,65.5,2,3,0,4,56,13.9,20,3,0,85.9,55,1,0,678,3,447,772,26,0,0,26,0,3,746,40,285,61,70,94,9,67,6,2,550,368,10.0,2025_this_team
Luke Dillingham,151172,LB,TEXAS TECH,4,0,0,100.0,0,0,315,0,0,66.1,64.4,70.4,64.9,55.9,,0,2,0,0,11,,0,0,0,112.5,1,0,0,14,0,13,26,3,0,0,3,0,0,23,4,9,6,0,0,0,1,2,0,11,12,11.0,2025_this_team
Wesley Smith,157329,LB,TEXAS TECH,3,0,0,50.0,0,0,315,0,0,79.8,80.7,72.0,56.5,71.0,80.1,0,0,0,0,4,0.0,0,0,0,56.3,1,0,0,23,0,10,25,0,0,0,0,0,1,25,3,12,1,1,4,0,2,0,0,4,8,4.0,2025_this_team
Ben Roberts,157332,LB,TEXAS TECH,14,31,1,65.9,0,1,315,1,0,90.5,86.3,83.8,53.2,86.4,80.5,1,6,0,4,44,8.8,9,4,0,43.8,27,0,0,651,0,450,791,8,0,0,8,0,5,783,49,292,126,33,62,4,41,7,0,260,205,9.6,2025_this_team
Austin Romaine,173117,LB,KANSAS ST,9,22,0,91.7,0,0,199,1,0,63.8,76.5,83.8,65.4,80.5,41.2,4,7,0,1,27,22.0,20,2,0,61.5,11,1,0,488,1,207,517,0,0,0,0,0,0,517,61,249,28,41,49,5,12,12,0,85,45,7.7,arrival_2025_at_KANSAS ST
Miquel Dingle Jr.,173635,LB,TEXAS TECH,1,0,0,,0,0,315,0,0,60.0,49.7,63.9,,,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,,2025_this_team
Brock Golwas,199311,LB,TEXAS TECH,11,1,0,33.3,0,0,315,0,0,78.6,71.7,76.5,49.5,61.3,86.2,0,3,0,0,1,0.0,0,0,0,42.4,1,0,0,80,0,47,99,0,0,0,0,0,0,99,5,47,19,6,11,0,3,3,0,1,0,1.0,2025_this_team
