player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,epa,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,positive_epa_percent,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr,_provenance
Caleb Douglas,157740,WR,TEXAS TECH,14,13.6,7,58.1,35.3,6,17,2,11.5,7,0.14,33,315,0,58.1,74.3,66.9,,68.3,0.0,0,1,61,0.0,0,497,3,46.3,54,96.0,477,16.9,84,109.0,93,7,83.1,413,846,292,5.4,15.7,1.77,2025_this_team
Reggie Virgil,158022,WR,TEXAS TECH,14,12.6,12,62.0,52.4,11,21,1,8.1,5,0.14,29,315,0,69.1,74.9,68.5,,67.5,0.0,0,2,42,0.0,0,493,2,46.5,57,95.5,471,15.0,74,98.3,92,6,85.0,419,705,214,3.8,12.4,1.5,2025_this_team
Kenny Johnson,175419,WR,PITTSBURGH,13,10.3,10,63.2,33.3,4,12,0,11.1,6,0.06,30,268,0,53.2,84.1,69.0,,67.7,0.5,2,1,42,0.0,0,439,1,43.5,48,95.2,418,16.4,72,109.3,76,5,82.9,364,695,280,5.8,14.5,1.66,arrival_2025_at_PITTSBURGH
Terrance Carter Jr.,156742,TE,TEXAS TECH,13,5.9,23,74.3,53.3,8,15,0,6.8,4,0.09,29,315,0,73.2,75.0,82.2,65.9,83.3,38.8,140,2,50,11.9,43,361,3,44.5,55,85.6,309,49.0,177,110.4,74,5,9.7,35,624,370,6.7,11.3,2.02,2025_this_team
Coy Eakin,157337,WR,TEXAS TECH,14,7.3,13,76.2,54.5,6,11,0,11.1,6,0.09,25,315,0,58.4,82.7,67.4,71.8,66.4,1.4,6,3,42,1.2,5,422,1,46.1,48,95.3,402,91.2,385,119.6,63,6,7.1,30,637,310,6.5,13.3,1.58,2025_this_team
Donte Lee Jr.,184692,WR,LIBERTY,12,16.2,8,59.6,50.0,3,6,0,0.0,0,-0.07,26,206,0,90.0,72.1,80.2,,81.0,0.0,0,2,62,0.0,0,241,0,44.1,31,94.2,227,18.3,44,113.1,52,5,81.7,197,566,147,4.7,18.3,2.49,arrival_2025_at_LIBERTY
Jett Carpenter,141520,TE,NEVADA,12,6.5,6,72.9,66.7,4,6,0,5.4,2,-0.36,16,239,0,76.2,72.6,69.8,60.4,66.7,39.2,118,3,44,14.0,42,301,5,36.4,35,81.7,246,44.9,135,83.2,48,2,15.0,45,374,205,5.9,10.7,1.52,arrival_2025_at_NEVADA
Malcolm Simmons,191278,WR,AUBURN,11,10.2,8,64.1,40.0,2,5,0,3.8,1,0.0,15,115,0,78.4,83.7,71.2,,68.4,1.7,4,0,91,0.0,0,232,0,38.9,25,95.3,221,59.9,139,121.4,39,2,38.4,89,457,292,11.7,18.3,2.07,arrival_2025_at_AUBURN
Johncarlos Miller II,148343,TE,TEXAS TECH,14,9.6,0,64.3,60.0,3,5,2,0.0,0,0.12,4,315,0,80.1,68.5,53.9,73.5,48.1,57.2,131,1,17,31.0,71,229,3,47.7,9,66.4,152,34.5,79,48.8,14,0,6.1,14,77,30,3.3,8.6,0.51,2025_this_team
Micah Hudson,184902,WR,TEXAS TECH,7,11.5,0,72.7,50.0,1,2,0,0.0,0,0.35,6,315,0,79.3,70.7,78.1,,78.1,0.0,0,0,30,0.0,0,55,0,54.0,8,90.9,50,16.4,9,144.7,11,2,83.6,46,112,31,3.9,14.0,2.24,2025_this_team
