player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,_provenance
Andre Fuller,141775,CB,TOLEDO,13,8,0,42.3,0,1,316,1,0,80.0,82.6,51.3,63.5,89.8,75.4,1,0,0,1,41,10.9,6,9,5,56.5,22,0,0,39,590,386,711,12,0,0,12,0,0,699,5,320,70,19,41,2,52,1,1,259,93,11.8,2025_this_team
Armorion Smith,144238,S,MICH STATE,12,6,0,75.0,0,1,223,1,0,56.2,50.3,84.4,47.7,41.1,29.9,0,1,0,1,56,30.4,14,1,0,119.6,15,0,0,189,7,211,425,12,0,0,12,0,138,413,9,205,78,9,26,0,20,1,2,204,69,13.6,arrival_2025_at_MICH STATE
Andrew Wilson-Lamp,144788,CB,TOLEDO,6,1,0,100.0,0,0,316,0,0,60.1,64.2,76.6,,76.1,40.0,0,0,0,0,39,27.3,3,0,0,158.3,4,0,0,6,51,38,61,0,0,0,0,0,0,61,0,23,4,2,7,0,4,0,1,67,38,16.8,2025_this_team
Avery Smith,157000,CB,TOLEDO,13,5,0,47.4,0,0,316,0,0,64.4,70.6,87.3,68.9,90.2,48.5,0,1,0,1,40,21.1,12,9,4,65.5,27,1,0,26,577,394,746,3,0,0,3,0,5,743,4,348,135,14,40,4,57,2,2,268,65,9.9,2025_this_team
Nasir Bowers,163152,CB,TOLEDO,13,3,0,60.5,0,0,316,1,0,71.6,71.8,88.4,57.0,70.9,45.2,1,1,0,2,43,22.9,8,4,3,57.8,23,0,0,68,30,296,515,4,0,0,4,0,21,511,16,203,391,10,24,2,38,2,0,248,140,10.8,2025_this_team
Emmanuel McNeil-Warren,163155,S,TOLEDO,13,30,0,40.0,0,2,316,2,0,92.0,91.9,84.3,59.6,83.5,63.0,2,2,1,2,73,15.3,13,5,1,50.3,6,1,0,401,13,336,654,9,0,0,9,0,198,645,6,312,33,17,42,4,15,5,1,116,50,19.3,2025_this_team
Braedyn Moore,170326,S,TOLEDO,7,3,0,25.0,0,0,316,0,0,44.7,50.5,77.5,59.0,65.9,47.1,0,0,0,0,32,25.0,2,0,0,60.4,1,0,0,40,1,51,90,0,0,0,0,0,38,90,1,38,10,0,3,0,4,0,0,32,4,32.0,2025_this_team
Braden Awls,171370,S,TOLEDO,12,12,0,53.3,0,2,316,0,0,63.5,74.3,13.2,76.7,90.4,67.0,0,1,0,5,75,13.6,8,3,2,58.3,16,1,0,405,11,316,602,23,0,0,23,0,108,579,5,281,55,23,39,6,30,2,1,290,145,18.1,2025_this_team
Sam Smith Jr.,171389,S,TOLEDO,1,0,0,,0,0,316,0,0,,61.2,66.1,,60.4,,0,0,0,0,,,0,0,0,0.0,0,0,0,2,0,0,3,1,0,0,1,0,0,2,0,3,0,0,0,0,0,0,0,0,0,,2025_this_team
Nicholas Thompson,171391,S,TOLEDO,12,5,0,86.7,0,0,316,0,0,58.2,69.4,82.1,75.0,83.3,84.5,0,0,0,0,17,4.0,1,0,0,113.3,13,1,0,151,5,131,268,4,0,0,4,0,82,264,1,136,26,8,19,1,15,1,1,88,61,6.8,2025_this_team
