player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,epa,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,positive_epa_percent,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr,_provenance
Junior Vandeross III,163156,WR,TOLEDO,13,8.8,16,70.3,58.3,7,12,0,9.8,9,0.07,47,316,0,63.8,76.3,81.3,,84.1,1.5,6,2,71,0.0,0,409,1,45.6,83,94.4,386,81.4,333,120.3,118,11,17.1,70,1008,506,6.1,12.1,2.61,2025_this_team
Trayvon Rudolph,130577,WR,TOLEDO,13,10.7,5,72.2,85.7,6,7,0,11.4,5,0.09,24,316,0,57.7,76.4,65.2,,65.7,1.7,5,3,58,0.0,0,299,1,48.2,39,93.6,280,26.1,78,85.0,54,2,72.2,216,435,124,3.2,11.2,1.55,2025_this_team
Jacob Petersen,149424,TE,TOLEDO,13,9.8,1,67.6,20.0,1,5,0,7.4,2,0.06,14,316,0,69.4,71.2,54.1,69.0,56.0,66.7,268,2,28,22.4,90,402,5,45.6,25,73.1,294,31.6,127,100.6,37,3,1.7,7,335,128,5.1,13.4,1.14,2025_this_team
Terrell Crosby Jr.,157607,WR,TOLEDO,13,12.2,3,64.0,75.0,3,4,0,11.1,2,0.17,7,316,0,61.3,70.8,64.8,,66.1,0.7,1,0,24,0.0,0,143,2,47.4,16,95.8,137,4.9,7,101.1,25,1,94.4,135,194,64,4.0,12.1,1.42,2025_this_team
Eric Holley III,163154,WR,TOLEDO,12,11.0,1,63.6,0.0,0,3,0,22.2,4,0.07,8,316,0,26.9,69.2,54.8,,53.5,1.9,3,1,26,0.0,0,160,3,46.1,14,96.3,154,21.3,34,86.6,22,1,76.9,123,186,56,4.0,13.3,1.21,2025_this_team
Ryder Treadway,205432,WR,TOLEDO,11,12.7,0,68.4,100.0,2,2,0,13.3,2,-0.05,11,316,0,53.9,68.7,58.7,,60.1,0.0,0,0,24,0.0,0,177,2,45.5,13,94.4,167,6.2,11,137.3,19,3,93.8,166,176,35,2.7,13.5,1.05,2025_this_team
Jake Newell,163273,TE,AKRON,6,4.0,1,33.3,0.0,0,1,0,33.3,2,-0.07,0,102,0,26.0,65.0,43.7,60.3,41.0,59.5,75,0,5,21.4,27,126,2,37.3,4,73.0,92,17.5,22,42.4,12,0,23.0,29,14,9,2.3,3.5,0.15,arrival_2025_at_AKRON
Javon Brown,190119,WR,TOLEDO,11,15.8,1,66.7,100.0,1,1,0,11.1,1,0.45,7,316,0,58.9,67.1,68.5,,67.7,0.0,0,1,46,0.0,0,66,0,48.4,8,93.9,62,12.1,8,102.8,12,1,87.9,58,156,55,6.9,19.5,2.52,2025_this_team
Julian Allen,171369,WR,TOLEDO,6,13.8,0,50.0,0.0,0,1,0,0.0,0,-0.17,1,316,0,73.1,68.8,58.1,,57.5,0.0,0,0,12,0.0,0,25,0,43.5,3,92.0,23,80.0,20,56.3,6,0,20.0,5,15,19,6.3,5.0,0.65,2025_this_team
Cooper Rusk,169108,WR,TOLEDO,10,15.3,0,50.0,0.0,0,2,0,0.0,0,0.16,2,316,0,73.1,66.0,58.5,,59.2,0.0,0,0,11,0.0,0,54,0,46.2,2,96.3,52,31.5,17,65.6,4,0,68.5,37,21,6,3.0,10.5,0.4,2025_this_team
Bryson Hammer,176105,WR,TOLEDO,9,11.0,3,50.0,,0,0,0,0.0,0,0.24,1,316,0,73.1,89.5,61.7,67.8,62.5,5.3,2,0,13,2.6,1,38,1,44.4,2,92.1,35,52.6,20,64.6,4,0,39.5,15,20,4,2.0,10.0,0.57,2025_this_team
Connor Jones,145905,TE,TOLEDO,13,6.5,0,50.0,,0,0,0,0.0,0,0.25,2,316,0,70.7,65.3,52.8,50.6,65.7,76.2,32,0,5,47.6,20,42,1,54.8,2,52.4,22,11.9,5,95.8,4,1,7.1,3,8,3,1.5,4.0,0.36,2025_this_team
CC Ezirim,171376,TE,TOLEDO,4,3.3,0,66.7,,0,0,0,0.0,0,0.31,2,316,0,70.7,62.9,63.1,71.5,63.8,81.5,22,0,6,29.6,8,27,0,52.0,2,70.4,19,14.8,4,109.7,3,1,0.0,0,8,2,1.0,4.0,0.42,2025_this_team
Tashi Braceful,184123,WR,TOLEDO,4,22.3,0,33.3,50.0,1,2,0,0.0,0,-0.3,1,316,0,66.7,61.0,68.1,,68.3,0.0,0,0,36,0.0,0,10,0,37.5,1,80.0,8,10.0,1,79.9,3,0,90.0,9,36,8,8.0,36.0,4.5,2025_this_team
Sam Lee,184129,TE,TOLEDO,10,17.3,0,66.7,100.0,1,1,0,0.0,0,0.14,2,316,0,70.7,62.9,55.8,71.6,67.6,81.1,30,0,20,18.9,7,37,0,54.1,2,81.1,30,16.2,6,109.7,3,0,2.7,1,40,1,0.5,20.0,1.33,2025_this_team
Daryl Barnett Jr.,190117,WR,TOLEDO,2,4.0,0,100.0,,0,0,0,0.0,0,-0.27,1,316,0,66.7,61.0,65.7,,66.4,0.0,0,0,13,0.0,0,5,0,33.3,1,60.0,3,20.0,1,118.8,1,0,80.0,4,13,9,9.0,13.0,4.33,2025_this_team
Anthony Simpson,146244,WR,MICHIGAN,2,-4.0,0,0.0,0.0,0,1,0,,0,0.38,0,222,0,,62.5,60.1,,57.3,0.0,0,0,0,0.0,0,3,0,66.7,0,100.0,3,33.3,1,39.6,1,0,66.7,2,0,0,,,0.0,arrival_2025_at_MICHIGAN
