player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,epa,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,positive_epa_percent,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr,_provenance
DJ Epps,163572,WR,TROY,14,10.8,4,65.3,46.7,7,15,0,2.1,1,-0.17,23,318,0,87.6,59.1,68.2,64.7,67.6,0.0,0,5,48,0.5,2,398,2,38.0,47,96.0,382,17.3,69,80.3,72,5,82.2,327,512,200,4.3,10.9,1.34,2025_this_team
RaRa Thomas,146850,WR,TROY,14,13.2,4,55.6,58.8,10,17,0,11.1,5,-0.24,26,318,1,59.2,45.2,69.9,,72.7,0.6,2,2,75,0.0,0,325,1,35.1,40,96.9,315,10.2,33,95.7,72,5,89.2,290,617,194,4.9,15.4,1.96,2025_this_team
Peyton Higgins,147247,WR,TROY,14,9.4,6,69.2,62.5,5,8,0,0.0,0,-0.03,22,318,0,90.4,85.6,64.6,61.0,67.6,0.0,0,1,21,0.4,1,240,1,39.7,36,96.7,232,90.8,218,82.3,52,1,8.3,20,301,85,2.4,8.4,1.3,2025_this_team
Ethan Conner,172347,TE,TROY,14,6.1,7,68.9,28.6,2,7,0,8.8,3,-0.18,19,318,0,64.9,72.6,60.6,59.1,62.5,63.9,283,0,39,20.3,90,443,4,37.8,31,76.5,339,31.4,139,118.5,45,3,2.9,13,397,226,7.3,12.8,1.17,2025_this_team
Tray Taylor,186494,WR,TROY,13,11.9,6,70.7,33.3,1,3,0,6.5,2,-0.11,15,318,1,71.4,44.2,72.7,,73.1,1.1,2,2,60,0.0,0,186,0,36.7,29,96.8,180,80.1,149,115.4,41,3,14.0,26,495,232,8.0,17.1,2.75,2025_this_team
Roman Mothershed,190694,WR,TROY,12,11.1,6,66.7,75.0,3,4,2,10.3,3,0.0,14,318,1,60.8,29.0,56.3,,58.9,0.4,1,1,29,0.0,0,268,4,40.6,26,94.8,254,13.1,35,83.3,39,1,86.6,232,260,103,4.0,10.0,1.02,2025_this_team
TJ Lott,172287,WR,DOMINION,8,12.1,0,53.3,0.0,0,1,0,0.0,0,0.01,3,263,0,79.3,67.1,69.2,,69.7,0.0,0,0,34,0.0,0,56,0,43.6,8,98.2,55,94.6,53,92.1,15,1,5.4,3,84,40,5.0,10.5,1.53,arrival_2025_at_DOMINION
Mojo Dortch,163681,WR,TROY,5,13.1,0,50.0,0.0,0,1,0,12.5,1,-0.33,3,318,0,58.9,69.0,60.3,,61.7,0.0,0,1,19,0.0,0,86,0,31.0,7,97.7,84,33.7,29,32.7,14,0,66.3,57,63,22,3.1,9.0,0.75,2025_this_team
Jackson Worley,172372,TE,TROY,14,4.1,0,63.6,50.0,1,2,1,12.5,1,0.09,5,318,1,56.4,16.9,48.0,47.5,50.1,72.3,115,0,13,40.9,65,159,3,44.5,7,57.2,91,20.1,32,107.0,11,1,1.3,2,57,27,3.9,8.1,0.63,2025_this_team
Trae Swartz,184377,TE,TROY,14,7.9,0,44.4,0.0,0,2,0,20.0,1,-0.14,3,318,0,45.4,65.0,50.3,49.8,48.7,90.6,144,0,31,40.9,65,159,0,38.6,4,58.5,93,6.9,11,99.8,9,1,0.6,1,51,15,3.8,12.8,0.55,2025_this_team
