player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,_provenance
Jack Tchienchou,124782,S,TULANE,14,16,0,78.8,1,1,319,0,0,60.6,62.9,88.4,72.3,62.8,54.6,0,2,0,2,59,17.2,17,2,3,97.9,26,1,0,230,11,407,707,3,0,0,3,0,335,704,15,285,127,19,66,2,33,3,2,287,158,11.0,2025_this_team
Isaiah Wadsworth,139159,CB,TULANE,13,2,0,52.6,0,1,319,0,0,61.1,71.9,80.8,65.7,93.4,61.6,1,0,0,1,32,20.0,3,1,2,65.9,10,0,0,27,174,119,209,2,0,0,2,0,0,207,1,89,6,5,10,0,19,1,1,111,27,11.1,2025_this_team
KC Eziomume,142746,CB,TULANE,4,0,0,40.0,0,0,319,0,0,65.1,65.5,75.2,60.0,61.9,74.2,0,0,0,0,33,0.0,0,1,0,127.1,2,0,0,1,33,20,35,1,0,0,1,0,0,34,1,14,0,0,1,0,5,0,1,66,10,33.0,2025_this_team
Bailey Despanie,144413,S,TULANE,14,9,0,58.8,2,0,319,0,0,60.2,62.5,33.6,47.2,69.8,69.1,0,1,0,1,44,14.3,10,5,3,100.0,10,0,0,200,3,320,560,9,0,0,9,0,282,551,3,237,65,20,51,2,17,1,3,138,34,13.8,2025_this_team
Rodrek Williams II,144439,CB,TULANE,2,0,0,,0,0,319,0,0,60.0,61.1,65.8,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,1,0,1,3,0,0,0,0,0,0,3,0,2,2,0,0,0,0,0,0,0,0,,2025_this_team
Justin Agu,147169,CB,LOUISVILLE,9,0,0,25.0,0,0,210,0,0,52.5,54.4,76.9,52.2,70.2,77.7,0,0,0,0,3,0.0,0,0,1,39.6,1,0,0,7,56,49,66,1,0,0,1,0,0,65,3,14,2,2,3,0,4,0,0,3,-1,3.0,arrival_2025_at_LOUISVILLE
Kajuan Banks,158125,CB,USF,4,2,0,80.0,0,0,327,0,0,68.3,69.1,80.7,69.4,63.1,28.4,1,0,0,0,20,36.4,4,1,1,93.8,8,0,0,9,1,58,88,0,0,0,0,0,0,88,3,27,78,5,5,2,10,1,0,65,21,8.1,arrival_2025_at_USF
Kevin Adams III,169970,S,TULANE,14,17,0,63.6,0,0,319,0,0,60.7,65.9,86.3,60.0,74.4,70.2,0,0,0,2,47,13.4,9,3,1,69.3,14,0,0,191,2,313,546,2,0,0,2,0,286,544,1,232,65,13,41,1,22,0,1,195,66,13.9,2025_this_team
Jahiem Johnson,169982,CB,TULANE,14,12,0,64.8,1,1,319,0,0,75.3,76.2,56.2,63.2,78.4,48.9,0,2,0,4,65,21.0,13,10,3,83.4,46,0,0,80,716,468,834,15,0,0,15,0,6,819,15,351,16,14,37,1,71,2,4,545,223,11.8,2025_this_team
Joshua Moore,169985,S,TULANE,14,5,0,81.8,0,1,319,0,0,70.3,67.4,84.0,,58.7,65.7,0,0,0,0,25,14.8,4,0,0,96.6,9,0,0,67,2,147,244,9,0,0,9,0,130,235,0,97,36,3,18,0,11,0,0,79,19,8.8,2025_this_team
