player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,_provenance
Armondous Cooley,124161,DI,TULANE,14,1,0,,0,0,319,0,0,,56.5,53.0,54.8,59.7,52.2,0,2,0,0,,16.7,2,0,1,0.0,0,0,0,0,0,0,251,251,162,84,0,5,0,0,154,97,0,5,9,0,0,2,0,0,0,,2025_this_team
Elijah Champaigne,144407,DI,TULANE,12,2,0,,0,0,319,0,0,,52.2,79.0,57.2,48.8,75.5,1,2,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,103,103,18,35,4,46,0,0,62,41,0,1,2,0,0,3,0,0,0,,2025_this_team
Tre'Von McAlpine,157324,DI,TULANE,14,7,0,,0,0,319,1,0,75.6,65.2,66.9,58.2,66.3,71.5,2,5,0,0,,5.3,2,0,1,0.0,0,1,0,1,0,0,437,435,290,125,1,19,0,2,229,208,0,21,29,0,0,8,0,0,0,,2025_this_team
Harvey Dyson,157327,ED,TULANE,14,3,0,100.0,2,2,319,0,0,40.1,67.6,49.9,90.4,53.1,57.7,1,14,0,0,72,17.9,5,0,2,158.3,11,9,0,8,4,64,451,435,0,4,424,7,0,16,201,186,3,19,20,5,11,24,2,156,106,14.2,2025_this_team
Santana Hopper,157551,DI,TULANE,14,8,0,,0,0,319,1,0,67.8,80.2,55.2,81.4,72.4,52.4,12,23,0,0,,16.2,6,0,2,0.0,0,4,0,4,0,1,661,656,46,160,43,407,0,5,391,269,0,23,23,6,0,39,0,0,0,,2025_this_team
Mo Westmoreland,157883,ED,TULANE,12,1,0,50.0,0,0,319,0,0,78.8,79.2,59.2,82.8,65.7,73.0,3,10,0,1,9,12.5,1,1,1,16.7,2,4,0,6,1,43,295,288,0,0,288,0,0,7,121,131,0,8,6,2,4,17,0,7,7,3.5,2025_this_team
Kameron Hamilton,158415,ED,TULANE,14,7,3,100.0,0,0,319,0,0,49.2,70.4,65.0,69.3,70.5,75.6,4,21,0,0,8,6.7,2,0,1,100.0,1,3,0,0,0,7,469,468,30,66,128,244,0,1,280,182,0,15,21,2,1,28,0,8,11,8.0,2025_this_team
Gerrod Henderson,158416,ED,TULANE,7,5,0,,0,0,319,0,0,61.8,64.0,0.0,64.7,69.8,60.8,0,1,0,0,,11.1,2,0,3,0.0,0,0,0,0,0,1,122,122,3,8,48,63,0,0,57,64,0,6,11,1,0,1,0,0,0,,2025_this_team
Derrick Shepard Jr.,164154,DI,TULANE,14,2,1,,0,0,319,0,0,,60.0,53.3,64.4,57.1,59.2,2,6,0,0,,12.5,1,0,1,0.0,0,0,0,1,0,0,253,252,164,84,0,4,0,1,138,115,0,4,5,1,0,8,0,0,0,,2025_this_team
Jah'rie Garner,169979,ED,TULANE,14,5,0,100.0,0,0,319,1,0,75.0,69.8,88.0,66.7,61.6,72.5,1,6,0,0,16,5.9,1,0,0,95.8,4,0,0,1,1,40,274,266,0,0,264,2,1,8,120,114,5,5,11,1,4,7,0,28,30,7.0,2025_this_team
Jordan Norman,172311,ED,TULANE,14,6,0,100.0,2,0,319,0,0,53.4,71.8,44.1,73.4,69.4,65.5,3,15,0,0,9,10.7,3,0,2,104.2,1,6,0,0,0,11,448,448,0,11,181,256,0,0,265,172,0,18,19,3,1,24,0,9,3,9.0,2025_this_team
Eliyt Nairne,174936,DI,TULANE,14,4,0,,0,0,319,1,0,63.0,59.5,80.8,57.2,57.7,68.7,0,4,0,0,,7.7,1,0,0,0.0,0,0,0,1,0,2,186,185,20,41,12,112,0,1,112,72,0,7,8,1,0,4,0,0,0,,2025_this_team
Geordan Guidry,189575,DI,TULANE,14,5,0,,0,1,319,0,0,60.0,83.7,80.3,60.0,90.6,80.7,0,3,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,134,134,33,32,17,52,0,0,60,74,0,7,9,0,0,3,0,0,0,,2025_this_team
PaLanding Drammeh,199354,DI,TULANE,4,0,0,,0,0,319,0,0,,68.5,72.2,67.7,62.9,,0,1,0,0,,100.0,1,0,0,0.0,0,0,0,0,0,0,10,10,6,3,0,1,0,0,3,7,0,0,0,0,0,1,0,0,0,,2025_this_team
Warren Roberts Jr.,199360,ED,TULANE,1,0,0,,0,0,319,0,0,60.4,60.3,72.5,58.6,60.0,,0,1,0,0,,,0,0,0,0.0,0,0,0,0,0,2,8,8,0,0,7,1,0,0,4,2,0,0,0,0,0,1,0,0,0,,2025_this_team
Josh Lewis,199372,ED,TULANE,4,0,0,,0,0,319,0,0,,63.6,73.4,58.5,65.7,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,18,18,0,0,8,10,0,0,14,4,0,0,0,0,0,0,0,0,0,,2025_this_team
Reshad Sterling,199708,ED,HOUSTON,1,0,0,,0,0,182,0,0,,61.8,73.1,55.1,66.4,74.9,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,1,0,0,13,12,0,1,6,5,0,1,9,4,0,1,2,0,0,0,0,0,0,,arrival_2025_at_HOUSTON
