player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te,_provenance
Jack Hollifield,144079,C,TULANE,14,100.0,0,319,57.5,63.2,54.4,0,16,475,100.0,100.0,98.1,7,17,1,971,971,0,0,971,501,501,0,0,470,0,2025_this_team
Shadre Hurst,158418,G,TULANE,14,100.0,1,319,80.7,90.5,80.9,1,5,453,100.0,100.0,99.1,9,7,1,934,0,876,54,934,477,477,2,0,457,1,2025_this_team
Reese Baker,189564,T,TULANE,14,100.0,0,319,60.2,71.4,53.8,3,18,444,100.0,100.0,96.7,2,25,4,908,0,0,0,908,467,467,172,724,441,11,2025_this_team
Derrick Graham,123703,T,TULANE,13,100.0,2,319,68.6,81.3,60.1,3,14,441,100.0,100.0,97.8,3,18,1,898,0,0,896,898,465,465,0,0,433,1,2025_this_team
Jordan Hall,102309,G,TULANE,14,100.0,0,319,60.7,71.0,58.5,1,12,348,100.0,100.0,98.1,7,13,0,712,0,0,0,712,365,365,699,9,347,3,2025_this_team
Darion Reed,169987,T,TULANE,9,100.0,0,319,47.5,44.3,48.1,3,6,112,100.0,100.0,95.1,1,10,1,248,0,1,0,248,118,118,0,238,130,8,2025_this_team
Elijah Baker,189563,G,TULANE,7,100.0,0,319,46.7,48.6,50.0,1,6,97,100.0,100.0,96.4,4,7,0,187,0,96,0,187,103,103,86,2,84,0,2025_this_team
Ryan Mickow,175342,T,BOSTON COL,6,100.0,0,121,59.6,54.8,61.0,1,7,65,100.0,100.0,92.3,0,9,1,93,0,0,43,93,66,66,0,48,27,2,arrival_2025_at_BOSTON COL
Landry Cannon,169973,G,TULANE,6,100.0,0,319,45.7,44.0,52.3,0,1,12,100.0,100.0,95.8,1,1,0,28,0,7,1,28,14,14,19,0,14,0,2025_this_team
Dominic Steward,183433,T,TULANE,2,100.0,1,319,64.1,84.3,69.1,0,0,8,100.0,100.0,100.0,1,0,0,21,0,0,21,21,10,10,0,0,11,0,2025_this_team
Tristen Fortenberry,189572,T,TULANE,2,100.0,0,319,62.7,76.1,60.2,0,0,4,100.0,100.0,100.0,0,0,0,7,0,0,7,7,4,4,0,0,3,0,2025_this_team
John Bock II,156549,C,TULANE,2,100.0,0,319,61.1,73.9,60.0,0,0,4,100.0,100.0,100.0,0,0,0,7,7,0,0,7,4,4,0,0,3,0,2025_this_team
Juelz Baptiste,199358,T,TULANE,1,100.0,0,319,60.0,,60.0,0,0,0,,,,0,0,0,1,0,0,0,1,0,0,0,0,1,1,2025_this_team
