player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,epa,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,positive_epa_percent,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr,_provenance
David Wells Jr.,176410,WR,OREGON ST,11,10.7,6,63.4,47.1,8,17,0,4.3,2,-0.14,21,265,1,80.0,24.3,62.5,62.1,64.3,0.0,0,1,56,0.3,1,346,1,41.4,45,96.0,332,21.4,74,95.5,71,4,78.6,272,472,206,4.6,10.5,1.42,arrival_2025_at_OREGON ST
Zion Booker,177939,WR,TULSA,8,4.9,9,75.4,60.0,3,5,0,6.1,3,0.04,20,320,0,74.1,63.8,68.3,63.9,68.0,0.0,0,1,40,0.4,1,256,1,43.9,46,92.6,237,91.8,235,97.6,61,2,8.2,21,418,258,5.6,9.1,1.76,2025_this_team
Brody Foley,156394,TE,TULSA,11,8.6,7,74.0,30.8,4,13,1,5.1,2,0.02,24,320,0,76.2,74.2,72.5,62.4,76.8,50.6,176,1,72,18.1,63,348,4,40.3,37,76.4,266,41.1,143,139.4,50,7,5.2,18,533,304,8.2,14.4,2.0,2025_this_team
Zion Steptoe,156494,WR,TULSA,10,17.2,2,53.8,25.0,1,4,0,0.0,0,-0.09,13,320,0,87.4,73.8,61.1,63.9,59.0,0.0,0,2,42,0.3,1,328,1,40.0,21,91.2,299,16.2,53,54.6,39,0,83.8,275,272,54,2.6,13.0,0.91,2025_this_team
Grayson Tempest,127630,WR,TULSA,8,13.1,2,64.7,50.0,4,8,0,8.3,2,-0.03,10,320,0,66.8,76.7,62.2,,62.8,0.0,0,1,51,0.0,0,208,2,39.5,22,91.3,190,56.3,117,86.9,34,1,43.8,91,272,92,4.2,12.4,1.43,2025_this_team
Micah Tease,172599,WR,TULSA,7,15.7,5,43.3,33.3,3,9,0,13.3,2,0.12,9,320,1,53.9,69.5,57.2,,57.7,0.0,0,3,34,0.0,0,186,0,45.2,13,95.2,177,15.1,28,37.5,30,1,84.9,158,200,61,4.7,15.4,1.13,2025_this_team
Mekhi Miller,157163,WR,TULSA,4,16.2,0,47.4,0.0,0,4,0,10.0,1,-0.13,2,320,0,62.9,67.9,51.9,,52.6,0.0,0,1,8,0.0,0,131,1,43.8,9,92.4,121,24.4,32,32.3,19,0,75.6,99,58,6,0.7,6.4,0.48,2025_this_team
Landen Lucas,170828,TE,TULSA,12,5.6,0,76.5,50.0,2,4,0,0.0,0,-0.21,6,320,0,83.3,71.1,62.3,66.2,60.5,51.3,80,0,15,25.0,39,156,1,39.1,13,67.3,105,39.1,61,84.4,17,0,3.8,6,76,27,2.1,5.8,0.72,2025_this_team
Josh Smith,190746,WR,TULSA,8,22.4,1,56.3,37.5,3,8,0,0.0,0,-0.08,7,320,1,80.1,18.7,61.9,,64.3,0.0,0,0,43,0.0,0,120,1,40.0,9,91.7,110,5.0,6,120.8,16,1,95.0,114,196,31,3.4,21.8,1.78,2025_this_team
Jacob Emmers,190724,WR,TULSA,11,5.1,5,81.3,0.0,0,1,0,0.0,0,0.07,6,320,0,82.7,70.5,73.1,,74.7,2.1,1,0,40,0.0,0,48,0,43.5,13,95.8,46,93.8,45,99.0,16,0,2.1,1,124,116,8.9,9.5,2.7,2025_this_team
Donnell Gee Jr.,204370,WR,TULSA,6,18.1,1,35.7,28.6,2,7,0,0.0,0,0.01,4,320,0,76.3,67.0,59.1,64.4,60.0,0.0,0,0,50,1.0,1,105,1,37.2,5,88.6,93,23.8,25,68.8,14,0,76.2,80,124,32,6.4,24.8,1.33,2025_this_team
Oran Singleton Jr.,145589,WR,W VIRGINIA,4,10.3,0,50.0,,0,0,0,20.0,1,-0.16,0,343,0,45.4,19.2,47.0,,49.7,0.0,0,1,9,0.0,0,48,0,34.8,4,95.8,46,100.0,48,16.7,8,0,0.0,0,22,19,4.8,5.5,0.48,arrival_2025_at_W VIRGINIA
Jimmy Calloway,124274,WR,TULANE,14,21.9,0,37.5,33.3,1,3,0,25.0,1,0.15,2,319,0,39.5,68.7,54.8,,52.0,0.0,0,1,41,0.0,0,83,1,48.0,3,88.0,73,19.3,16,20.8,8,0,79.5,66,52,4,1.3,17.3,0.71,arrival_2025_at_TULANE
Jewlyen Roberts,190741,TE,TULSA,11,4.8,0,75.0,,0,0,0,25.0,1,-0.25,1,320,0,39.5,65.4,49.4,59.0,44.5,65.1,54,0,9,33.7,28,83,0,36.8,3,60.2,50,27.7,23,119.8,4,1,6.0,5,15,9,3.0,5.0,0.3,2025_this_team
Calvin Johnson II,145043,WR,TULSA,7,9.8,0,75.0,0.0,0,1,0,0.0,0,0.0,2,320,0,73.1,70.4,63.4,,59.5,0.0,0,0,18,0.0,0,35,0,40.6,3,88.6,31,51.4,18,149.0,4,1,48.6,17,43,10,3.3,14.3,1.39,2025_this_team
Chris Gacayan II,204360,TE,TULSA,1,17.0,0,0.0,,0,0,0,,0,0.34,0,320,0,,,55.0,,56.8,0.0,0,0,0,0.0,0,2,0,50.0,0,100.0,2,100.0,2,39.6,1,0,0.0,0,0,0,,,0.0,2025_this_team
