player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,_provenance
Jalen Cheek,143820,S,UAB,9,5,0,100.0,0,0,321,0,0,71.7,68.9,80.8,56.5,64.1,90.5,0,0,0,0,10,0.0,0,0,0,93.8,2,0,0,90,0,74,196,8,0,0,8,0,81,188,5,117,17,3,17,1,2,0,0,13,3,6.5,2025_this_team
Sirad Bryant,143906,S,UAB,11,4,0,77.8,2,0,321,0,0,61.9,50.3,0.0,51.8,50.8,28.9,0,2,0,0,69,32.7,17,2,6,153.9,7,0,0,160,1,164,392,55,0,0,55,0,141,337,12,216,35,14,31,4,9,2,2,103,78,14.7,2025_this_team
Tamarion Crumpley,144018,CB,UAB,7,7,0,47.6,1,0,321,0,0,70.8,69.8,12.3,68.8,66.5,37.0,1,0,0,0,39,28.0,7,4,1,78.3,10,0,0,32,254,135,292,0,0,0,0,0,0,292,2,155,6,4,11,2,21,1,1,104,29,10.4,2025_this_team
T'sai McDaniel,145466,CB,UAB,12,2,0,58.1,0,0,321,0,0,59.3,61.1,84.4,57.9,64.5,54.0,0,0,0,1,41,18.4,7,0,1,94.6,18,0,0,67,70,157,353,6,0,0,6,0,0,347,2,194,210,13,29,0,31,0,2,268,119,14.9,2025_this_team
Pierre Royster,150423,S,UAB,7,10,0,66.7,0,0,321,0,0,56.9,58.9,83.0,56.2,61.8,54.1,1,0,0,2,63,20.0,8,0,0,109.7,6,0,0,106,0,115,271,8,0,0,8,0,128,263,6,150,29,5,22,0,9,1,2,155,61,25.8,2025_this_team
Donald Lee,155503,CB,UAB,7,0,0,70.0,0,1,321,0,0,47.6,46.4,80.7,,44.6,58.9,0,0,0,0,44,15.4,2,0,2,145.8,7,0,0,26,173,95,206,5,0,0,5,0,1,201,0,111,1,3,11,0,10,0,1,129,3,18.4,2025_this_team
Josh Baka,156915,S,UAB,1,1,0,,0,0,321,0,0,60.0,77.1,69.4,60.0,80.5,78.7,0,1,0,0,,0.0,0,0,0,0.0,0,0,0,7,0,1,10,0,0,0,0,0,1,10,1,8,2,1,2,0,0,1,0,0,0,,2025_this_team
Tariq Watson,157504,CB,UAB,8,3,0,41.2,0,0,321,0,0,58.4,58.5,82.0,,57.7,35.8,0,0,0,0,59,31.3,5,2,1,107.4,7,0,0,15,253,137,273,2,0,0,2,0,3,271,0,136,0,2,8,0,17,0,3,128,49,18.3,2025_this_team
Perry Fisher,162792,CB,UAB,8,6,0,75.9,0,0,321,0,0,39.6,46.9,84.7,,68.4,61.5,0,0,0,0,61,17.4,4,1,3,138.3,22,0,0,48,62,166,334,5,0,0,5,0,7,329,0,168,212,7,13,0,29,0,2,348,184,15.8,2025_this_team
AJ Brown,163011,S,UAB,11,14,0,66.7,0,0,321,1,0,55.9,53.4,83.3,54.7,50.8,56.5,1,0,0,0,33,17.3,9,0,0,107.6,6,0,0,155,1,138,350,3,0,0,3,0,156,347,10,202,35,4,29,0,9,1,0,108,56,18.0,2025_this_team
