player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,_provenance
Amorie Morrison,145369,ED,UAB,10,5,1,,0,1,321,0,0,73.2,58.9,45.3,55.3,59.4,57.6,3,4,0,0,,14.7,5,0,2,0.0,0,0,0,1,0,9,426,425,0,67,272,86,0,1,172,245,0,14,24,4,0,7,0,0,0,,2025_this_team
Denver Warren,145660,DI,UAB,12,10,0,,0,0,321,0,0,63.6,60.1,62.8,64.0,56.2,71.5,1,4,0,0,,10.3,3,0,1,0.0,0,3,0,1,0,0,424,423,9,360,11,43,0,1,181,243,0,12,16,2,0,8,0,0,0,,2025_this_team
Demarcus Smith,146830,DI,UAB,5,1,0,,0,0,321,0,0,61.7,76.0,78.1,72.0,70.5,27.2,2,3,0,0,,33.3,2,0,0,0.0,0,0,0,0,0,0,89,89,2,66,5,16,0,0,46,43,0,2,3,0,0,5,0,0,0,,2025_this_team
James Smyre,156816,ED,UAB,6,0,0,,0,0,321,0,0,60.0,62.3,0.9,60.2,66.5,80.2,1,1,0,0,,0.0,0,0,1,0.0,0,0,0,3,1,1,71,62,0,0,62,0,0,9,17,53,5,2,5,0,0,2,0,0,0,,2025_this_team
Chris Spencer,156825,ED,DOMINION,13,3,0,,1,0,263,0,0,,62.3,19.0,56.6,69.1,51.0,0,2,0,0,,25.0,2,0,1,0.0,0,1,0,0,0,0,98,98,0,22,51,25,0,0,45,53,0,3,3,0,0,3,0,0,0,,arrival_2025_at_DOMINION
Jamichael Rogers,166103,ED,UAB,7,3,0,,0,0,321,0,0,61.0,56.6,28.7,57.2,59.0,59.9,3,5,0,0,,20.0,3,0,1,0.0,0,1,0,0,0,1,155,155,0,2,150,3,0,0,85,69,0,5,9,1,0,9,0,0,0,,2025_this_team
Ezra Odinjor,170074,ED,UAB,12,4,0,100.0,2,0,321,0,0,45.5,62.3,53.2,62.6,64.2,47.5,2,13,0,0,13,22.2,6,0,3,110.4,2,0,0,1,0,10,492,491,0,7,457,27,0,1,187,295,0,7,17,0,2,15,0,21,9,10.5,2025_this_team
Jonathan Allen,173322,DI,UAB,12,12,0,,0,0,321,0,0,60.0,62.4,60.7,62.5,61.7,53.2,1,10,0,0,,17.1,7,0,1,0.0,0,3,0,0,0,0,390,390,8,350,2,30,0,0,156,234,0,15,22,0,0,14,0,0,0,,2025_this_team
Eamon Smalls,173348,DI,UAB,11,15,0,,0,0,321,0,0,60.0,65.0,42.8,65.5,64.7,69.6,1,10,0,0,,7.0,4,0,3,0.0,0,1,0,0,0,0,416,416,86,328,0,2,0,0,166,250,0,27,38,3,0,12,0,0,0,,2025_this_team
JaSire Peterson,175512,DI,UAB,7,5,0,,1,0,321,0,0,60.0,38.9,0.0,70.7,37.0,28.6,2,0,0,0,,30.0,3,0,3,0.0,0,0,0,0,0,0,105,105,6,87,2,10,0,0,47,58,0,2,2,0,0,2,0,0,0,,2025_this_team
