player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,_provenance
Shaun Myers,62235,LB,COLORADO,12,7,0,72.7,0,0,143,1,0,74.1,70.1,29.0,52.4,69.1,54.8,0,3,0,0,33,17.5,7,1,1,125.0,8,0,0,275,2,95,318,21,0,0,21,0,0,297,33,190,19,19,26,4,11,3,2,60,45,7.5,arrival_2025_at_COLORADO
Calvin Pitcher,70877,LB,UAB,12,14,0,77.8,0,0,321,0,0,45.6,60.1,84.7,52.3,70.4,66.1,0,2,0,0,65,14.9,7,1,0,155.8,7,1,0,232,0,88,307,51,0,0,50,1,0,256,19,200,24,15,26,0,9,3,1,126,104,18.0,2025_this_team
Devin Hightower,129621,LB,UAB,12,26,0,82.6,1,0,321,0,0,68.9,70.0,53.9,70.3,67.3,70.5,1,9,0,1,37,8.2,7,0,1,108.3,19,1,0,565,0,261,652,14,0,0,14,0,1,638,23,368,72,25,52,2,23,11,2,170,133,8.9,2025_this_team
Eli Ennis,160835,LB,UAB,4,3,0,100.0,0,0,321,0,0,46.2,47.8,79.2,63.5,51.1,66.6,0,1,0,0,18,20.0,2,0,0,118.8,2,2,0,74,0,35,87,6,0,0,6,0,0,81,7,45,7,5,5,1,2,3,0,34,18,17.0,2025_this_team
Muaaz Byard,162971,LB,MIDDLE TN,8,11,0,70.0,0,0,224,0,0,49.3,55.2,81.5,63.2,58.9,54.9,1,3,0,1,47,19.2,10,0,0,118.1,14,0,0,256,0,133,321,34,0,0,34,0,0,287,16,172,31,16,31,4,20,4,3,187,140,13.4,arrival_2025_at_MIDDLE TN
Brandon Franklin,163015,LB,UAB,2,1,0,,0,0,321,0,0,60.0,64.0,70.1,,63.2,73.1,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,8,0,1,8,0,0,0,0,0,0,8,0,7,0,0,0,0,0,0,0,0,0,,2025_this_team
Ike Esonwune,174287,LB,OKLA STATE,12,12,0,91.7,0,0,262,1,0,59.4,55.5,85.6,45.3,57.5,50.0,0,7,0,0,26,23.5,8,1,0,128.8,11,1,0,186,1,121,338,84,0,0,84,0,0,254,48,169,67,9,14,0,12,8,1,99,89,9.0,arrival_2025_at_OKLA STATE
Tylan McNichols,183489,LB,UAB,10,11,0,75.0,0,0,321,1,0,47.4,48.1,81.1,59.7,49.5,51.3,0,1,0,0,26,20.5,9,0,0,119.5,12,0,0,307,2,150,353,8,0,0,8,0,1,345,21,182,35,12,24,1,16,1,1,131,96,10.9,2025_this_team
Eddy Toussom,183495,LB,UAB,11,10,0,90.0,0,1,321,0,0,66.6,69.2,86.5,78.8,63.1,62.6,1,5,0,0,41,14.9,7,0,0,98.8,9,2,0,181,3,95,284,86,0,0,86,0,0,198,23,166,14,17,30,4,10,8,0,77,72,8.6,2025_this_team
Mantrez Walker,198305,LB,COLORADO,1,0,0,,0,0,143,0,0,,62.8,64.4,,60.8,,0,0,0,0,,,0,0,0,0.0,0,0,0,2,0,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,,arrival_2025_at_COLORADO
