player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,_provenance
Jayden Williams,145199,S,UCF,2,3,0,50.0,0,0,323,0,0,65.0,68.1,79.2,,72.1,47.2,0,0,0,0,4,30.0,3,0,0,56.3,1,0,0,31,1,45,84,0,0,0,0,0,18,84,0,39,34,3,4,0,2,0,0,4,5,4.0,2025_this_team
Phillip Dunnam,156406,S,UCF,12,19,0,74.1,1,0,323,0,0,85.1,75.3,22.4,56.5,60.1,62.0,0,0,1,3,32,16.5,13,2,2,60.5,20,0,0,363,0,383,781,1,0,0,1,0,205,780,4,394,211,15,47,3,27,0,0,235,100,11.8,2025_this_team
Jaeden Gould,156459,S,UCF,7,3,0,0.0,0,0,323,0,0,63.9,69.9,75.7,,75.6,82.2,0,0,0,0,,0.0,0,1,0,39.6,0,0,0,31,0,22,54,0,0,0,0,0,9,54,0,32,12,1,2,0,1,0,0,0,0,,2025_this_team
Jyaire Brown,156484,CB,UCF,6,0,0,85.7,1,0,323,0,0,55.4,56.9,82.8,63.7,58.3,33.5,0,0,0,0,64,37.5,3,1,1,158.3,6,0,0,18,0,75,156,5,0,0,5,0,2,151,1,80,129,2,5,1,7,0,2,108,38,18.0,2025_this_team
Jayden Bellamy,156984,CB,UCF,12,5,0,50.0,0,0,323,0,0,77.8,76.4,86.3,68.8,62.9,81.3,0,1,0,1,46,7.9,3,8,0,63.8,31,0,0,43,590,324,666,12,0,0,12,0,2,654,4,338,18,14,30,0,62,1,1,318,143,10.3,2025_this_team
Ja'Cari Henderson,158439,CB,UCF,6,0,0,100.0,0,0,323,0,0,72.3,70.5,78.4,59.3,63.8,67.1,0,0,0,0,3,16.7,1,0,0,79.2,2,0,0,4,82,29,91,0,0,0,0,0,1,91,1,61,2,2,5,0,2,0,0,5,6,2.5,2025_this_team
Demari Henderson,158440,S,UCF,12,18,0,73.9,0,0,323,0,0,65.9,71.0,87.4,65.5,76.4,68.5,0,1,0,1,40,14.8,12,1,0,99.7,17,1,0,255,4,335,700,0,0,0,0,0,180,700,7,358,261,12,51,2,23,2,1,219,37,12.9,2025_this_team
Caleb Flagg,161406,S,MISSOURI,2,1,0,50.0,0,0,229,0,0,69.8,69.9,74.4,,64.8,76.5,0,0,0,0,4,0.0,0,1,0,56.3,1,0,0,6,0,15,33,0,0,0,0,0,8,33,0,18,19,0,1,0,2,0,0,4,10,4.0,arrival_2025_at_MISSOURI
DJ Bell,162519,CB,UCF,11,5,0,54.5,0,0,323,0,0,69.9,68.2,83.0,45.6,62.4,64.6,0,1,0,0,20,16.7,4,3,2,82.8,12,0,0,17,286,150,314,3,0,0,3,0,0,311,2,162,7,3,15,0,22,1,1,106,43,8.8,2025_this_team
Braeden Marshall,174351,CB,UCF,11,7,0,70.0,0,0,323,0,0,61.6,64.5,86.4,55.2,71.6,59.4,0,0,0,2,38,18.9,7,1,0,85.8,21,0,0,112,3,255,476,8,0,0,8,0,20,468,5,216,333,14,23,2,30,0,2,223,133,10.6,2025_this_team
Antione Jackson,175191,CB,UCF,12,5,0,61.1,0,0,323,1,0,63.9,66.8,40.8,58.7,80.2,80.8,0,0,0,0,40,7.1,3,3,2,98.5,22,0,0,30,491,282,557,4,0,0,4,0,6,553,2,273,24,12,34,1,36,0,2,233,65,10.6,2025_this_team
Jakob Gude,183848,S,UCF,1,1,0,,0,0,323,0,0,,50.0,70.1,,50.1,75.3,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,3,0,0,7,0,0,0,0,0,2,7,0,7,2,0,0,0,0,0,0,0,0,,2025_this_team
Christian Peterson,183850,S,UCF,4,1,0,0.0,0,0,323,0,0,66.7,64.2,76.4,,55.2,75.1,0,0,0,0,,0.0,0,0,0,39.6,0,0,0,6,0,15,30,3,0,0,3,0,1,27,0,15,19,0,0,0,1,0,0,0,0,,2025_this_team
Jaylen Heyward,190333,S,UCF,2,0,0,100.0,0,0,323,0,0,57.3,59.6,73.8,,63.0,76.9,0,0,0,0,6,0.0,0,0,0,91.7,1,0,0,9,0,8,26,0,0,0,0,0,10,26,0,18,7,0,1,0,1,0,0,6,1,6.0,2025_this_team
Tony Williams Jr.,199388,S,UCF,1,2,0,,0,0,323,0,0,,57.3,69.0,,56.6,49.2,0,0,0,0,,25.0,1,0,0,0.0,0,0,0,5,0,0,7,0,0,0,0,0,2,7,0,7,0,0,1,0,0,0,0,0,0,,2025_this_team
Rukeem Stroud,199392,CB,UCF,2,0,0,100.0,0,0,323,0,0,46.0,48.7,73.2,,62.2,,0,0,0,0,19,,0,0,0,118.8,1,0,0,0,20,4,20,0,0,0,0,0,0,20,0,16,0,0,0,0,1,0,0,19,17,19.0,2025_this_team
