player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,epa,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,positive_epa_percent,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr,_provenance
Duane Thomas Jr.,175797,WR,UCF,12,6.3,9,73.6,14.3,1,7,0,0.0,0,-0.03,18,323,0,92.5,77.9,69.0,71.6,69.0,1.0,3,3,41,0.7,2,307,1,43.7,53,95.1,292,86.6,266,76.6,72,0,10.4,32,528,354,6.7,10.0,1.81,2025_this_team
Dylan Wade,170208,TE,UCF,11,7.7,3,72.9,50.0,2,4,0,2.3,1,-0.05,23,323,0,85.5,73.2,68.5,49.4,78.0,54.1,152,1,83,10.3,29,281,3,42.1,43,87.5,246,36.7,103,120.9,59,5,7.5,21,523,323,7.5,12.2,2.13,2025_this_team
Waden Charles,199385,WR,UCF,12,11.4,2,51.0,27.3,3,11,0,10.3,3,-0.15,15,323,0,62.4,71.9,59.1,,57.5,0.0,0,3,30,0.0,0,294,0,40.6,26,96.3,283,23.5,69,43.8,51,0,76.5,225,290,109,4.2,11.2,1.02,2025_this_team
DJ Black,158111,WR,UCF,12,13.8,1,51.1,20.0,2,10,1,17.9,5,-0.07,8,323,1,34.0,28.1,47.9,,48.7,0.6,2,0,82,0.0,0,316,4,40.5,23,96.2,304,10.1,32,86.3,45,2,88.9,281,289,107,4.7,12.6,0.95,2025_this_team
Jonathan Bibbs,190005,WR,LA MONROE,12,11.5,14,65.0,28.6,2,7,1,7.1,2,0.12,14,209,1,70.9,39.6,70.3,61.9,71.3,0.0,0,1,68,0.5,1,184,3,40.9,26,92.4,170,44.6,82,111.4,40,3,53.8,99,389,322,12.4,15.0,2.29,arrival_2025_at_LA MONROE
Chris Domercant,165058,WR,UCF,11,10.2,3,72.4,50.0,2,4,1,4.5,1,-0.11,7,323,1,75.9,71.6,68.9,,68.1,1.5,2,1,40,0.0,0,136,2,40.2,21,97.1,132,77.9,106,101.5,29,2,19.9,27,212,110,5.2,10.1,1.61,2025_this_team
Marcus Burke,146699,WR,UCF,9,13.1,0,48.0,50.0,4,8,0,7.7,1,0.05,9,323,0,66.4,69.2,61.5,,62.9,0.0,0,0,30,0.0,0,150,0,44.5,12,97.3,146,18.7,28,69.4,25,0,81.3,122,164,37,3.1,13.7,1.12,2025_this_team
Kylan Fox,183847,TE,UCF,11,4.9,0,80.0,,0,0,0,5.9,1,0.06,6,323,1,70.9,24.1,53.7,75.0,50.6,64.7,86,0,22,19.5,26,133,0,46.8,16,76.7,102,30.8,41,111.9,20,1,1.5,2,137,78,4.9,8.6,1.34,2025_this_team
Grayson Brousseau,191362,TE,OKLA STATE,8,1.8,1,87.5,50.0,1,2,1,0.0,0,-0.31,1,262,0,78.5,66.7,52.4,58.9,50.0,61.8,76,0,25,32.5,40,123,2,35.2,7,66.7,82,26.8,33,90.1,8,0,4.1,5,45,37,5.3,6.4,0.55,arrival_2025_at_OKLA STATE
Caleb Rollerson,190345,WR,UCF,7,10.3,0,50.0,,0,0,1,25.0,1,-0.62,3,323,0,21.7,66.0,57.7,,56.3,0.0,0,0,39,0.0,0,39,1,39.5,3,97.4,38,15.4,6,90.3,6,0,84.6,33,67,36,12.0,22.3,1.76,2025_this_team
Max Drag,174988,TE,UCF,10,7.8,0,60.0,66.7,2,3,0,0.0,0,-0.27,1,323,0,73.1,64.1,50.7,73.0,54.0,78.2,68,1,11,54.0,47,87,3,41.2,3,46.0,40,13.8,12,28.3,5,0,3.4,3,19,4,1.3,6.3,0.48,2025_this_team
Carl Jenkins,199391,WR,UCF,12,8.0,0,75.0,,0,0,0,0.0,0,-0.16,2,323,0,73.1,64.1,50.4,,50.8,0.0,0,1,17,0.0,0,112,2,41.7,3,96.4,108,4.5,5,58.3,4,0,94.6,106,32,3,1.0,10.7,0.3,2025_this_team
Thomas Wadsworth,158456,TE,UCF,3,10.3,0,75.0,,0,0,0,0.0,0,0.08,3,323,0,73.1,64.1,66.4,67.3,66.7,64.3,9,0,12,21.4,3,14,0,42.9,3,78.6,11,35.7,5,92.7,4,0,0.0,0,27,11,3.7,9.0,2.45,2025_this_team
Dallan Coleman,204390,TE,UCF,1,7.0,0,0.0,,0,0,0,,0,-2.26,0,323,0,,,49.1,,55.4,33.3,1,1,0,0.0,0,3,0,33.3,0,100.0,3,66.7,2,0.0,1,0,0.0,0,0,0,,,0.0,2025_this_team
Jordyn Bridgewater,183844,WR,UCF,3,-3.0,0,0.0,,0,0,0,100.0,1,-0.54,0,323,0,16.4,,48.5,,45.4,0.0,0,0,0,0.0,0,9,0,33.3,0,100.0,9,100.0,9,39.6,1,0,0.0,0,0,0,,,0.0,2025_this_team
