unit,pos,depth,player,class,origin,note
QB,QB,1,Alonza Barnett III,SR,James Madison transfer,"2025 Sun Belt POY: 2,806 (58%, 23-8) + 589 rush (15 TD, 6th among QBs); 21-6 as a starter; led JMU to the CFP; PFF 71.1/433; 'perfect match for Frost's offense' (P6); ACL late-'24, fully past it. DEPARTED: all three '25 QBs (Jackson 59.4/358 -> NT, Brown -> Rice, Fancher -> MSU)"
QB,QB,2,Keyone Jenkins,SR,Florida International transfer,"33 starts, 6,713 career (61%, 42-25); PFF 59.0/316; + Annett (Boise, PS#118) + 4* FR Marriott (PS#37, highest-rated QB commit in program history)"
RB,RB,1,Duke Watson,JR,Louisville transfer,"led FBS ypc in '24 (597 @ 8.9); banged up '25; 755 career @ 6.5; PFF 64.5; PS#41"
RB,RB,2,Taevion Swint / Landen Chambers,rFR / JR,returner + Central Arkansas transfer,"Swint PS#26 (former top recruit; OFY/redshirt '25 - zero tape). Chambers 12 st, 1,273 (5.2) FCS. DEPARTED: Montgomery (76.9; 705) + Nixon (69.9; 554) to the pros; Gage -> LSU"
WRTE,WR,1,Duane Thomas Jr.,SR,RETURNING,"team-leading 53/528 (10.0); used outside/slot/backfield/returns; PFF 69.0; PS#231"
WRTE,WR,2,Waden Charles / Josh Derry / Ric'Darious Farmer / Jonathan Bibbs,SO / SR / SO / SO,returners + Monmouth + UL Monroe transfers,"Charles 6'2: 26/290 as true FR (59.1). Derry 1st-tm FCS AA: 12 st, 1,123 @ 14.8 (P6: ~1,100/13). Farmer (PS#62) back from season-ending injury (DNP '25). Bibbs 3 st, 383 @ 14.7 (70.3). DEPARTED: Black (47.9) + Burke; top-8 receiver wipe was LAST cycle"
WRTE,TE,1,Dylan Wade,SR,RETURNING (must-retain),"All-B12 HM: 43/523/5 - all program TE records; PFF 68.5; PS lineup pairs him w/ Piening (rFR, PS#38); Brousseau (OkSt) depth"
OL,T,1,Preston Cushman,SR,RETURNING (lone returning starter),"12 st at RT here ('24: 12 gm Ole Miss); PFF 63.1/753; PS#211"
OL,T,1,Henry Tabansi,JR,Buffalo transfer,"25 starts L2Y at Buffalo; PFF 64.6/828; 'earned other P4 offers' (P6)"
OL,G,1,Brady Wayburn,SR,UConn transfer,"10 st, 19 gm L2Y; PFF 71.9/445 - best incoming OL tape"
OL,C,2,Cooper Terpstra / Connor Meadows / Tyler Gibson / LaParka Langston,JR / SR / SR / JR,Michigan State + returner + Charlotte + JUCO,"Terpstra (1 st, 21 gm MSU) = Athlon C1; Meadows (51.3/270; 4 st, last 3 at RG) = PS C1 - interior unsettled. Gibson 6 st CLT (53.2/377). Langston PS#32JC. DEPARTED: 4 starters + Rubelt (61.8/641, UFA TB) + Miller -> S Carolina, Barnett -> Fresno, Joiner -> Marshall. '25: #95 Run Push, heavily penalized; 60 career starts incoming"
DL,DT,1,RJ Jackson Jr.,SR,RETURNING,"11 st, 33 tkl; PFF 69.3/456; ex-Tulsa"
DL,DT,1,Horace Lockett,SR,returner (portal WITHDRAWAL - override),"'original starter... playing well before his injury in week four' (P6): 1 st, 4 gm, 13 tkl, 3 TFL; 6'6 355; PS#109; Athlon DT1 + PS NT1"
DL,ED,1,Sincere Edwards / Isaiah Nixon,JR / JR,returners,"Edwards PS#81: 11 tkl, 4.5 TFL. Nixon (4*) PS#66: 24 tkl, 3.5 TFL (62.8/289). DEPARTED: Lawrence (80.1/470, #1 DC DAL) + Kelly (76.2/492) to pros; Walker (70.7/495) -> Ohio State; LeBlanc -> Maryland; Lora -> Purdue"
DL,DL,2,Bruno Dall / Thomas Collins / Brad Gurley Jr. / Ken Talley / L A Jessie Harrold / Dean Miller,JR / JR / SR / SR / rFR / SR,Akron + Oregon State + Eastern Kentucky + Arkansas + Florida State + Kansas transfers,"Dall All-MAC: 12 st, 44 tkl, 8.5 TFL, 7 pd (79.3/628 - best incoming tape). Collins 12 st, 30 tkl (59.3/475). Gurley 12 st, 10.5 TFL FCS. Talley PS#39 (ex-PSU). Harrold Top200 4* (DNP at FSU). Miller 70.4/355. 'Depth but might be down a notch... looking for more interior pressure' (PS)"
LB,LB,1,Lewis Carter,SR,RETURNING (must-retain),"4th-tm B12: 11 st, team-high 92 tkl; PFF 75.9/692; PS#18; 'should push for all-league honors again' (P6)"
LB,LB,1,Jahleel Culbreath,SR,Old Dominion transfer,"13 st, 71 tkl, 9 TFL; PFF 66.4/626"
LB,LB,2,Tackett Curtis / Rashad Henry / Jayden Jennings,SR / JR / SR,Wisconsin + UMass transfers + returner,"Curtis 4* (PS#11): 7 st, 29 tkl at Wisconsin (63.3/321); 40 tkl as USC FR '23. Henry 4 st, 67 tkl UMass (51.9/390). Jennings 70.3/135. DEPARTED: Kozlowski (75.6/531, #2 tklr) grad; Bullard -> Florida. 'Smart and really packs a punch' (PS)"
DB,CB,1,Jayden Bellamy,SR,RETURNING (must-retain),"4th-tm B12: 12 st, 8 pbu + INT; PFF 76.4/666; 'emerged as the top corner' (P6)"
DB,CB,1,Antione Jackson,SR,RETURNING,"12 st, 39 tkl, 5 pbu; PFF 66.8/557; also PR"
DB,NB,1,Braeden Marshall,SR,RETURNING (must-retain),"10 st, 2 INT; PFF 64.5/476; PS#87"
DB,S,1,Demari Henderson,SR,RETURNING,"12 st, 61 tkl; PFF 71.0/700; + S battle: J.Williams (68.1/84; 5 st '24 FAU) / Bartrum (Harvard 3rd-tm FCS AA: 11 st, 83 tkl) / K.Johnson (D2: 11 st, 12 pd) / Flagg (Mizzou). DEPARTED: Dunnam (75.3/781, #3 tklr) - the lone secondary loss; Gould -> Temple, Heyward -> ArkSt"
ST,K,1,Will Stone,SR,Texas transfer,"KO specialist: 98 KO/56 TB '24; 2-2 career PAT; NEVER ATTEMPTED A COLLEGE FG (Athlon flag). DEPARTED: K Ruelas (15-17, L54)"
ST,P,1,Atticus Bertrams,SR,Wisconsin transfer,"PS#25: '24: 55 punts, 45.3 (40.1 net), 21 in-20; '25: 41.5 (37.3). ST coord Alamar retained; KR Kaj Baker (FR) replaces Nixon; PR A.Jackson. '25 SPEC 76th pctile / #73 STR"
