player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,epa,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,positive_epa_percent,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr,_provenance
Kwazi Gilmer,184979,WR,UCLA,12,11.4,2,59.5,63.2,12,19,0,9.1,5,-0.05,32,324,0,65.9,73.9,61.0,,62.9,0.2,1,3,43,0.0,0,448,7,42.8,50,96.0,430,8.3,37,79.2,84,4,91.5,410,535,117,2.3,10.7,1.24,2025_this_team
Leland Smith,190924,WR,S JOSE ST,12,16.2,9,53.8,36.8,7,19,0,4.4,2,-0.09,29,285,0,73.1,73.3,62.3,,62.4,0.2,1,4,45,0.0,0,554,1,43.0,43,94.8,525,18.2,101,73.9,80,3,81.6,452,678,235,5.5,15.8,1.29,arrival_2025_at_S JOSE ST
Landon Ellis,170902,WR,JAMES MAD,13,13.6,6,66.7,66.7,8,12,0,7.7,3,0.15,30,197,1,68.6,36.6,77.8,69.5,77.6,0.0,0,1,62,0.7,2,280,2,45.9,36,95.7,268,30.0,84,128.9,54,5,70.0,196,624,186,5.2,17.3,2.33,arrival_2025_at_JAMES MAD
Mikey Matthews,174168,WR,UCLA,12,9.7,5,63.5,25.0,1,4,0,8.3,3,-0.06,17,324,1,74.8,57.4,58.0,,61.0,1.3,4,1,37,0.0,0,304,2,42.8,33,95.7,291,92.1,280,87.7,52,2,6.3,19,348,127,3.8,10.5,1.2,2025_this_team
Titus Mokiao-Atimalala,144464,WR,UCLA,12,12.2,2,61.9,40.0,4,10,0,3.7,1,-0.08,20,324,0,79.5,72.6,62.4,,64.5,0.3,1,0,34,0.0,0,305,2,42.5,26,96.4,294,44.6,136,109.8,42,3,54.8,167,326,94,3.6,12.5,1.11,2025_this_team
Rico Flores Jr.,171083,WR,UCLA,8,8.3,2,70.3,60.0,3,5,1,7.1,2,0.04,14,324,0,69.4,71.2,63.0,,62.5,0.4,1,1,51,0.0,0,236,1,43.8,26,95.8,226,36.0,85,80.2,37,0,63.6,150,274,92,3.5,10.5,1.21,2025_this_team
Semaj Morgan,174043,WR,MICHIGAN,11,5.0,9,55.6,,0,0,0,28.6,8,0.03,11,222,1,20.3,33.2,55.7,64.5,56.7,0.6,1,0,32,0.6,1,171,1,46.4,20,95.3,163,81.3,139,83.4,36,1,17.5,30,223,190,9.5,11.2,1.37,arrival_2025_at_MICHIGAN
Brian Rowe Jr.,199945,WR,S CAROLINA,11,7.7,1,61.3,0.0,0,1,0,5.0,1,-0.09,5,289,0,63.6,73.1,60.7,,60.0,0.0,0,0,24,0.0,0,193,1,40.4,19,91.7,177,90.2,174,83.9,31,1,9.8,19,149,79,4.2,7.8,0.84,arrival_2025_at_S CAROLINA
Aidan Mizell,174257,WR,FLORIDA,8,9.6,2,63.3,60.0,3,5,0,5.0,1,-0.05,13,163,0,73.6,70.1,68.6,,69.3,0.0,0,4,23,0.0,0,128,0,41.6,19,97.7,125,25.0,32,51.0,30,1,73.4,94,177,69,3.6,9.3,1.42,arrival_2025_at_FLORIDA
Hudson Habermehl,100658,TE,UCLA,12,4.2,0,76.9,100.0,3,3,0,4.8,1,-0.01,4,324,1,74.4,26.3,45.5,69.9,45.3,57.7,158,1,26,16.8,46,274,0,40.5,20,80.7,221,25.9,71,72.3,26,0,13.5,37,138,79,4.0,6.9,0.62,2025_this_team
