player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,_provenance
Kamo'i Latu,131860,S,UCONN,4,5,0,66.7,0,0,146,0,0,76.3,73.1,81.3,57.1,64.6,67.8,0,0,0,0,12,12.5,2,1,1,82.6,2,0,0,53,1,73,145,6,0,0,6,0,70,139,4,68,15,2,9,0,3,0,0,18,12,9.0,2025_this_team
Malachi McLean,156929,S,UCONN,10,26,0,46.2,0,1,146,0,0,74.7,74.7,50.7,72.1,70.8,38.5,0,3,0,1,26,23.5,23,1,1,28.4,6,1,0,227,0,316,638,33,0,0,33,0,323,605,11,311,55,15,49,0,13,4,0,62,47,10.3,2025_this_team
D'Mon Brinson,158609,S,UCONN,13,17,0,71.2,0,0,146,0,0,63.3,59.8,89.6,58.9,50.0,41.2,0,0,0,1,40,24.7,20,7,0,91.2,52,0,0,222,2,466,929,5,0,0,5,0,301,924,2,461,398,14,44,5,73,0,1,542,213,10.4,2025_this_team
Kylish Hicks,158618,CB,UCONN,2,0,0,100.0,0,0,146,0,0,51.9,52.0,71.5,,60.0,73.5,0,0,0,0,24,0.0,0,0,0,118.8,1,0,0,0,11,8,11,0,0,0,0,0,0,11,0,3,0,0,1,0,1,0,0,24,4,24.0,2025_this_team
Lee Molette III,158623,S,UCONN,12,18,0,63.6,0,0,146,0,0,62.1,63.4,20.4,70.5,66.1,63.5,1,1,0,1,68,16.5,14,1,2,112.7,14,0,0,186,4,377,739,12,0,0,12,0,440,727,10,352,96,15,53,3,22,2,2,244,122,17.4,2025_this_team
Jayden Davis,163397,S,FRESNO ST,12,12,0,62.5,0,0,169,0,0,65.8,67.1,81.1,78.9,63.5,56.5,2,2,0,1,18,15.9,7,1,0,82.3,5,1,0,169,1,135,285,16,0,0,16,0,49,269,10,140,50,8,25,1,8,5,1,54,19,10.8,arrival_2025_at_FRESNO ST
Tyrece Mills,164179,S,UCONN,9,6,0,37.5,0,1,146,0,0,85.6,81.0,4.9,70.3,68.8,60.2,0,1,0,0,27,18.5,5,4,1,52.1,3,1,0,62,0,137,251,8,0,0,8,0,150,243,5,109,31,5,16,1,8,2,0,36,11,12.0,2025_this_team
Jeremiah Lomax,166042,S,UCONN,2,0,0,,0,0,146,0,0,65.7,69.0,74.1,,68.1,77.1,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,8,0,12,26,0,0,0,0,0,16,26,0,14,2,1,2,0,0,0,0,0,0,,2025_this_team
Moussa Kane,170053,CB,DUKE,9,3,0,60.0,0,0,154,1,0,65.6,65.1,80.6,56.8,62.5,72.2,0,2,0,2,40,14.3,2,0,0,46.7,9,1,0,15,52,71,107,8,0,0,8,0,1,99,6,30,31,5,9,1,15,3,0,123,63,13.7,arrival_2025_at_DUKE
Cam Chadwick Jr.,171036,CB,UCONN,13,12,0,64.3,0,1,146,0,0,73.6,75.0,55.9,65.5,78.5,74.1,1,2,0,4,90,10.3,8,3,5,91.9,36,1,0,126,728,422,862,3,0,0,3,0,0,859,8,432,4,16,58,0,56,4,4,567,303,15.8,2025_this_team
Tyler McKinstry,190134,CB,TOLEDO,8,2,0,71.4,0,0,316,0,0,56.9,60.2,80.9,59.0,71.1,71.6,0,0,0,0,23,14.3,1,0,0,143.5,5,0,0,7,11,57,113,0,0,0,0,0,2,113,1,55,92,2,4,0,7,0,1,71,39,14.2,arrival_2025_at_TOLEDO
Devin Pringle,198314,CB,UCONN,12,14,0,72.3,0,0,146,0,0,66.5,64.9,52.2,63.1,59.3,36.9,0,3,0,1,75,23.2,16,3,3,125.5,34,0,0,114,636,354,759,5,0,0,5,0,0,754,5,400,3,8,39,2,47,3,5,412,145,12.1,2025_this_team
Osiris Gilbert,198318,CB,UCONN,8,2,0,52.6,0,0,146,0,0,69.3,69.6,81.3,54.7,70.0,80.0,0,1,0,0,22,6.3,1,2,2,83.7,10,0,0,40,245,162,288,3,0,0,3,0,0,285,5,121,0,2,13,0,19,1,1,92,25,9.2,2025_this_team
