player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,epa,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,positive_epa_percent,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr,_provenance
Skyler Bell,145163,WR,UCONN,13,8.3,15,72.3,65.0,13,20,0,3.8,4,0.3,50,146,2,87.0,45.0,81.6,,85.1,0.0,0,1,80,0.0,0,434,5,50.4,102,94.2,409,36.4,158,128.0,141,13,61.1,265,1282,835,8.2,12.6,3.13,2025_this_team
Reymello Murphy,90224,WR,UCONN,13,8.9,7,77.6,0.0,0,1,0,2.6,1,0.24,24,146,0,84.9,73.0,67.3,,68.8,1.3,4,0,61,0.0,0,317,2,49.5,38,93.7,297,85.2,270,124.4,49,3,13.6,43,439,235,6.2,11.6,1.48,2025_this_team
John Neider,171057,WR,UCONN,13,12.3,4,71.1,60.0,6,10,0,3.6,1,0.36,18,146,0,79.5,71.5,69.3,,69.9,0.0,0,0,45,0.0,0,249,1,51.5,27,94.4,235,22.1,55,125.1,38,2,77.9,194,422,144,5.3,15.6,1.8,2025_this_team
Juice Vereen,170383,TE,UCONN,9,10.4,1,68.8,60.0,3,5,0,8.3,2,0.31,12,146,0,65.7,70.6,63.9,55.4,66.1,36.7,61,0,50,9.0,15,166,0,46.2,22,87.3,145,46.4,77,139.3,32,5,13.9,23,310,129,5.9,14.1,2.14,2025_this_team
Shamar Porter,175159,WR,UCONN,13,9.6,3,65.5,0.0,0,5,1,13.6,3,0.2,10,146,0,52.1,70.1,51.3,63.9,53.7,0.0,0,0,56,0.4,1,242,4,48.0,19,94.2,228,11.2,27,104.4,29,1,88.8,215,252,131,6.9,13.3,1.11,2025_this_team
Louis Hansen,144929,TE,UCONN,13,5.0,1,76.9,,0,0,0,4.8,1,0.21,9,146,0,74.6,70.2,63.4,65.8,63.1,44.8,87,0,19,23.2,45,194,3,51.4,20,74.7,145,38.1,74,97.3,26,0,9.8,19,194,121,6.1,9.7,1.34,2025_this_team
Alex Honig,144681,TE,UCONN,12,7.9,1,56.5,50.0,2,4,0,18.8,3,0.32,8,146,0,43.3,69.7,69.1,71.6,64.7,72.3,159,0,40,45.0,99,220,0,53.4,13,51.4,113,22.3,49,118.1,23,3,4.5,10,162,94,7.2,12.5,1.43,2025_this_team
Ryder Treadway,205432,WR,TOLEDO,11,12.7,0,68.4,100.0,2,2,0,13.3,2,-0.05,11,316,0,53.9,68.7,58.7,,60.1,0.0,0,0,24,0.0,0,177,2,45.5,13,94.4,167,6.2,11,137.3,19,3,93.8,166,176,35,2.7,13.5,1.05,arrival_2025_at_TOLEDO
Cam Abshire,204197,WR,OKLA STATE,12,10.0,0,52.6,50.0,3,6,0,9.1,1,-0.38,3,262,0,63.3,67.9,51.2,,50.8,0.0,0,2,35,0.0,0,149,0,32.9,10,94.0,140,10.7,16,26.5,19,0,89.3,133,92,14,1.4,9.2,0.66,arrival_2025_at_OKLA STATE
Emanuel Ross,193426,WR,SYRACUSE,6,12.5,2,58.8,50.0,3,6,0,0.0,0,-0.33,8,304,0,80.9,67.9,66.8,,67.6,0.9,1,0,20,0.0,0,107,0,32.0,10,93.5,100,19.6,21,97.7,17,1,79.4,85,110,39,3.9,11.0,1.1,arrival_2025_at_SYRACUSE
