player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,_provenance
Jaheem Joseph,129726,S,UNLV,14,11,0,65.5,0,2,325,1,0,57.9,66.3,57.0,68.2,76.8,69.0,1,4,0,0,80,15.7,13,1,1,134.7,19,4,0,283,4,388,762,37,0,0,37,0,336,725,25,349,99,22,59,4,29,9,3,303,150,15.9,2025_this_team
Darrien Stewart,146445,CB,UNLV,4,4,0,80.0,0,0,325,0,0,63.1,65.1,79.8,56.1,73.3,84.5,0,0,0,0,41,0.0,0,0,0,118.8,4,0,0,4,0,48,72,1,0,0,1,0,2,71,5,19,65,2,6,0,5,0,0,76,34,19.0,2025_this_team
Aamaris Brown,156213,S,UNLV,13,7,0,59.0,1,0,325,0,0,65.5,69.8,91.2,73.5,73.0,62.7,1,4,2,4,46,16.7,9,6,4,64.0,36,3,0,102,9,359,692,72,0,0,72,0,14,620,27,306,493,19,38,1,61,8,2,426,173,11.8,2025_this_team
Laterrance Welch,157115,CB,UNLV,14,5,0,51.6,0,0,325,0,0,77.3,73.4,0.0,68.5,60.9,49.7,0,1,0,5,59,21.6,8,2,4,46.8,16,0,0,32,520,319,569,3,0,0,3,0,0,566,6,244,11,11,24,0,31,1,1,227,122,14.2,2025_this_team
Kyron Chambers,157300,CB,SMU,12,10,0,73.5,0,0,287,0,0,61.0,62.6,35.8,63.3,68.5,77.1,1,0,0,0,27,6.5,2,2,4,88.4,25,0,0,79,9,255,410,18,0,0,18,0,26,392,7,148,277,7,19,2,34,1,0,204,135,8.2,arrival_2025_at_SMU
Mumu Bin-Wahad,157368,CB,UNLV,12,6,0,61.3,0,1,325,1,0,60.0,67.0,0.0,72.8,87.3,75.2,5,5,0,0,45,9.7,3,1,3,108.1,19,0,0,65,88,174,366,17,0,0,17,0,26,349,17,175,167,11,22,1,31,10,2,249,89,13.1,2025_this_team
Denver Harris,158651,CB,UNLV,4,1,0,45.5,0,0,325,0,0,51.5,53.3,78.3,56.5,67.0,80.7,0,0,0,0,24,0.0,0,0,2,57.0,5,0,0,0,88,54,88,0,0,0,0,0,0,88,2,32,0,2,4,0,11,0,0,45,15,9.0,2025_this_team
Jake Pope,163608,S,UNLV,14,23,0,66.7,1,0,325,0,0,43.8,51.3,59.0,68.0,60.9,60.4,1,5,0,1,46,15.0,12,4,3,91.4,26,2,0,259,1,410,781,47,0,0,47,0,341,734,26,345,130,9,45,1,39,8,1,336,141,12.9,2025_this_team
Kodi DeCambra,174120,S,UNLV,4,0,0,100.0,0,0,325,0,0,72.9,63.6,72.0,60.0,60.0,77.8,0,0,0,0,5,0.0,0,0,0,81.3,2,0,0,3,0,8,12,1,0,0,1,0,5,11,1,3,3,2,2,0,2,0,0,7,0,3.5,2025_this_team
Andrew Powdrell,176775,CB,UNLV,14,5,0,62.7,1,0,325,0,0,57.8,60.1,20.2,58.9,74.0,61.1,2,1,0,0,47,14.3,10,5,8,92.2,37,0,0,67,659,410,738,4,0,0,4,0,0,734,8,320,6,11,55,2,59,3,1,456,107,12.3,2025_this_team
Landyn Cleveland,183906,S,OKLA STATE,12,8,0,81.0,0,0,262,0,0,54.4,57.6,13.4,57.6,68.8,37.3,1,0,0,0,45,27.7,13,2,1,150.5,17,0,0,94,1,158,288,1,0,0,1,0,62,287,2,128,130,10,26,2,21,1,2,263,150,15.5,arrival_2025_at_OKLA STATE
Tre Fulton,184206,S,UNLV,14,4,1,60.0,0,1,325,0,0,76.5,70.7,25.0,68.0,57.0,52.7,0,4,0,0,64,21.6,8,2,1,140.0,6,0,0,82,1,210,359,12,0,0,12,0,221,347,13,136,40,7,25,1,10,4,2,116,48,19.3,2025_this_team
Jaylen Allen,188481,CB,UNLV,5,0,0,100.0,0,0,325,0,0,70.1,70.1,75.4,,60.0,76.6,0,0,0,0,8,0.0,0,0,0,100.0,1,0,0,0,22,19,24,0,0,0,0,0,0,24,0,5,0,0,2,0,1,0,0,8,5,8.0,2025_this_team
Nijrell Eason II,188486,CB,UNLV,2,0,0,100.0,0,0,325,0,0,62.7,63.6,69.5,,60.0,,0,0,0,0,1,,0,0,0,79.2,1,0,0,0,6,3,6,0,0,0,0,0,0,6,0,3,0,0,0,0,1,0,0,1,3,1.0,2025_this_team
Quandarius Keyes,199397,CB,UNLV,14,0,0,48.4,0,0,325,0,0,75.5,74.7,83.4,56.7,65.3,76.1,0,0,1,2,44,6.3,1,4,1,57.1,15,0,0,23,350,232,384,0,0,0,0,0,0,384,2,150,9,4,15,1,31,0,1,229,128,15.3,2025_this_team
Joshua Tuchek,199401,S,UNLV,1,0,0,,0,0,325,0,0,,60.8,68.2,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,1,0,0,3,0,0,0,0,0,0,3,0,3,2,0,0,0,0,0,0,0,0,,2025_this_team
Logan Christensen,204394,S,UNLV,5,0,0,100.0,0,0,325,0,0,54.3,57.0,84.4,60.6,62.8,25.2,0,1,0,0,11,25.0,1,0,0,112.5,1,0,0,12,0,27,40,4,0,0,4,0,15,36,5,8,7,2,3,0,1,1,0,11,9,11.0,2025_this_team
