player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,_provenance
Ryan Quintanar,74152,LB,USC,2,0,0,100.0,0,0,326,0,0,36.1,28.7,70.8,56.0,41.7,17.7,0,1,0,0,5,100.0,2,0,0,87.5,1,0,0,8,0,4,11,1,0,0,1,0,0,10,3,4,2,0,0,0,1,1,0,5,3,5.0,2025_this_team
Eric Gentry,146280,LB,USC,12,21,2,76.9,0,3,326,0,0,72.1,72.0,86.9,71.5,67.5,57.4,2,6,0,0,17,17.2,15,2,0,88.8,20,3,0,462,3,298,668,93,0,0,93,0,0,575,56,314,110,34,51,4,26,11,0,141,128,7.1,2025_this_team
Anthony Beavers,146420,LB,USC,1,1,0,,0,0,326,0,0,64.3,67.3,70.2,,60.0,73.2,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,6,0,6,7,0,0,0,0,0,0,7,0,1,1,0,0,0,0,0,0,0,0,,2025_this_team
Garrison Madden,158461,LB,USC,1,0,0,100.0,0,0,326,0,0,85.1,92.0,69.8,60.0,62.8,73.2,0,0,0,0,8,0.0,0,0,0,85.4,2,0,0,5,0,1,6,1,0,0,1,0,0,5,1,4,0,1,1,0,2,0,0,9,14,4.5,2025_this_team
Roman Marchetti,158462,LB,USC,1,0,0,,0,0,326,0,0,60.0,54.6,66.1,,55.9,74.3,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,5,0,1,5,0,0,0,0,0,0,5,0,4,0,0,1,0,0,0,0,0,0,,2025_this_team
Ta'Mere Robinson,170295,LB,USC,11,4,0,83.3,0,0,326,0,0,29.9,36.0,77.6,58.3,53.2,26.7,0,1,0,0,28,25.0,3,0,0,118.8,5,0,0,74,0,41,82,3,0,0,3,0,0,79,9,32,5,3,5,1,6,1,0,77,86,15.4,2025_this_team
Deven Bryant,171914,LB,WASHINGTON,12,18,0,81.1,0,0,340,0,0,60.8,66.6,85.5,56.9,72.8,72.7,1,3,0,0,48,8.0,6,2,0,108.8,30,0,0,407,7,266,520,32,0,0,32,0,0,488,35,219,72,22,51,2,37,4,1,294,182,9.8,arrival_2025_at_WASHINGTON
Elijah Newby,183624,LB,USC,3,1,0,100.0,0,0,326,0,0,71.4,67.5,76.0,54.2,56.4,81.2,0,0,0,0,13,0.0,0,0,0,94.4,3,0,0,23,0,19,30,4,0,0,4,0,0,26,4,7,3,3,5,0,3,0,0,20,27,6.7,2025_this_team
Desman Stephens II,183628,LB,USC,13,19,0,80.0,1,2,326,0,0,82.0,64.6,29.0,59.4,52.7,76.6,3,1,0,0,24,10.2,11,1,2,94.0,24,0,0,646,1,334,712,28,1,0,27,0,2,684,50,328,35,41,78,3,30,4,0,197,201,8.2,2025_this_team
Jadyn Walker,190359,LB,USC,13,7,0,73.3,0,0,326,0,0,52.0,49.4,83.2,66.9,44.5,49.4,4,0,0,0,21,20.9,9,1,0,100.4,11,2,0,262,3,139,305,24,0,0,24,0,1,281,30,136,15,16,27,2,15,6,0,134,57,12.2,2025_this_team
AJ Tuitele,205447,LB,USC,2,0,0,,0,0,326,0,0,59.3,76.0,71.3,59.6,84.7,74.3,0,1,0,0,,0.0,0,0,0,0.0,0,0,0,15,0,9,15,0,0,0,0,0,0,15,1,5,0,1,1,0,0,1,0,0,0,,2025_this_team
Matai Tagoa'i,205450,LB,USC,5,0,0,100.0,0,1,326,0,0,77.8,67.7,77.5,60.9,45.8,42.4,0,0,0,0,23,25.0,1,0,0,118.8,2,0,0,17,0,14,35,9,0,0,9,0,0,26,8,13,9,0,3,0,2,0,0,41,9,20.5,2025_this_team
