player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,_provenance
Tyler Jones,124208,S,UTEP,7,1,0,100.0,0,0,330,0,0,41.6,36.3,76.5,,37.1,28.6,0,0,0,0,9,50.0,1,0,0,104.2,1,0,0,18,0,15,41,3,0,0,3,0,14,38,0,26,5,0,0,0,1,0,0,9,0,9.0,2025_this_team
Yessman Green,125356,S,UTEP,7,1,0,58.3,0,0,330,0,0,51.2,52.6,85.0,58.3,56.7,72.2,0,1,0,0,23,10.0,2,0,0,106.9,7,0,0,49,28,89,171,1,0,0,1,0,64,170,1,81,27,2,17,0,12,1,1,82,31,11.7,2025_this_team
Neil Campbell,151435,CB,UTEP,9,9,1,62.5,0,1,330,0,0,66.2,76.3,84.6,91.2,90.2,81.5,0,4,0,0,16,7.3,4,1,2,84.4,20,2,0,62,396,220,498,18,0,0,18,0,12,480,13,265,9,18,42,5,32,6,1,152,55,7.6,2025_this_team
Kode Lowe,154588,S,UTEP,12,14,0,81.3,0,1,330,0,0,56.8,73.2,85.2,73.2,89.4,81.1,1,3,0,0,31,9.3,4,0,0,139.8,13,0,0,114,0,133,350,66,0,0,66,0,37,284,14,203,131,17,25,5,16,4,2,129,124,9.9,2025_this_team
Chace Biddle,157301,S,UTEP,2,0,0,,0,0,330,0,0,54.9,55.7,71.5,,60.0,22.1,0,0,0,0,,100.0,1,0,0,0.0,0,0,0,3,0,10,12,0,0,0,0,0,8,12,0,2,1,0,0,0,0,0,0,0,0,,2025_this_team
Xavier Smith,157707,S,UTEP,10,15,0,57.7,0,0,330,0,0,63.3,64.6,0.0,64.9,71.4,77.2,0,1,0,1,77,9.8,6,3,3,116.2,15,0,0,238,3,315,636,8,0,0,8,0,254,628,4,317,132,12,40,0,26,1,3,272,118,18.1,2025_this_team
Caleb Walker,165560,CB,UTEP,2,0,0,,0,0,330,0,0,63.7,69.0,68.8,63.0,60.0,76.2,1,0,0,0,,0.0,0,0,0,0.0,0,0,0,2,0,3,8,0,0,0,0,0,5,8,1,4,0,0,1,0,0,1,0,0,0,,2025_this_team
Marcell Blocker,166661,CB,UTEP,9,3,0,50.0,1,0,330,0,0,64.2,62.6,13.4,57.4,59.1,42.6,0,0,0,0,25,26.9,7,4,3,71.5,10,0,0,13,272,173,300,5,0,0,5,0,4,295,2,125,6,4,16,0,20,0,0,133,28,13.3,2025_this_team
Donte Thompson,168458,S,UTEP,11,8,0,58.1,2,0,330,0,0,37.5,43.4,43.7,54.1,57.7,52.3,3,2,0,0,19,18.4,7,3,5,84.6,18,0,0,127,4,244,474,38,0,0,38,0,90,436,32,198,213,5,23,1,31,5,1,174,76,9.7,2025_this_team
Jaime Guerrero,175637,S,UTEP,1,0,0,,0,0,330,0,0,62.0,61.9,69.6,,,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,4,4,0,0,0,0,0,3,4,0,0,1,0,0,0,0,0,0,0,0,,2025_this_team
Lantz Russell,175652,S,UTEP,12,7,2,91.7,0,0,330,0,0,65.5,67.4,82.0,87.7,62.6,66.7,1,0,0,0,66,13.3,4,1,0,144.4,11,0,0,80,2,112,223,11,0,0,11,0,54,212,8,103,74,9,19,1,12,1,1,144,53,13.1,2025_this_team
LaTristan Thompson,188303,CB,UTAH,4,1,0,28.6,0,0,328,0,0,46.1,47.4,79.2,,57.6,64.3,0,0,0,0,7,20.0,1,0,0,39.6,2,0,0,1,0,22,40,0,0,0,0,0,0,40,0,18,39,0,3,0,7,0,0,13,3,6.5,arrival_2025_at_UTAH
